extractant_system_key,e_l_00,e_l_01,e_l_02,e_l_03,e_l_04,e_l_05,e_l_06,e_l_07,e_l_08,e_l_09,e_l_10,e_l_11,e_l_12,e_l_13,e_l_14,e_l_15,n_training_rows,fold_id,fold_ordinal
CCCCCCCCN(CCCCCCCC)C(=O)[C@H](CCC)O[C@@H](CCC)C(=O)N(CCCCCCCC)CCCCCCCC,-1.31852,-0.694135,-0.469252,0.831617,0.841455,0.870157,0.515611,0.283914,-0.429945,0.71313,-0.917156,0.917015,-0.833573,-0.162489,-0.659533,-0.332048,11,s104729_S_b015,15
CCCCCCCCN(CCCCCCCC)C(=O)[C@H](CCC)O[C@H](CCC)C(=O)N(CCCCCCCC)CCCCCCCC,-1.81154,-0.826674,-0.911101,1.51484,0.407808,1.08214,1.23828,0.0773209,-0.631601,0.907718,0.0431728,0.886895,-1.07812,-0.738985,-0.876384,-0.944631,52,s104729_S_b015,15
CCCCCCCCN(CCCCCCCC)C(=O)c1ccc(C(=O)N(CCCCCCCC)CCCCCCCC)o1,-0.302752,-1.92815,0.398012,-0.148427,1.28693,-0.320854,0.524234,2.08114,-3.7405,0.965619,-1.74267,0.493049,-1.21343,-0.829126,-3.04433,-1.66655,4,s104729_S_b015,15
CCCCCCCCN(CCCCCCCC)C(=O)c1ccc(C(=O)N(CCCCCCCC)CCCCCCCC)s1,-2.51436,-2.87703,2.6561,-0.710571,-0.0425043,-0.97313,-3.39733,1.69762,-5.89455,2.20877,-2.35179,0.68214,-3.89561,-1.18328,-1.8507,-2.16906,8,s104729_S_b015,15
CCCCCCCCN(CCCCCCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCCCCCC)CCCCCCCC)nc3c2n1,0.0445407,-2.11107,-1.2044,0.685053,1.10119,-0.428182,0.676795,1.06299,-0.366692,0.498996,0.425967,-0.248795,-0.0254017,-0.798337,-1.94299,-2.95265,47,s104729_S_b015,15
CCCCCCCCN(CCCCCCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCCCCCC)CCCCCCCC)nc3c2n1|Cc1cc(Br)ccc1NC(=O)CCl,2.15703,1.09699,-2.54033,1.7297,0.857133,0.00861393,-1.25081,0.203906,0.0904895,5.59849,1.04606,-3.35862,-1.9922,-0.31115,-1.14127,0.293428,14,s104729_S_b015,15
CCCCCCCCN(CCCCCCCC)C(=O)c1ccc2ccccc2n1,-0.231701,-1.1301,-0.72839,0.368747,0.802029,0.0623844,0.989956,0.522182,-0.0988748,-0.306002,0.212282,0.213264,-0.367494,-1.19648,-1.53854,-1.31811,2,s104729_S_b015,15
CCCCCCCCN(CCCCCCCC)C(=S)c1ccc(C(=S)N(CCCCCCCC)CCCCCCCC)s1,-1.12853,-2.50848,0.06256,-1.06537,1.93421,-6.94072,-5.44214,1.50304,-5.11855,1.48142,-1.11985,0.886124,-6.91288,-0.110701,-0.587607,-3.08471,8,s104729_S_b015,15
CCCCCCCCN(CCCCCCCC)C(=S)c1ccc2ccc3ccc(C(=S)N(CCCCCCCC)CCCCCCCC)nc3c2n1,1.96097,-3.51179,-1.34197,-0.133432,3.47334,-5.80818,-2.3011,1.28825,-2.2972,-0.344439,-0.462827,-0.244022,-2.71013,-0.682555,-3.32515,-4.59839,24,s104729_S_b015,15
CCCCCCCCN(CCCCCCCC)C(=S)c1ccc2ccc3ccc(C(=S)N(CCCCCCCC)CCCCCCCC)nc3c2n1|Cc1cc(Br)ccc1NC(=O)CCl,1.54459,-0.245018,-2.17552,1.98863,1.97271,1.67553,0.399363,0.469365,0.542982,3.75472,-0.249821,-2.31441,-1.65122,-1.34758,-2.65,-1.31913,16,s104729_S_b015,15
