g19_metal_state,e_m_00,e_m_01,e_m_02,e_m_03,e_m_04,e_m_05,e_m_06,e_m_07,n_training_rows,fold_id,fold_ordinal
Sr(II),0.684472,-1.84786,-1.53702,1.20135,-1.52468,1.86294,1.9871,0.833025,94,s104729_S_b016,16
Sr(III),-0.651832,0.672522,-2.06762,1.39922,-0.700072,1.8873,1.46804,1.57022,38,s104729_S_b016,16
Tb(III),0.383717,-0.48881,-0.00525819,-1.17653,-1.3574,-0.374939,-0.475381,-0.685845,269,s104729_S_b016,16
Tc(VII),-1.75661,1.64833,-3.029,-3.03037,1.54496,1.93604,-1.47369,-2.31337,21,s104729_S_b016,16
Th(IV),0.359476,-0.785792,1.94321,0.235049,0.276533,-0.659234,0.882734,-1.16365,773,s104729_S_b016,16
Tm(III),0.0459691,-0.0837109,-0.406535,-0.792627,-1.65583,-0.589255,-0.652643,-0.921362,201,s104729_S_b016,16
U(IV),-0.0601776,-0.241512,0.519693,0.695949,0.302423,0.782638,0.99509,0.0329505,15,s104729_S_b016,16
U(VI),-0.853404,0.671521,-0.556332,0.415237,2.05183,1.64006,-0.19615,0.825974,1026,s104729_S_b016,16
Y(III),1.54821,3.61218,-1.25794,0.748269,-1.16903,-0.772647,-0.430462,-0.567988,28,s104729_S_b016,16
Yb(III),-0.134429,-0.218554,-0.310085,-1.27048,-1.91553,-0.60804,-0.780991,-0.844039,221,s104729_S_b016,16
Zr(IV),-0.82236,1.43045,-0.73247,-2.2288,0.898726,1.17927,-0.642209,-2.59811,13,s104729_S_b016,16
