descriptor,n_a,rho_a,p_a,loco_lo_a,loco_hi_a,part_a,between_a,within_a,icc_chemotype,n_abs_a,rho_abs_a,p_abs_a,loco_lo_abs_a,loco_hi_abs_a,part_abs_a,between_abs_a,within_abs_a,n_b,rho_b,p_b,loco_lo_b,loco_hi_b,part_b,between_b,within_b
asym,82,-0.022779464742438593,0.8390284097835433,-0.07716830754805439,0.045717440454282554,-0.08429969252203764,0.01707317073170732,0.499435574907273,0.763411057941993,82,-0.0703627518202893,0.5298994979834104,-0.11544152050481164,-0.00631209818819404,0.08466904795708893,-0.08424015009380864,-0.3318013223673601,82,-0.11239538098192228,0.3147290802633822,-0.16183778715424285,-0.052139439507860555,-0.1910864246527125,0.008255159474671672,0.15723270440251572
dd_dr_A,81,0.0036133694670280035,0.9744601172066105,-0.039441571087140706,0.1657079577963026,0.028522551952455694,0.1731707317073171,-0.18876462050712883,0.566730708682458,81,0.1585591689250226,0.1574165851076396,0.12184318188809255,0.20917057625918387,0.11079726284583963,0.2632270168855535,0.12917271407837447,81,-0.14738030713640468,0.18918657123460303,-0.19240398293029873,-0.09356466318491634,-0.12360700146189246,-0.22945590994371484,-0.07308119183812857
dspread_dr_A,81,0.07603884372177055,0.4998723324755215,0.023734177215189875,0.31618936294564587,0.07722210164518026,0.43921200750469047,-0.34722103645522073,0.4884374953891839,81,0.13769196025293587,0.2202683075025191,-0.04611030791473131,0.17008907641819035,0.15537402950708515,-0.01988742964352721,0.20541278920857164,81,-0.06023035230352303,0.5932494234523494,-0.1017923186344239,0.017995016764588267,-0.06169644094589449,-0.18968105065666047,-0.0033296337402885677
dqm_dr_A,79,0.1551363193768257,0.1721950379300922,0.0342447026657553,0.20818655029181343,0.18220446200503176,0.17146296093664515,0.13591735678306155,0.5234009752587894,79,0.006718597857838364,0.9531392680834541,-0.04030180345969819,0.16233766233766236,-0.05679201828677887,0.09749425538899222,-0.0020490053786391188,79,0.056353456669912365,0.6218083062953883,0.021383679611527713,0.08630609896432681,0.0882891448184217,0.012802275960170697,-0.05259113805173738
dqd_dr_A,79,0.046738072054527756,0.6825255004117208,-0.007019296492980703,0.10928545139071455,0.05958123069608403,0.16270926797242588,-0.0327840860582259,0.5047605185386655,79,0.04883154819863681,0.6691161237667546,0.013342447026657553,0.09022556390977444,0.021843662458469117,-0.008425429478061058,0.1307094681123538,79,-0.15484420642648491,0.17301412050033305,-0.19810563988646185,-0.11119617224880385,-0.1441220077974035,-0.18875150454097822,-0.15956629386152138
dd_dr_B,76,-0.10887218045112781,0.34917933782827704,-0.1775786745649759,-0.026796264532113586,-0.08763094024368144,-0.112998712998713,-0.17420814479638008,0.5322903308435927,76,0.1745727956254272,0.13148398894444635,0.12368972746331236,0.231827718129088,0.12938300402101965,0.32277992277992285,0.10524886877828053,76,-0.09697881066302119,0.4046209477515427,-0.1472312133671595,-0.029063309885227696,-0.08442204738169004,-0.20437580437580435,-0.09447963800904977
dcn_dr_raw,82,0.1100215695444601,0.3251234052283338,0.045072024847054026,0.23503956949392207,0.15432099762067056,0.049542233288566724,-0.0931982578334303,0.8558032439904606,82,0.06675724933926085,0.5512437037212806,0.037105166810057766,0.1334836761670578,-0.03451980616432978,0.09307066947274097,0.16496132387832352,82,0.1963773831098312,0.07702180238595051,0.1524797145320703,0.27435472646101666,0.25240622818420017,0.2645116154963746,-0.05383248736246674
dE_dr_A,79,0.10421129503407985,0.36072821048657483,0.056969346443030644,0.147095010252905,0.09767730853720796,0.11740890688259109,0.056518398360795696,0.42180464155828634,79,-0.08373904576436222,0.46312206935420697,-0.11592205263091339,-0.007040328092959671,-0.0708911808915225,0.009081956450377503,-0.14949201741654572,79,0.028067185978578383,0.8060393785905818,-0.001209316998790683,0.06695830485304169,0.018039176170087257,-0.048035890141153295,0.15802953982754206
d2E_dr2_A,73,-0.004504504504504505,0.9698292729439724,-0.0351850231825737,0.048222669349429904,0.005573318396836968,-0.07586898395721926,-0.049773755656108594,0.27348972044949393,73,0.008823892385536223,0.9409375381640027,-0.07710407239819003,0.0641588662409238,-0.01789783180699879,-0.11831550802139038,0.027873303167420815,73,0.08638775762063435,0.46739865989673873,0.039104190359548596,0.11894491735694926,0.09613082158119085,0.14538770053475936,-0.01918552036199095
E_rms_A,79,-0.2592989289191821,0.021022283285291325,-0.31040012618959983,-0.20628844839371158,-0.23931651629606124,-0.22004595688806217,-0.04960300520788867,0.4033373893470926,79,0.17670399221032135,0.1192731346295941,0.15178492393682266,0.22051632577948366,0.1252353804756801,0.37301674143779406,-0.04857850251856911,79,-0.31730769230769235,0.0043806163382590505,-0.4449077238550923,-0.27309885227693437,-0.29463551474046196,-0.5402122770543824,0.2722615896866729
dE_dr_B,81,0.20282294489611563,0.06937664256642796,0.08031622012365806,0.26779516358463723,0.18066888571922843,0.15931174089068825,0.48129333978390576,0.7915350008058053,81,-0.1936088527551942,0.08330494529897174,-0.24157421525842576,-0.01104309575809776,-0.14366306889495828,-0.09271255060728746,-0.4226737622964038,81,0.21883468834688347,0.049674001053548196,0.10437109723461195,0.2908392603129445,0.1939751279110159,0.31417004048582997,0.37171423963876793
d2E_dr2_B,79,0.025194741966893867,0.8255585811155618,-0.016382821177341727,0.07847415742152583,0.04210026580445821,-0.006455848561111719,-0.12601383078630582,0.8730095127254994,79,0.009785783836416748,0.9317894722381653,-0.034228928965771066,0.04753474373727538,-0.03500876513936473,0.020461757303862568,0.06710492615043115,79,-0.18619766309639726,0.10038612167119665,-0.2535789213871406,-0.15646378937518177,-0.1712822219988267,-0.4244446876025823,-0.1615299240160505
E_rms_B,81,-0.274683830171635,0.013077000003079849,-0.3385589094449854,-0.2258759112861054,-0.2522810255734266,-0.21882591093117412,-0.18109982260925656,0.6975685951280859,81,0.22716802168021683,0.04140195544043884,0.1949306345934972,0.27222222222222225,0.17444591517702512,0.19372469635627532,0.12425415255603935,81,-0.26711833785004513,0.0159229171981423,-0.3607923959518903,-0.22979651927020345,-0.24113139910169432,-0.40040485829959516,0.08426060312852765
