design,comparison,value,reference,candidate,point,ci95_low,ci95_high,bca_low,bca_high,p_two_sided,bootstrap_se,mde_80,block_macro,n_units,units_improved,seeds_positive,n_seeds,loco_min,loco_max,loco_sign_stable,margin,passes_intervals,passes_P1
BR,TOPO_MAG_vs_G14,mae_all,G14,TOPO_MAG,-0.038916576589900574,-0.09269821633413677,0.0018703280223706245,-0.09975689904075245,-0.0013057644593455922,0.0626,0.02400214978293482,0.0672060193922175,-0.06509923305742858,90,38,0,5,-0.04597340067535669,-0.02776721737941318,True,0.02,False,False
BR,P3_MAG_1D_vs_G14,mae_all,G14,P3_MAG_1D,-0.011511433692389817,-0.03499726963539347,0.0031881397763175974,-0.03307944364588732,0.004103448263415827,0.1454,0.009830370029735698,0.027525036083259954,-0.019796983190467368,90,39,2,5,-0.018788259358677232,-0.00632424637947181,True,0.02,False,False
BR,P3_CURV_ALL_vs_G14,mae_all,G14,P3_CURV_ALL,-0.015520484954876975,-0.036556323360387395,0.005999852006116612,-0.03430190707430325,0.009136407833221494,0.146,0.010715515060487778,0.030003442169365777,-0.017453704783549753,90,34,0,5,-0.021378924337530514,-0.012802944732193499,True,0.02,False,False
BR,P3_CURV_TOPO_vs_G14,mae_all,G14,P3_CURV_TOPO,-0.01457760613996117,-0.042711654829903106,0.00777150423174278,-0.041626416225027704,0.008811026573922734,0.1868,0.012526410954274843,0.035073950671969556,-0.025846940415730883,90,37,0,5,-0.021184666124529315,-0.009228270817486377,True,0.02,False,False
BR,TOPO_CURV_vs_G14,mae_all,G14,TOPO_CURV,-0.0061760933296257274,-0.0265078783024665,0.012039231927635686,-0.028546776366133435,0.010563375602623017,0.4812,0.009540306932315813,0.026712859410484277,-0.005895719715324129,90,39,0,5,-0.009412009605429754,-0.0015741407380767964,True,0.02,False,False
BR,P3_CURV_1D_vs_G14,mae_all,G14,P3_CURV_1D,-0.002671842545649353,-0.0062544917822304254,0.0018249475218273812,-0.0062551472897380755,0.0018243649525047714,0.2092,0.002029472471347286,0.0056825229197724,-0.0004892901634623664,90,36,2,5,-0.003598157144506785,-0.001825993265444279,True,0.02,False,False
BR,P3_COMP_ALL_vs_G14,mae_all,G14,P3_COMP_ALL,-0.16792534393987268,-0.23481605871483036,-0.09939057708756163,-0.2514657626487505,-0.11158907316778059,0.0,0.034045298940491985,0.09532683703337755,-0.13529376728602602,90,23,0,5,-0.17649107566021205,-0.14341604809429773,True,0.02,False,False
BR,P3_COMP_TOPO_vs_G14,mae_all,G14,P3_COMP_TOPO,-0.14154067259561784,-0.23534100859618426,-0.07608012829487731,-0.22888648274106058,-0.07184991224394875,0.0,0.040862430148754375,0.11441480441651224,-0.15269458317216547,90,26,0,5,-0.1722090596288668,-0.1192403136289983,True,0.02,False,False
BR,P3_TREE_ALL_vs_G14,mae_all,G14,P3_TREE_ALL,-0.04671955166332887,-0.08809993924688216,-0.005747185762487926,-0.09217330470582918,-0.009751942935805474,0.0268,0.020377587350128366,0.05705724458035942,-0.04018639513578741,90,36,1,5,-0.05213226615117016,-0.03672982604676167,True,0.02,False,False
BR,P3_TREE_TOPO_vs_G14,mae_all,G14,P3_TREE_TOPO,0.002553173133793644,-0.03532671893949674,0.032436199869430686,-0.03392152500485108,0.03365650401576984,0.8778,0.017210726099834078,0.04819003307953541,-0.0014958338908384057,90,48,3,5,-0.007554858411223421,0.009030489989611024,False,0.02,False,False
BR,G14_vs_FLAT,mae_all,FLAT,G14,0.09791420116098419,0.006685761812405141,0.1606794131810511,0.028367386215831458,0.18075241361315622,0.0318,0.04069572118875632,0.11394801932851768,0.06573973808705645,90,59,5,5,0.0519826831796668,0.10776226223872777,True,0.02,True,True
BQ,P3_DIR_ALL_vs_G14,mae_all,G14,P3_DIR_ALL,-0.13864732619171746,-0.18849992589382156,-0.06710446100877279,-0.20414928605546712,-0.08327601564230899,0.0,0.032537313227172265,0.09110447703608233,-0.10517276184920471,90,8,0,5,-0.14509603903784385,-0.10200753803595351,True,0.02,False,False
