extractants with a well-determined curve: 82
descriptor coverage:
phys3d__anion_nitrate     82
phys3d__n_series          82
phys3d__n_block           82
phys3d__comp_varies       82
phys3d__d_mean            82
phys3d__d_spread          82
phys3d__d_range           82
phys3d__q_metal           82
phys3d__q_donor           82
phys3d__q_donor_spread    82
phys3d__cn                82
phys3d__frac_N            82
phys3d__dipole            82
phys3d__ang_std           82
phys3d__ang_min           82
phys3d__asym              82
phys3d__dd_dr_A           81
phys3d__dspread_dr_A      81
phys3d__dqm_dr_A          79
phys3d__dqd_dr_A          79
phys3d__dd_dr_B           76
phys3d__dcn_dr_raw        82
phys3d__dE_dr_A           79
phys3d__d2E_dr2_A         73
phys3d__E_rms_A           79
phys3d__dE_dr_B           81
phys3d__d2E_dr2_B         79
phys3d__E_rms_B           81

confound check  rho(n_metals, |a|) = 0.475  p=6.5e-06  n=82
confound check  rho(n_cells,  |a|) = -0.125  p=0.26  n=82

=== a  (signed radius coefficient) ===
    descriptor  n    rho     p  loco_lo  loco_hi  rho|n_metals  rho_between_chemo  icc_chemo
     d2E_dr2_A 73 -0.005 0.970   -0.035    0.048         0.006             -0.076      0.273
       dd_dr_A 81  0.004 0.974   -0.039    0.166         0.029              0.173      0.567
   comp_varies 82 -0.001 0.994   -0.062    0.127         0.010              0.026      0.775

=== |a|  (magnitude) ===
    descriptor  n    rho     p  loco_lo  loco_hi  rho|n_metals  rho_between_chemo  icc_chemo
       n_block 82  0.416 0.000    0.377    0.471         0.144              0.464      0.873
 anion_nitrate 82 -0.323 0.003   -0.370   -0.108        -0.246             -0.172      0.607
      n_series 82  0.315 0.004    0.278    0.362        -0.003              0.293      0.669
       E_rms_B 81  0.227 0.041    0.195    0.272         0.174              0.194      0.698
       dE_dr_B 81 -0.194 0.083   -0.242   -0.011        -0.144             -0.093      0.792
       E_rms_A 79  0.177 0.119    0.152    0.221         0.125              0.373      0.403
       dd_dr_B 76  0.175 0.131    0.124    0.232         0.129              0.323      0.532
       dd_dr_A 81  0.159 0.157    0.122    0.209         0.111              0.263      0.567
  dspread_dr_A 81  0.138 0.220   -0.046    0.170         0.155             -0.020      0.488
q_donor_spread 82 -0.133 0.233   -0.207   -0.047        -0.105             -0.160      0.786
      d_spread 82  0.123 0.269   -0.010    0.164         0.140             -0.047      0.697
       dE_dr_A 79 -0.084 0.463   -0.116   -0.007        -0.071              0.009      0.422
       q_donor 82 -0.083 0.458   -0.154    0.079        -0.095             -0.065      0.931
          asym 82 -0.070 0.530   -0.115   -0.006         0.085             -0.084      0.763
    dcn_dr_raw 82  0.067 0.551    0.037    0.133        -0.035              0.093      0.856
        frac_N 82 -0.062 0.577   -0.129    0.126        -0.188              0.060      0.955
      dqd_dr_A 79  0.049 0.669    0.013    0.090         0.022             -0.008      0.505
   comp_varies 82  0.049 0.664   -0.002    0.113         0.024             -0.046      0.775
       q_metal 82  0.043 0.702   -0.011    0.107         0.198              0.022      0.871
            cn 82 -0.043 0.703   -0.084   -0.009         0.132             -0.009      0.733
       d_range 82  0.037 0.741   -0.148    0.093         0.054             -0.151      0.681
        dipole 82  0.032 0.778   -0.002    0.144         0.109              0.076      0.803
       ang_std 82 -0.024 0.828   -0.065    0.059         0.099              0.032      0.755
     d2E_dr2_B 79  0.010 0.932   -0.034    0.048        -0.035              0.020      0.873
     d2E_dr2_A 73  0.009 0.941   -0.077    0.064        -0.018             -0.118      0.273
      dqm_dr_A 79  0.007 0.953   -0.040    0.162        -0.057              0.097      0.523
        d_mean 82  0.006 0.954   -0.059    0.078         0.001              0.052      0.812
       ang_min 82 -0.001 0.991   -0.092    0.032        -0.153             -0.084      0.790

=== b  (curvature) ===
    descriptor  n    rho     p  loco_lo  loco_hi  rho|n_metals  rho_between_chemo  icc_chemo
       E_rms_A 79 -0.317 0.004   -0.445   -0.273        -0.295             -0.540      0.403
      d_spread 82 -0.315 0.004   -0.364   -0.266        -0.323             -0.161      0.697
       d_range 82 -0.309 0.005   -0.353   -0.256        -0.322             -0.142      0.681
       E_rms_B 81 -0.267 0.016   -0.361   -0.230        -0.241             -0.400      0.698
 anion_nitrate 82  0.236 0.033    0.061    0.286         0.194              0.069      0.607
       n_block 82 -0.229 0.039   -0.281   -0.168        -0.110             -0.231      0.873
       dE_dr_B 81  0.219 0.050    0.104    0.291         0.194              0.314      0.792
    dcn_dr_raw 82  0.196 0.077    0.152    0.274         0.252              0.265      0.856
     d2E_dr2_B 79 -0.186 0.100   -0.254   -0.156        -0.171             -0.424      0.873
      n_series 82 -0.179 0.107   -0.221   -0.112        -0.045             -0.134      0.669
        d_mean 82 -0.173 0.120   -0.284   -0.111        -0.175             -0.201      0.812
      dqd_dr_A 79 -0.155 0.173   -0.198   -0.111        -0.144             -0.189      0.505
        frac_N 82  0.155 0.166    0.080    0.226         0.210              0.091      0.955
       ang_std 82 -0.152 0.172   -0.226   -0.065        -0.213             -0.140      0.755
       dd_dr_A 81 -0.147 0.189   -0.192   -0.094        -0.124             -0.229      0.567
        dipole 82 -0.139 0.214   -0.202   -0.075        -0.174             -0.176      0.803
          asym 82 -0.112 0.315   -0.162   -0.052        -0.191              0.008      0.763
            cn 82  0.106 0.341    0.079    0.163         0.039              0.208      0.733
       dd_dr_B 76 -0.097 0.405   -0.147   -0.029        -0.084             -0.204      0.532
       q_donor 82  0.089 0.425    0.022    0.179         0.092              0.134      0.931
     d2E_dr2_A 73  0.086 0.467    0.039    0.119         0.096              0.145      0.273
q_donor_spread 82  0.073 0.512   -0.009    0.172         0.056              0.136      0.786
       ang_min 82  0.072 0.518   -0.005    0.125         0.140              0.011      0.790
  dspread_dr_A 81 -0.060 0.593   -0.102    0.018        -0.062             -0.190      0.488
      dqm_dr_A 79  0.056 0.622    0.021    0.086         0.088              0.013      0.523
   comp_varies 82  0.039 0.730   -0.021    0.106         0.053              0.210      0.775
       dE_dr_A 79  0.028 0.806   -0.001    0.067         0.018             -0.048      0.422
       q_metal 82 -0.025 0.822   -0.066    0.073        -0.088              0.077      0.871
