regime,comparison,reference,candidate,point_delta_mae,ci95_low,ci95_high,p_worse_one_sided,groups_improved,groups_total,bootstrap_unit,bootstrap_resample_unit,bootstrap_blocks,bootstrap_replicates
unseen_chemotype,MC_vs_A_complex_phys,MC,A_complex_phys,-0.040852351335035515,-0.15902082076523547,0.042540838374813275,0.8272345530893821,32,74,ecfp_cluster,tanimoto_cluster,40,5000
unseen_chemotype,MC_vs_A_polyhedron,MC,A_polyhedron,-0.04920350312091324,-0.18816694999416309,0.05758459942500976,0.8232353529294141,34,74,ecfp_cluster,tanimoto_cluster,40,5000
unseen_chemotype,MC_vs_MC_physchem,MC,MC_physchem,0.05694990585494164,-0.038484321301748,0.185646195899051,0.11257748450309939,42,74,ecfp_cluster,tanimoto_cluster,40,5000
unseen_chemotype,MC_vs_MC_ecfp,MC,MC_ecfp,0.09036634998150901,-0.05623898734358997,0.18065838397128373,0.10937812437512498,47,74,ecfp_cluster,tanimoto_cluster,40,5000
unseen_chemotype,MC_vs_MC_lig2d_ext,MC,MC_lig2d_ext,0.10971709746067015,0.005714117299661129,0.22689321050546657,0.020795840831833633,47,74,ecfp_cluster,tanimoto_cluster,40,5000
unseen_chemotype,MC_vs_MC_donors,MC,MC_donors,0.1167652836356692,0.03772935150856788,0.184773343217545,0.0015996800639872025,46,74,ecfp_cluster,tanimoto_cluster,40,5000
unseen_chemotype,MC_vs_MC_complex_phys,MC,MC_complex_phys,0.0248469911512743,-0.04835600678297393,0.11893191865632918,0.2473505298940212,41,74,ecfp_cluster,tanimoto_cluster,40,5000
unseen_chemotype,MC_vs_MC_polyhedron,MC,MC_polyhedron,0.0331397720041489,-0.05708281729449301,0.11159300796161244,0.20735852829434112,42,74,ecfp_cluster,tanimoto_cluster,40,5000
unseen_chemotype,MC_vs_MC_all2d,MC,MC_all2d,0.07906673707547807,-0.030012797697405648,0.1726328082443544,0.0629874025194961,41,74,ecfp_cluster,tanimoto_cluster,40,5000
unseen_chemotype,MC_vs_MC_all3d,MC,MC_all3d,0.03874254162669977,-0.05497475228030757,0.12604539830807324,0.1821635672865427,44,74,ecfp_cluster,tanimoto_cluster,40,5000
unseen_chemotype,MC_vs_MC_everything,MC,MC_everything,0.07574333713212043,-0.03964606843469078,0.1834368780789242,0.08358328334333133,41,74,ecfp_cluster,tanimoto_cluster,40,5000
unseen_chemotype,MC_vs_MC@hgb,MC,MC@hgb,-0.02223991140459487,-0.18000811010247883,0.0932436877602848,0.5982803439312138,38,74,ecfp_cluster,tanimoto_cluster,40,5000
unseen_chemotype,MC_vs_MC@ridge,MC,MC@ridge,-0.1381299646996484,-0.24127401249004207,0.008164758808117088,0.9702059588082383,24,74,ecfp_cluster,tanimoto_cluster,40,5000
unseen_chemotype,MC_vs_MC_ecfp@hgb,MC,MC_ecfp@hgb,0.07840216569449467,-0.1025275236556115,0.18645597468180897,0.19816036792641473,43,74,ecfp_cluster,tanimoto_cluster,40,5000
unseen_chemotype,MC_vs_MC_ecfp@ridge,MC,MC_ecfp@ridge,-0.056793593625877624,-0.24514297808016916,0.06700548423625491,0.8034393121375725,35,74,ecfp_cluster,tanimoto_cluster,40,5000
