budget,strategy,deployable,macro_mae,zero_shot_macro_mae,reduction,gain_per_measurement,n_measurements_used,n_ligands_measured,n_chemotypes_covered,gain_per_chemotype_covered
49,D_NEW_CHEMOTYPE,True,0.7824243112543372,1.0357994416277343,0.2533751303733971,0.005170921028028512,49,49,41.0,0.006179881228619441
49,E_CENTRAL_SPREAD,True,0.8465594261405919,1.0357994416277343,0.18924001548714242,0.0038620411323906615,49,49,25.42,0.007444532473923777
49,E_CENTRAL_SPREAD_NOVELTY,True,0.7824243112543372,1.0357994416277343,0.2533751303733971,0.005170921028028512,49,49,41.0,0.006179881228619441
49,F_DIVERSITY,True,0.835716547499149,1.0357994416277343,0.20008289412858526,0.004083324369971128,49,49,39.0,0.005130330618681673
49,ORACLE_ERROR,False,0.6804436662656163,1.0357994416277343,0.35535577536211804,0.007252158680859552,49,49,24.0,0.014806490640088252
99,A_DEPTH_5,True,0.9298686827817326,1.0357994416277343,0.10593075884600167,0.0011150606194315965,95,19,12.44,0.008515334312379556
99,A_DEPTH_3,True,0.8626728843144474,1.0357994416277343,0.17312655731328686,0.0017487531041746147,99,33,19.24,0.0089982618146199
99,B_BREADTH_1,True,0.6538728377727725,1.0357994416277343,0.3819266038549618,0.0038578444833834527,99,99,41.0,0.009315283020852726
99,C_BREADTH_2,True,0.8081385863170172,1.0357994416277343,0.22766085531071711,0.0023230699521501748,98,49,25.755,0.00883948186024916
99,D_NEW_CHEMOTYPE,True,0.6538728377727724,1.0357994416277343,0.3819266038549619,0.0038578444833834535,99,99,41.0,0.00931528302085273
99,E_CENTRAL_SPREAD,True,0.6538728377727725,1.0357994416277343,0.3819266038549618,0.0038578444833834527,99,99,41.0,0.009315283020852726
99,E_CENTRAL_SPREAD_NOVELTY,True,0.6538728377727724,1.0357994416277343,0.3819266038549619,0.0038578444833834535,99,99,41.0,0.00931528302085273
99,F_DIVERSITY,True,0.6538728377727724,1.0357994416277343,0.3819266038549619,0.0038578444833834535,99,99,41.0,0.00931528302085273
99,ORACLE_ERROR,False,0.6538728377727724,1.0357994416277343,0.3819266038549619,0.0038578444833834535,99,99,41.0,0.00931528302085273
198,A_DEPTH_5,True,0.8158089684040556,1.0357994416277343,0.2199904732236787,0.001128156272941942,195,39,21.52,0.010222605633070573
198,A_DEPTH_3,True,0.69066739866798,1.0357994416277343,0.3451320429597543,0.0017430911260593652,198,66,31.385,0.010996719546272241
198,B_BREADTH_1,True,0.6538728377727725,1.0357994416277343,0.3819266038549618,0.0038578444833834527,99,99,41.0,0.009315283020852726
198,C_BREADTH_2,True,0.576083005605194,1.0357994416277343,0.4597164360225403,0.0023218001819320217,198,99,41.0,0.011212596000549763
