n_folds,checkpoint,endpoint,n_rows,comparison,reference,candidate,statistic,point_delta,ci95_low,ci95_high,p_worse_one_sided,units_improved,units_total,bootstrap_blocks,bootstrap_replicates,block_macro_delta,n_blocks_positive,largest_block_unit_share,cluster_robust_se,cluster_robust_low,cluster_robust_high,cluster_robust_p_two_sided,bca_low,bca_high,bca_z0,bca_acceleration
15,30,hard_nn<0.4,13946,maxmin_vs_random,random,maxmin,mae,0.13422278948211883,0.04617103066368298,0.23560507595289595,0.0021995600879824036,70,119,69,5000,0.1854749891133472,43,0.23529411764705882,0.04454422498982812,0.045336172440295974,0.22310940652394168,0.003628861733419613,0.045957846950909396,0.23548685087032908,0.007519955698540524,-0.005300091162250898
15,30,hard_nn<0.4,13946,maxmin_vs_random,random,maxmin,offset_mae,0.11739356358302269,0.020351448941322892,0.23064105605453522,0.010197960407918417,70,119,69,5000,0.17260102819534093,43,0.23529411764705882,0.04960204726406323,0.018414219332269846,0.21637290783377555,0.020801159759615506,0.01614352672654458,0.225114850369296,-0.012032106029748954,-0.014346670909550736
15,30,hard_nn<0.4,13946,maxmin_vs_random,random,maxmin,shape_mae,0.029458555564257197,-0.01340972905566598,0.06027909292002527,0.08218356328734253,69,119,69,5000,0.017808815761091196,38,0.23529411764705882,0.017397113893003434,-0.005256844705777645,0.06417395583429204,0.09497486276576868,-0.01158643664584001,0.06192198106778672,0.012533469508069276,0.01322751692703312
15,30,hard_nn<0.4,13946,uncertainty_vs_random,random,uncertainty,mae,0.1225156113375463,0.032477273258645745,0.25686014953744146,0.0015996800639872025,57,119,69,5000,0.21939316545127233,38,0.23529411764705882,0.05796453384460388,0.006849184925825619,0.238182037749267,0.03821824299541041,0.015152523782388337,0.23463948225950562,-0.03409675013052492,-0.09053181259336585
15,30,hard_nn<0.4,13946,uncertainty_vs_random,random,uncertainty,offset_mae,0.12275100695794958,0.02837080317779621,0.2673764784484224,0.0023995200959808036,65,119,69,5000,0.2321075958480181,42,0.23529411764705882,0.06081382223493689,0.0013989140866356164,0.24410309982926354,0.04748849209692265,0.01296364775156569,0.24125197224128073,-0.03660494579591264,-0.07984889347669683
15,30,hard_nn<0.4,13946,uncertainty_vs_random,random,uncertainty,shape_mae,0.01624050727829325,-0.013756476760562603,0.0572815932337862,0.16696660667866425,61,119,69,5000,0.013646792757350208,37,0.23529411764705882,0.017648595048509397,-0.018976715824393822,0.051457730380980324,0.3607132954530606,-0.013199067003227163,0.058013354527201015,0.04864777006503448,-0.012690517977462186
15,30,hard_nn<0.4,13946,diversity_x_uncertainty_vs_random,random,diversity_x_uncertainty,mae,0.17119376372469156,0.0882077658033112,0.3003002514287761,0.0001999600079984003,67,119,69,5000,0.2662655121069346,45,0.23529411764705882,0.05219097453542226,0.06704829553821033,0.27533923191117277,0.001638322830504447,0.07985597183195263,0.2845573028299021,-0.01153074557586483,-0.04799404272436319
15,30,hard_nn<0.4,13946,diversity_x_uncertainty_vs_random,random,diversity_x_uncertainty,offset_mae,0.18707860475219568,0.0985338932521116,0.31993971261810955,0.0001999600079984003,73,119,69,5000,0.28732471283871963,49,0.23529411764705882,0.053127665648422695,0.08106399855137565,0.2930932109530157,0.0007718183387090201,0.09108188996708737,0.3086847965173777,-0.03209034878725277,-0.03142848681201582
15,30,hard_nn<0.4,13946,diversity_x_uncertainty_vs_random,random,diversity_x_uncertainty,shape_mae,0.023434568635411848,-0.0058598626015621685,0.0660813135511761,0.07078584283143372,65,119,69,5000,0.035141784058000065,44,0.23529411764705882,0.018919928665027303,-0.014319561200519044,0.06118869847134274,0.21974568060879426,-0.010778622300357112,0.060663929643797375,-0.02206011794114996,-0.06784028748537857
15,30,hard_nn<0.4,13946,offset_uncertainty_vs_random,random,offset_uncertainty,mae,0.08275373449965914,-0.014705442275210921,0.23445857717023022,0.057388522295540895,59,119,69,5000,0.20756733742992436,43,0.23529411764705882,0.0640024928502623,-0.044961251517099954,0.21046872051641824,0.2003948158659787,-0.03773991199244967,0.20525261022252017,-0.04914969544003161,-0.09244259928589114
