extractant_system_key,e_l_00,e_l_01,e_l_02,e_l_03,e_l_04,e_l_05,e_l_06,e_l_07,n_training_rows,fold_id,fold_ordinal
CCCCC(CC)CP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,0.546826,-0.88668,0.79501,-0.984378,-1.92138,-2.34088,-0.264511,0.937804,6,s104729_S_b004,4
CCCCCC(=O)N(C(C)CC)C(C)CC,2.19967,-1.968,0.0085015,0.541693,-1.05362,-0.823496,-1.24569,-0.690316,5,s104729_S_b004,4
CCCCCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,2.32379,-1.3135,0.297056,1.23764,-1.57279,-1.40521,-0.902347,-0.836806,17,s104729_S_b004,4
CCCCCC(=O)N(CCCC)CCCC,1.66492,-1.67819,0.233796,0.789556,-1.17109,-1.00521,-1.38301,-0.938428,2,s104729_S_b004,4
CCCCCC(C)Oc1cc(CNC(=O)COCC(=O)N(CCCC)CCCC)cc(CNC(=O)COCC(=O)N(CCCC)CCCC)c1,0.045149,0.714916,-0.679437,-1.19506,0.422921,-1.22545,1.69174,-0.189375,2,s104729_S_b004,4
CCCCCC(CC)C(=O)N(CC(C)C)CC(C)C,2.4146,-1.4733,0.475232,0.633736,-1.47689,-1.32547,-2.01309,-1.35404,14,s104729_S_b004,4
CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,0.0335328,-0.370346,-0.84454,-0.953248,0.346409,0.472763,0.808682,0.312287,134,s104729_S_b004,4
CCCCCCC(CCCC)CCCN(C)C(=O)COCC(=O)N(C)CCCC(CCCC)CCCCCC,-0.301285,-0.0808071,-0.362743,-0.700771,0.287361,0.125608,0.865878,0.131794,14,s104729_S_b004,4
CCCCCCCC(=O)N(CCCCCC)CCCCCC,1.60765,-2.27477,0.406341,0.885984,-1.01785,-1.04782,-1.32781,-0.802837,446,s104729_S_b004,4
CCCCCCCC(=O)N(CCCCCC)CCCCCC|CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-2.68197,-1.71848,0.525188,1.71228,-0.0608275,0.276775,2.07591,1.71161,77,s104729_S_b004,4
CCCCCCCCC(Br)C(=O)O|Cc1cc(C)n(-c2cncc(-n3nc(C)cc3C)n2)n1,-6.02777,-1.30285,1.05276,2.52031,-3.66374,0.0780701,-0.825985,-0.112113,6,s104729_S_b004,4
CCCCCCCCC(Br)C(=O)O|Cc1ccn(-c2cccc(-n3ccc(C)n3)n2)n1,-5.23168,-1.59123,0.989792,2.15285,-3.69622,0.649565,-0.462896,-0.0113023,6,s104729_S_b004,4
CCCCCCCCC(Br)C(=O)O|c1cc(-n2cccn2)nc(-n2cccn2)c1,-5.03745,-1.37627,0.725941,2.34049,-3.64918,0.285111,-0.448434,0.0375296,6,s104729_S_b004,4
