g19_metal_state,e_m_00,e_m_01,e_m_02,e_m_03,e_m_04,e_m_05,e_m_06,e_m_07,n_training_rows,fold_id,fold_ordinal
La(III),-0.491659,0.39301,1.00683,-1.41722,1.87312,-0.82693,-1.7245,2.02291,344,s104729_S_b000,0
Lu(III),1.02761,0.324777,-0.279293,1.968,0.228158,0.597182,1.06611,0.892701,247,s104729_S_b000,0
Nd(III),0.0184251,0.208891,0.935445,-0.834215,1.27022,-0.38565,-0.647625,1.03568,433,s104729_S_b000,0
Np(IV),-0.320207,-0.823857,-0.263165,-0.323727,-0.634394,0.408891,-0.443971,-1.74529,216,s104729_S_b000,0
Np(V),-0.864753,-0.60816,0.78262,-2.34967,-1.98598,-2.1304,-2.19694,-1.45815,187,s104729_S_b000,0
Np(VI),-1.35651,-2.34178,-0.00306238,-1.19362,-1.06246,-0.0760869,-3.03602,-2.06934,67,s104729_S_b000,0
Pa(V),-0.490332,-1.64884,-1.77146,0.271104,-2.50876,0.0752185,-2.66426,-1.23552,43,s104729_S_b000,0
Pb(II),-1.48831,5.44033,-0.0902238,0.718389,0.318336,0.719458,-1.74008,-1.01182,10,s104729_S_b000,0
Pd(II),2.07266,-3.03245,-2.1799,-2.4239,-6.24623,-2.3324,1.65361,2.88398,18,s104729_S_b000,0
Pd(IV),2.39559,0.0741441,-0.939257,0.363733,-4.24748,-4.66384,-3.19844,-0.525826,5,s104729_S_b000,0
Pm(III),0.175663,0.548566,-0.402672,0.260454,1.03551,-0.056815,0.124077,1.32479,1,s104729_S_b000,0
Pr(III),-0.450962,0.263892,0.671042,-1.00951,1.42494,-0.348213,-0.841785,1.35647,348,s104729_S_b000,0
Pu(III),1.08381,-0.215867,-0.794675,-1.48979,-0.319386,-1.18196,-0.0226189,-2.28251,118,s104729_S_b000,0
Pu(IV),0.97667,-1.28135,-1.30201,-0.438411,-1.37514,0.225617,-0.694542,-2.37368,566,s104729_S_b000,0
Pu(VI),0.0110754,-2.69094,-0.99334,-1.35903,-1.75321,-0.362904,-3.33252,-2.69467,107,s104729_S_b000,0
Sm(III),0.0535119,0.398934,0.122128,-0.0619864,0.925574,0.0374641,0.0710748,1.23854,323,s104729_S_b000,0
Sr(II),-0.979607,4.63803,-0.121516,-2.10026,1.19304,1.88096,-2.22903,-0.869403,94,s104729_S_b000,0
Sr(III),-1.95282,3.25324,-0.490774,-0.497466,-3.22983,2.92416,-1.1065,-2.27071,38,s104729_S_b000,0
Tb(III),0.316306,0.463266,-0.188007,0.953112,0.22863,0.462257,0.517712,0.904183,269,s104729_S_b000,0
Tc(VII),3.93879,-2.24691,-1.50158,2.61625,-2.62266,-1.40591,-3.39762,-1.76424,21,s104729_S_b000,0
Th(IV),1.08943,0.66584,-1.78226,-0.33855,0.905384,-0.974036,-0.36564,-1.20032,773,s104729_S_b000,0
Tm(III),0.874097,0.440706,-0.405959,1.8628,0.161198,0.624031,0.802326,0.74523,201,s104729_S_b000,0
U(IV),-0.680584,0.519603,-1.24453,-0.586659,-1.03006,-0.657475,-2.04886,-0.214959,15,s104729_S_b000,0
U(VI),-1.50102,-2.75977,-0.559163,-0.602525,-2.65804,1.10745,-3.97363,-0.639599,1036,s104729_S_b000,0
Y(III),-0.225659,1.45159,-2.56271,1.08092,0.987757,-0.926951,-0.444442,-1.45865,28,s104729_S_b000,0
Yb(III),0.768918,0.437683,-0.560238,2.07265,-0.132884,0.613979,0.959738,1.15241,231,s104729_S_b000,0
Zr(IV),3.05373,-0.965947,-1.12526,2.49386,-1.33806,0.367811,-0.685811,-1.40848,13,s104729_S_b000,0
