extractant_system_key,e_l_00,e_l_01,e_l_02,e_l_03,n_training_rows,fold_id,fold_ordinal
CCCCCCCC(=O)N(CCCCCC)CCCCCC|CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-0.900694,1.1723,0.50469,0.630271,63,s104729_S_b003,3
CCCCCCCCC(Br)C(=O)O|Cc1cc(C)n(-c2cncc(-n3nc(C)cc3C)n2)n1,-1.52081,-0.573343,-1.53179,-1.88733,6,s104729_S_b003,3
CCCCCCCCC(Br)C(=O)O|Cc1ccn(-c2cccc(-n3ccc(C)n3)n2)n1,-1.19779,-0.39495,-1.22076,-1.39843,6,s104729_S_b003,3
CCCCCCCCC(Br)C(=O)O|c1cc(-n2cccn2)nc(-n2cccn2)c1,-1.01889,-0.326875,-0.883266,-1.1096,6,s104729_S_b003,3
CCCCCCCCC(C)(C)SCC1CN(C(=O)COCC(=O)N2CC(C)C(CSC(C)(C)CCCCCCCC)C2)CC1C,-0.259015,1.03354,0.797276,0.873665,14,s104729_S_b003,3
CCCCCCCCCC(=O)N(C)C,-0.597936,-0.9665,-0.0993911,-1.33057,5,s104729_S_b003,3
CCCCCCCCCC(=O)N(CC)CC,-0.658351,-0.918255,-0.133734,-1.72109,5,s104729_S_b003,3
CCCCCCCCCC(=O)N(CCCCCC)CCCCCC,-1.40543,-0.928824,-0.86582,-1.57391,63,s104729_S_b003,3
CCCCCCCCCCCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,-0.804345,-0.901098,-1.2446,-1.66449,11,s104729_S_b003,3
CCCCCCCCCCCC(=O)N(CC)CC,-0.918565,-1.13991,-0.890124,-1.72317,47,s104729_S_b003,3
CCCCCCCCCCCCCCC(C(=O)N(C)CCCC)C(=O)N(C)CCCC,0.901681,-1.39138,1.03425,-0.5163,12,s104729_S_b003,3
CCCCCCCCCCCCN(C)C(=O)C1CC(OC)CC(C(=O)N(C)CCCCCCCCCCCC)O1,1.95953,0.482948,-0.370446,0.168915,105,s104729_S_b003,3
CCCCCCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCCCCCC,0.798058,0.0568583,0.183475,0.779253,22,s104729_S_b003,3
CCCCCCCCCCCCN(CC)C(=O)COCC(=O)N(CC)CCCCCCCCCCCC,0.902826,0.107466,0.543973,1.23392,26,s104729_S_b003,3
CCCCCCCCCCCCN(CCC)C(=O)COCC(=O)N(CCC)CCCCCCCCCCCC,0.908748,0.287041,0.338273,0.801816,26,s104729_S_b003,3
CCCCCCCCCCCCN(CCCC)C(=O)COCC(=O)N(CCCC)CCCCCCCCCCCC,0.607377,0.0740649,0.435877,1.50852,22,s104729_S_b003,3
CCCCCCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCCCCCC,0.841378,0.239064,0.169883,2.04766,13,s104729_S_b003,3
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COC1CCCN(CCCCCC)C1=O,0.65173,-0.0450478,-0.239029,0.929286,14,s104729_S_b003,3
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,0.576972,0.612196,-0.487107,-0.235062,39,s104729_S_b003,3
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,1.08,0.295111,0.030362,1.19346,368,s104729_S_b003,3
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,1.99172,0.111126,0.473487,-1.942,208,s104729_S_b003,3
CCCCCCCCCCCCNC(=O)c1cc(=O)cc(C(=O)NCCCCCCCCCCCC)o1,-0.739205,-3.22055,0.159782,-0.955109,6,s104729_S_b003,3
CCCCCCCCCCCCNC(=O)c1cc(OC)ccn1,-1.34297,-1.2013,-1.0946,-0.131909,4,s104729_S_b003,3
CCCCCCCCCCCCNCC(=O)c1cccc(C(=O)CNCCCCCCCCCCCC)n1,-0.29354,-4.05672,-1.16786,-3.38177,2,s104729_S_b003,3
CCCCCCCCCCCCOCc1cc(-n2ccc(C)n2)nc(-n2ccc(C)n2)c1,-0.307787,-0.401554,0.821093,-1.54203,4,s104729_S_b003,3
CCCCCCCCCCCCOCc1cc(-n2ccc(C)n2)nc(-n2ccc(C)n2)c1|c1cc(-n2cccn2)nc(-n2cccn2)c1,-1.16555,-0.634911,-1.76861,-1.25472,8,s104729_S_b003,3
CCCCCCCCCCCCOCc1cc(-n2cccn2)nc(-n2cccn2)c1,-0.884102,-1.04656,0.466133,-2.00282,12,s104729_S_b003,3
CCCCCCCCCCCCOCc1cc(-n2cccn2)nc(-n2cccn2)c1|c1cc(-n2cccn2)nc(-n2cccn2)c1,-0.866606,-0.0286968,-1.57677,-2.12673,12,s104729_S_b003,3
CCCCCCCCCCCCOc1cc(CNC(=O)COCC(=O)N(CCCC)CCCC)cc(CNC(=O)COCC(=O)N(CCCC)CCCC)c1,0.658474,0.86643,0.0633843,0.618561,2,s104729_S_b003,3
CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,0.615427,-0.450452,-0.693082,0.226445,82,s104729_S_b003,3
CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,0.692536,0.594672,0.805516,0.185707,216,s104729_S_b003,3
CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCC)CCCCCCCCCC,0.699454,0.342392,0.155596,1.09705,184,s104729_S_b003,3
CCCCCCCCCCN(CCCCCCCCCC)C(=O)[C@H](C)O[C@@H](CC)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,-0.0555023,-1.2544,-1.48468,-0.0810055,11,s104729_S_b003,3
CCCCCCCCCCN(CCCCCCCCCC)C(=O)[C@H](C)O[C@H](CC)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,0.227574,-0.823145,-1.1471,0.092196,34,s104729_S_b003,3
CCCCCCCCCCN(CCCCCCCCCC)C(=O)[C@H](CCC)O[C@@H](CCC)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,-0.281904,-0.960893,-1.44414,-0.380272,27,s104729_S_b003,3
CCCCCCCCCCN(CCCCCCCCCC)C(=O)[C@H](CCC)O[C@H](CCC)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,-0.462091,-1.22678,-1.65876,-0.465484,25,s104729_S_b003,3
CCCCCCCCN(C(=O)c1ccc2ccc3cccnc3c2n1)c1ccc(C)cc1,-1.17641,-0.237955,-0.189474,-0.541928,14,s104729_S_b003,3
CCCCCCCCN(C)C(=O)C(CCCCCC)(OCC)C(=O)N(C)CCCCCCCC|CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,0.0938917,2.18912,-0.482897,1.0751,137,s104729_S_b003,3
CCCCCCCCN(C)C(=O)C(CCCCCC)C(=O)N(C)CCCCCCCC,1.18107,-0.441795,0.977447,-1.01594,9,s104729_S_b003,3
CCCCCCCCN(C)C(=O)C(CCOCCCCCC)C(=O)N(C)CCCCCCCC,0.390596,-1.21994,-0.109127,-1.0979,96,s104729_S_b003,3
CCCCCCCCN(C)C(=O)CC(=O)N(C)CCCCCCCC,0.947513,-0.768675,0.940637,-1.23756,9,s104729_S_b003,3
CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,1.03845,0.524767,0.599939,1.38027,462,s104729_S_b003,3
CCCCCCCCN(C)C(=O)COCC(=O)N(C)Cc1cccc(CN(C)C(=O)COCC(=O)N(C)CCCCCCCC)c1,0.955846,0.545564,0.666135,1.14381,2,s104729_S_b003,3
CCCCCCCCN(C)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,0.694461,0.420038,0.460762,1.23866,14,s104729_S_b003,3
CCCCCCCCN(C)C(=O)COCC(=O)NCc1cccc(CNC(=O)COCC(=O)N(C)CCCCCCCC)c1,0.992512,0.690593,0.0770564,0.80647,2,s104729_S_b003,3
CCCCCCCCN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,-0.950177,0.0069561,-0.035012,-0.996157,4,s104729_S_b003,3
CCCCCCCCN(CC(C)C)C(=O)COCC(=O)N(CCCCCCCC)CC(C)C,0.353557,-0.0967956,0.178918,0.227755,8,s104729_S_b003,3
CCCCCCCCN(CC(CC)CCCC)C(=O)COCC(=O)N(CCCCCCCC)CC(CC)CCCC,0.412884,0.0251544,-0.0979614,0.438719,8,s104729_S_b003,3
CCCCCCCCN(CC)C(=O)COCC(=O)N(CC)CCCCCCCC,0.772273,0.340368,0.806049,1.08291,14,s104729_S_b003,3
CCCCCCCCN(CCC(C)CC(C)(C)C)C(=O)COCC(=O)N(CCCCCCCC)CCC(C)CC(C)(C)C,0.601271,0.50845,-0.249453,1.08923,14,s104729_S_b003,3
CCCCCCCCN(CCC)C(=O)COCC(=O)N(CCC)CCCCCCCC,0.512266,0.333281,0.755666,1.19083,14,s104729_S_b003,3
CCCCCCCCN(CCCC(CCCC)CCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCC(CCCC)CCCCCC,-0.18126,0.3732,-0.153233,1.74379,14,s104729_S_b003,3
