extractant,extractant_name,chemotype,n_cells,n_cells_amp_raw,n_cells_with_amp,n_cond_varying,n_acid_conc_levels,n_extconc_levels,n_temp_levels,n_publications,amp_mean,amp_sd
CCCN(CCC)C(=O)COCC(=O)N(CCC)CCC,TPrDGA,sc009,9,9,4,6,1,1,1,1,-0.8103318034710296,0.19189476203842143
CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,T2EHDGA,sc009,6,4,4,11,4,1,2,5,-0.2769462251915231,0.04082267461379379
CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,mTDDGA,sc027,5,5,5,1,5,1,1,1,-0.36026500242986337,0.06465310258226671
CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,NTAamide(C8),sc032,5,1,0,1,1,1,1,1,,
CCCCCCCCCCCCN(C)C(=O)C1CC(OC)CC(C(=O)N(C)CCCCCCCCCCCC)O1,DMDO-HPyranDGA,sc020,3,3,3,1,1,3,1,1,-0.5515188349302709,0.19912193964268815
CCCCCCN(CCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,THDGA,sc009,3,2,2,3,2,1,1,2,-0.247460855129098,0.0
CCCCN(C)C(=O)CC(=O)N(C)CCCC,N-N-dibutyl-N-N-dimethylpropanediamide,sc031,3,0,0,1,3,1,1,1,,
CCCCCCOCCC(C(=O)N(C)CCCC)C(=O)N(C)CCCC,N-N-dibutyl-2-(2-hexoxyethyl)-N-N-dimethylpropanediamide,sc030,2,0,0,1,2,1,1,1,,
CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O,6-19-dihexyl-7-8-17-18-tetraphenyl-3-6-19-22-tetrazapentacyclo[12.8.0.02-11.04-9.016-21]docosa-1(22)-2-4(9)-7-10-12-14-16(21)-17-nonaene-5-20-dione,sc060,2,2,2,2,1,1,1,1,0.9482500662773989,0.6051699207256506
CCCCCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,N-N-bis(2-methylpropyl)-2-[octyl(phenyl)phosphoryl]acetamide,sc008,2,1,1,4,2,1,2,2,0.09418136401947513,
CCCCCCCCN(CCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCC)CCCCCCCC,DOODA (C8),sc009,2,2,1,1,1,1,1,1,2.052625148422532,
CCCCCCCCN(CCCCCCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCCCCCC)CCCCCCCC)nc3c2n1,2-N-2-N-9-N-9-N-tetraoctyl-1-10-phenanthroline-2-9-dicarboxamide,sc029,2,2,2,2,1,1,1,1,0.06228213488881352,0.1529901931530258
CCCCCCCCP(=O)(CCCCCCCC)Cc1cccc(CP(=O)(CCCCCCCC)CCCCCCCC)[n+]1[O-],2-6-bis(dioctylphosphorylmethyl)-1-oxidopyridin-1-ium,sc055,2,2,2,4,2,2,1,1,0.2968799502805022,0.12071693601689187
O=C(c1cc(Cl)c2ccc3c(Cl)cc(C(=O)N4CCCC4)nc3c2n1)N1CCCC1,[4-7-dichloro-9-(pyrrolidine-1-carbonyl)-1-10-phenanthrolin-2-yl]-pyrrolidin-1-ylmethanone,sc086,2,2,2,1,2,1,1,1,0.08949855991340674,0.04206053175765177
