global_model,arm,k,mae,n_ligands
GEN9_A0_ROW_ONLY,OFFSET_K2@RANDOM,3,0.5780649227735448,140
GEN9_A0_ROW_ONLY,OFFSET_K2@RANDOM,5,0.5616532564880948,99
GEN9_A0_ROW_ONLY,OFFSET_K3@CENTRAL,1,0.6464225820417543,143
GEN9_A0_ROW_ONLY,OFFSET_K3@CENTRAL,2,0.6058254623460134,143
GEN9_A0_ROW_ONLY,OFFSET_K3@CENTRAL,3,0.5615505675367327,140
GEN9_A0_ROW_ONLY,OFFSET_K3@CENTRAL,5,0.5569641567310536,99
GEN9_A0_ROW_ONLY,OFFSET_K3@CENTRAL_THEN_SPREAD,1,0.6444691674541048,143
GEN9_A0_ROW_ONLY,OFFSET_K3@CENTRAL_THEN_SPREAD,2,0.5535372558612889,143
GEN9_A0_ROW_ONLY,OFFSET_K3@CENTRAL_THEN_SPREAD,3,0.4977964956323815,140
GEN9_A0_ROW_ONLY,OFFSET_K3@CENTRAL_THEN_SPREAD,5,0.48927053749684063,99
GEN9_A0_ROW_ONLY,OFFSET_K3@D_OPTIMAL,1,0.8865789786518616,143
GEN9_A0_ROW_ONLY,OFFSET_K3@D_OPTIMAL,2,0.5653431676759666,143
GEN9_A0_ROW_ONLY,OFFSET_K3@D_OPTIMAL,3,0.5135585889337395,140
GEN9_A0_ROW_ONLY,OFFSET_K3@D_OPTIMAL,5,0.4855503941200015,99
GEN9_A0_ROW_ONLY,OFFSET_K3@MEDOID,1,0.6444691674541048,143
GEN9_A0_ROW_ONLY,OFFSET_K3@MEDOID,2,0.6115535136256873,143
GEN9_A0_ROW_ONLY,OFFSET_K3@MEDOID,3,0.5684069836204494,140
GEN9_A0_ROW_ONLY,OFFSET_K3@MEDOID,5,0.5646681736412593,99
GEN9_A0_ROW_ONLY,OFFSET_K3@ORACLE[OFFSET_K1],1,0.47904936904408196,143
GEN9_A0_ROW_ONLY,OFFSET_K3@ORACLE[OFFSET_K1],2,0.4697619025917454,143
GEN9_A0_ROW_ONLY,OFFSET_K3@ORACLE[OFFSET_K1],3,0.47625485655090116,140
GEN9_A0_ROW_ONLY,OFFSET_K3@ORACLE[OFFSET_K1],5,0.49303787798704324,99
GEN9_A0_ROW_ONLY,OFFSET_K3@RANDOM,1,0.7153125381561343,143
GEN9_A0_ROW_ONLY,OFFSET_K3@RANDOM,2,0.5930489015901202,143
GEN9_A0_ROW_ONLY,OFFSET_K3@RANDOM,3,0.5360159650521571,140
GEN9_A0_ROW_ONLY,OFFSET_K3@RANDOM,5,0.5121456223248817,99
GEN9_A0_ROW_ONLY,SERIES_MAP@CENTRAL,1,0.6464225820417543,143
GEN9_A0_ROW_ONLY,SERIES_MAP@CENTRAL,2,0.6061810551282775,143
