# regime: cohort=sys_a6ca4cd427ac7fcd (DMDO-HPyranDGA in aliphatic hydrocarbon, nitrate medium, no additive), feed todga_prnd_feed.json (feed_status assumed); holdout=none (computed regimes); averaging_unit=candidate; status_of_parameters=nearest (origin corpus)
front,front_in_domain,status,regime_status,in_domain,on_spec,n_ext,n_scr,n_str,feed_stage_offset,scrub_return_offset,oa_ext,s_over_a,w_over_a,scrub_acid_M,scrub_target_mM,scrub_complexant_M,strip_acid_M,strip_anion_M,ligand_total_M,saponification_degree,feed_dilution,f_bleed,purity_mol,purity_mass,purity_oxide,recovery_from_feed,recovery_total,scrub_target_return,net_product_mol_h,n_stages_total,throughput_mol_T_per_h_per_L_org,throughput_kg_oxide_per_h,cost_proxy_per_kg_oxide,enrichment_factor_Pr,sf_tracer_extraction_Pr,sf_tracer_scrub_Pr,max_loading_DMDO-HPyranDGA,acid_mol_h,acid_mol_per_kg_oxide,base_mol_h,base_mol_per_kg_oxide,salting_anion_mol_h,salting_anion_mol_per_kg_oxide,complexant_mol_h,complexant_mol_per_kg_oxide,extractant_makeup_mol_h,extractant_makeup_mol_per_kg_oxide,diluent_L_h,diluent_L_per_kg_oxide,water_L_h,water_L_per_kg_oxide,consumption_index,consumption_index_incomplete,flags,n_flags,ood_distance_max,reason,iterations,balance_rel_max,candidate
1,0,converged_newton,OUT_OF_DOMAIN,False,False,1.0,9.0,11.0,0.0,0.0,2.298581266799165,0.5334943111430814,4.4510643595400445,1.9543386928336954,20.311340375760437,0.0,0.9476899166602581,0.0,0.6712484501349234,0.20098637576794048,0.0,0.0,0.7876351018492062,0.79152034924779,0.7909637699788571,0.7165251096456822,0.8366032369962547,0.8311067181993604,0.05190925823256013,21,0.027297378466019394,0.01055638513490429,,1.2362920437223581,2.336195659634915,2.336195659634915,0.340783340396618,5.260857386615532,498.35784876971803,0.0,0.0,0.03250795362647703,3.079458849885147,0.0,0.0,,,,,4.984558670683126,472.18423797383724,498.35784876971803,False,COST_INCOMPLETE|EQUILIBRIUM_ACID_ASSUMED_NOMINAL|LIGAND_LOSS_NOT_MEASURED|OA_ASSUMED|OOD_HULL|OOD_LIGAND|OOD_TEMPERATURE|PHASE_BEHAVIOUR_UNKNOWN|SAPONIFICATION_RANGE_UNKNOWN,9,3.0,,4,5.189225780833072e-16,66
1,0,converged_newton,OUT_OF_DOMAIN,False,False,1.0,11.0,2.0,0.0,0.0,4.741498886344053,4.490568400859755,1.82150022853626,2.182634370508535,47.86026473928828,0.0,3.3515129740963667,0.0,0.13780538291023353,0.16830184120988323,0.0,0.0,0.9999999446238172,0.9999999459037785,0.99999994572119,0.000554044669254959,0.5065562809444079,0.17657828197239675,-0.1769280714241997,14,0.008012597278099167,0.00639180313639868,,6019434.678728696,2.336195659634915,2.336195659634915,0.6554082579659217,15.906050583094824,2488.507584427379,0.0,0.0,0.6447593774850909,100.87284663281515,0.0,0.0,,,,,6.312068629396014,987.5255064492505,2488.507584427379,False,COST_INCOMPLETE|EQUILIBRIUM_ACID_ASSUMED_NOMINAL|HIGH_LOADING|LIGAND_LOSS_NOT_MEASURED|OA_ASSUMED|OOD_HULL|OOD_LIGAND|OOD_TEMPERATURE|PHASE_BEHAVIOUR_UNKNOWN|SAPONIFICATION_RANGE_UNKNOWN,10,3.0,,12,8.056456149817864e-16,291
1,0,converged_newton,OUT_OF_DOMAIN,False,False,1.0,11.0,3.0,0.0,0.0,2.2925977748656057,2.297883686445646,2.011258821714976,1.8416746332608525,19.74264978603314,0.0,4.918094003029071,0.0,0.15055635066500778,0.13281710332544638,0.0,0.0,0.9996982535544754,0.9997052260458448,0.9997042314024531,0.0628643884846227,0.30307782694706575,0.39712303567840523,-0.022635475849505246,15,0.00991488226597552,0.003824281482092117,,1104.3468982888808,2.336195659634915,2.336195659634915,0.6076710741646554,14.123514045126619,3693.115716314948,0.0,0.0,0.13609893861160544,35.58810700752889,0.0,0.0,,,,,4.309142508160622,1126.7848688280276,3693.115716314948,False,COST_INCOMPLETE|EQUILIBRIUM_ACID_ASSUMED_NOMINAL|HIGH_LOADING|LIGAND_LOSS_NOT_MEASURED|OA_ASSUMED|OOD_ACID|OOD_HULL|OOD_LIGAND|OOD_TEMPERATURE|PHASE_BEHAVIOUR_UNKNOWN|SAPONIFICATION_RANGE_UNKNOWN,11,3.0,,8,8.337514706413529e-16,267
1,0,converged_newton,OUT_OF_DOMAIN,False,False,2.0,1.0,10.0,0.0,0.0,3.1900465281887573,0.24249934184125238,3.382856121519433,0.43132189776859825,3.9921952354959536,0.0,2.761612339699294,0.0,0.7690842043701119,0.19452121550614618,0.0,0.0,0.743418377865757,0.7478536063599326,0.7472176802386866,0.8289999414370055,0.8397637036304084,0.8338789701547631,0.06201417305517108,13,0.019743372773951568,0.010596264376964036,,0.9657984227163423,2.336195659634915,2.336195659634915,0.35911490827667353,9.446732484945965,891.5153632333751,0.0,0.0,0.0029043141513286548,0.2740884945870686,0.0,0.0,,,,,3.6253554633606853,342.13524072144713,891.5153632333751,False,COST_INCOMPLETE|EQUILIBRIUM_ACID_ASSUMED_NOMINAL|LIGAND_LOSS_NOT_MEASURED|OA_ASSUMED|OOD_HULL|OOD_LIGAND|OOD_TEMPERATURE|PHASE_BEHAVIOUR_UNKNOWN|SAPONIFICATION_RANGE_UNKNOWN,9,3.0,,4,4.3306949420490605e-16,117
1,0,converged_newton,OUT_OF_DOMAIN,False,False,2.0,1.0,10.0,0.0,1.0,2.69935438827102,2.5657618984196735,4.2185483180759595,0.33473864204466536,12.512993175057193,0.0,5.882596154074902,0.0,0.8251587383372366,0.05687385199479937,0.0,0.0,0.8064742165737251,0.8100978995887513,0.8095789851457275,0.6516738555853471,0.9350123711255578,0.6618953321723645,0.03802056671066967,13,0.025978777791875494,0.011798126350717955,,1.3890900431896154,2.336195659634915,2.336195659634915,0.3556610280789551,25.67487576537973,2176.182471873369,0.0,0.0,0.09631608337124153,8.163676206551253,0.0,0.0,,,,,6.7843102164956335,575.0328496933571,2176.182471873369,False,COST_INCOMPLETE|EQUILIBRIUM_ACID_ASSUMED_NOMINAL|LIGAND_LOSS_NOT_MEASURED|OA_ASSUMED|OOD_ACID|OOD_HULL|OOD_LIGAND|OOD_TEMPERATURE|PHASE_BEHAVIOUR_UNKNOWN|SAPONIFICATION_RANGE_UNKNOWN,10,3.0,,3,2.423397001867485e-13,210
1,0,converged_newton,OUT_OF_DOMAIN,False,False,2.0,2.0,2.0,0.0,0.0,2.9128552094225877,1.317880870254862,3.0160799932867923,2.2623462327708665,4.951900103828871,0.0,4.799947298752176,0.0,0.5081369892475813,0.35744242672252885,0.0,0.0,0.8008173443314637,0.8045212755382873,0.8039908097925755,0.5024115078458087,0.5497948206548752,0.5445511200131982,0.034708597130866506,6,0.014156080060460518,0.006937393516246313,,1.3401724858080675,2.336195659634915,2.336195659634915,0.4815378655269501,17.4585278386593,2516.5831803795045,0.0,0.0,0.019578043254747147,2.822103605467726,0.0,0.0,,,,,4.333960863541654,624.7246683343221,2516.5831803795045,False,COST_INCOMPLETE|EQUILIBRIUM_ACID_ASSUMED_NOMINAL|LIGAND_LOSS_NOT_MEASURED|OA_ASSUMED|OOD_ACID|OOD_HULL|OOD_LIGAND|OOD_TEMPERATURE|PHASE_BEHAVIOUR_UNKNOWN|SAPONIFICATION_RANGE_UNKNOWN,10,3.0,,3,2.639296418444155e-15,11
1,0,converged_newton,OUT_OF_DOMAIN,False,False,2.0,2.0,5.0,1.0,0.0,0.3602183709453357,4.9864671409237165,4.295112571640072,2.1861589700143744,49.26294432991227,0.0,4.3119787377967445,0.0,0.5790863944950358,0.3087290890052597,0.0,0.0,0.9999919966682046,0.9999921816552376,0.9999921552665266,0.0002570807580366352,0.4250949783929032,0.1297093215758127,-0.21376592978679412,9,0.08850776626355338,0.005363912201608411,,41648.987457060306,2.336195659634915,2.336195659634915,0.4995000443141024,29.4216439541678,5485.109160687882,0.0,0.0,0.7369441594987864,137.3893031429202,0.0,0.0,,,,,9.281579712563788,1730.3750254861804,5485.109160687882,False,COST_INCOMPLETE|EQUILIBRIUM_ACID_ASSUMED_NOMINAL|LIGAND_LOSS_NOT_MEASURED|OA_ASSUMED|OOD_ACID|OOD_HULL|OOD_LIGAND|OOD_TEMPERATURE|PHASE_BEHAVIOUR_UNKNOWN|SAPONIFICATION_RANGE_UNKNOWN,10,3.0,,5,5.751592690724184e-16,104
1,0,converged_newton,OUT_OF_DOMAIN,False,False,2.0,3.0,3.0,1.0,0.0,0.2737948009394215,0.8259393354125824,4.989406921465011,0.58774310007426,38.1320749900281,0.0,2.7210051571043303,0.0,0.18187330445895422,0.4237443859378453,0.0,0.0,0.9999662081319858,0.9999669891691932,0.9999668777528672,0.00064464861971752,0.12355342427542294,0.29268843841946085,-0.02222827385450984,8,0.033844714322048004,0.001559015640520928,,9863.972871711045,2.336195659634915,2.336195659634915,0.6488742442817828,14.061642109667,9019.564489403363,0.0,0.0,0.09448434202549967,60.60512772914117,0.0,0.0,,,,,5.815346256877593,3730.139779056007,9019.564489403363,False,COST_INCOMPLETE|EQUILIBRIUM_ACID_ASSUMED_NOMINAL|HIGH_LOADING|LIGAND_LOSS_NOT_MEASURED|OA_ASSUMED|OOD_HULL|OOD_LIGAND|OOD_TEMPERATURE|PHASE_BEHAVIOUR_UNKNOWN|SAPONIFICATION_RANGE_UNKNOWN,10,3.0,,15,3.784713085382707e-14,203
1,0,converged_newton,OUT_OF_DOMAIN,False,False,2.0,3.0,4.0,0.0,1.0,3.9066236055102364,4.952223356849351,2.338422157054731,1.4828313321268711,37.67945367476659,0.0,5.0953484640803435,0.0,0.5142396633261457,0.2621398455386588,0.0,0.0,0.9719521289618551,0.97258265101378,0.972492655977902,0.2145053183575781,1.0123386335281312,0.32067758865522544,-0.11067167304689239,9,0.019435042937722018,0.012773840728652988,,11.551109977176871,2.336195659634915,2.336195659634915,0.5218319687307147,19.258387703546997,1507.6426982801288,0.0,0.0,0.5597912116845066,43.82324968471225,0.0,0.0,,,,,7.2906455139040816,570.7481147428465,1507.6426982801288,False,COST_INCOMPLETE|EQUILIBRIUM_ACID_ASSUMED_NOMINAL|HIGH_LOADING|LIGAND_LOSS_NOT_MEASURED|OA_ASSUMED|OOD_ACID|OOD_HULL|OOD_LIGAND|OOD_TEMPERATURE|PHASE_BEHAVIOUR_UNKNOWN|SAPONIFICATION_RANGE_UNKNOWN,11,3.0,,4,4.317920626519316e-16,265
1,0,converged_newton,OUT_OF_DOMAIN,False,False,2.0,4.0,4.0,1.0,0.0,2.334183124545338,0.9642037200457942,2.5574725335952873,0.7646242945174194,36.66673689656021,0.0,3.904281458129033,0.0,0.9340921577671331,0.02085222193692113,0.0,0.0,0.8429568338620974,0.8460278178040403,0.8455883692601739,0.5269182906201574,0.8323612013288677,0.6479630605443795,0.02707288598206134,10,0.02674472685677774,0.010502858492547852,,1.7892253333750734,2.336195659634915,2.336195659634915,0.3648201067060532,10.722346181801447,1020.8979002629931,0.0,0.0,0.10606261235281116,10.098452000287951,0.0,0.0,,,,,3.5216762536410817,335.30645548922087,1020.8979002629931,False,COST_INCOMPLETE|EQUILIBRIUM_ACID_ASSUMED_NOMINAL|LIGAND_LOSS_NOT_MEASURED|OA_ASSUMED|OOD_HULL|OOD_LIGAND|OOD_TEMPERATURE|PHASE_BEHAVIOUR_UNKNOWN|SAPONIFICATION_RANGE_UNKNOWN,9,3.0,,3,3.2444654131325876e-16,299
