arm,extractant_family,n_extractants,macro_mae,fraction_extractants_improved_vs_A2
H1_CATBOOST_NONE_MAE,CCCCN(CCCC)C(=O)COCC(=O)N(CCCC)CCCC,1,0.38810203911067187,1.0
H1_CATBOOST_NONE_MAE,CCCN(CCC)C(=O)COCC(=O)N(CCC)CCC,1,0.16924565151022622,1.0
H1_CATBOOST_NONE_MAE,CCN(CC)C(=O)COCC(=O)N(CC)CC,1,0.18165230797256388,1.0
H1_CATBOOST_NONE_MAE,CN(C(=O)COCC(=O)N(C)c1ccccc1)c1ccccc1,1,0.3017211348850104,0.0
H1_CATBOOST_NONE_MAE,CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,1,0.3796553743488693,0.0
H1_CATBOOST_NONE_MAE,COCCN(CCOC)C(=O)COCC(=O)N(CCOC)CCOC,1,0.40150059038359237,1.0
H1_CATBOOST_NONE_MAE,O=C(COCC(=O)N1CCCCC1)N1CCCCC1,1,0.356334743474263,1.0
H1_CATBOOST_NONE_HUBER,CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,1,0.15098261160820767,1.0
H1_CATBOOST_NONE_HUBER,CC(C)CN(CC(C)C)C(=O)COCC(=O)N(CC(C)C)CC(C)C,1,0.2974664568141064,1.0
H1_CATBOOST_NONE_HUBER,CCCCC(CC)CN(C)C(=O)COCC(=O)N(C)CC(CC)CCCC,1,0.31621381042506774,0.0
H1_CATBOOST_NONE_HUBER,CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,1,0.3621133955912853,1.0
H1_CATBOOST_NONE_HUBER,CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,1,0.3132809644024121,0.0
H1_CATBOOST_NONE_HUBER,CCCCCCC(CCCC)CCCN(C)C(=O)COCC(=O)N(C)CCCC(CCCC)CCCCCC,1,0.20417376815777555,1.0
H1_CATBOOST_NONE_HUBER,CCCCCCCCC(C)(C)SCC1CN(C(=O)COCC(=O)N2CC(C)C(CSC(C)(C)CCCCCCCC)C2)CC1C,1,0.0763741876420233,1.0
H1_CATBOOST_NONE_HUBER,CCCCCCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCCCCCC,1,0.5143832404491256,1.0
H1_CATBOOST_NONE_HUBER,CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,1,0.18895100763624256,1.0
H1_CATBOOST_NONE_HUBER,CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,1,0.8807004107909285,0.0
H1_CATBOOST_NONE_HUBER,CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,1,0.4067617838254934,0.0
H1_CATBOOST_NONE_HUBER,CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,1,0.6217084956966612,1.0
H1_CATBOOST_NONE_HUBER,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,1,0.4257894891641835,1.0
H1_CATBOOST_NONE_HUBER,CCCCCCCCN(C)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,1,0.1696350254480595,0.0
H1_CATBOOST_NONE_HUBER,CCCCCCCCN(CC(C)C)C(=O)COCC(=O)N(CCCCCCCC)CC(C)C,1,0.16808430169811056,0.0
