adapter,k,n_ligands,delta_mae,ci_lo,ci_hi,win_rate
MASSACTION_POOLED_K1,5,99,-0.009902555392965482,-0.02307201770801277,0.004056832647679533,0.3434343434343434
MASSACTION_SHAPEONLY,1,143,0.28162687902319705,0.17101561922591876,0.40551404386847434,0.3916083916083916
MASSACTION_SHAPEONLY,2,143,0.3408094077795525,0.2319157817225918,0.46201893104879194,0.34265734265734266
MASSACTION_SHAPEONLY,3,140,0.3680765469527118,0.2614051869086678,0.4890089197308956,0.3
MASSACTION_SHAPEONLY,5,99,0.40387595968860507,0.2745235935117271,0.5400804592078445,0.31313131313131315
MASSACTION_WITH_METAL_K1,1,143,0.007770147219380075,-0.026046204916981158,0.04315289403282291,0.40559440559440557
MASSACTION_WITH_METAL_K1,2,143,0.010096285580028883,-0.02175906777247859,0.04355917053704085,0.42657342657342656
MASSACTION_WITH_METAL_K1,3,140,0.009051600991822315,-0.02259581949149142,0.04029068315878031,0.4357142857142857
MASSACTION_WITH_METAL_K1,5,99,-0.0015802112942720859,-0.03487835286294453,0.03311661077728133,0.46464646464646464
NEAREST_OBSERVED,1,143,0.0996989611325867,0.04754842077103842,0.1527914895643176,0.32167832167832167
NEAREST_OBSERVED,2,143,0.0398601006243221,-0.0026037899041615373,0.08333656168751542,0.3916083916083916
NEAREST_OBSERVED,3,140,-0.020798634735916616,-0.06362116912995419,0.021462442550128878,0.4642857142857143
NEAREST_OBSERVED,5,99,-0.07337531524341108,-0.1289683114724118,-0.01894596889744129,0.6262626262626263
NO_MODEL,1,143,0.0996989611325867,0.04754842077103842,0.1527914895643176,0.32167832167832167
NO_MODEL,2,143,0.0985805292855155,0.05272368736396638,0.14641853169798028,0.3076923076923077
NO_MODEL,3,140,0.09897924337580417,0.05423845996351601,0.14616491236702292,0.30714285714285716
NO_MODEL,5,99,0.10753495292726777,0.055070534195043035,0.16415218220729277,0.2828282828282828
OFFSET_K2,1,143,3.962771576823476e-19,-8.249034710938663e-19,1.682156097916904e-18,0.07692307692307693
OFFSET_K2,2,143,-0.009914305273155781,-0.013840820642264133,-0.0064568610902263806,0.43356643356643354
OFFSET_K2,3,140,-0.023248517929368922,-0.03118687008241646,-0.015787500932312768,0.44285714285714284
OFFSET_K2,5,99,-0.06018477068653397,-0.08094728512077623,-0.04127385545692343,0.5757575757575758
OFFSET_K3,1,143,-2.0177785886070554e-18,-4.314871918713174e-18,6.479940256999651e-20,0.20279720279720279
OFFSET_K3,2,143,-0.025719247529665347,-0.031548347066503085,-0.020254995953873454,0.7762237762237763
OFFSET_K3,3,140,-0.05711752852921646,-0.07010476127941212,-0.04533928368237308,0.8
OFFSET_K3,5,99,-0.1019141720759742,-0.1274591831650367,-0.07826740509043928,0.8181818181818182
ZERO_SHOT,1,143,0.286591748832641,0.18252685223945955,0.40362817846708693,0.40559440559440557
ZERO_SHOT,2,143,0.34577427758899626,0.2433794132954931,0.4595878672752187,0.3706293706293706
ZERO_SHOT,3,140,0.3731478068295009,0.27046419367017605,0.4905250477650103,0.3357142857142857
ZERO_SHOT,5,99,0.4143342465451426,0.28894165416353784,0.5487055170673246,0.32323232323232326
