adapter,k,n_ligands,delta_shape_mae,ci_lo,ci_hi,win_rate,n_tied,delta_shape_mae_untied,win_rate_untied
CURVE_SPLINE_W1_K1,5,99,0.0012380946902606118,-0.03159021558157601,0.03982886605550551,0.2727272727272727,52,0.002607901581612778,0.574468085106383
MASSACTION_K1,1,143,-0.006307890299223899,-0.025398906457135127,0.014534221226926772,0.2727272727272727,71,-0.01252817101095858,0.5416666666666666
MASSACTION_K1,2,143,-0.006307890299223898,-0.025678597022904523,0.014138206046293494,0.2727272727272727,71,-0.012528171010958579,0.5416666666666666
MASSACTION_K1,3,140,-0.006443059377064411,-0.026477451433289625,0.014491184387135422,0.2785714285714286,68,-0.01252817101095858,0.5416666666666666
MASSACTION_K1,5,99,-0.015127418733953082,-0.0376397257472703,0.009687143470309066,0.29292929292929293,52,-0.03186413733322033,0.6170212765957447
MASSACTION_POOLED_K1,1,143,0.0015744147000915265,-0.009357487467156572,0.013854934558135133,0.2867132867132867,71,0.0031269625293484492,0.5694444444444444
MASSACTION_POOLED_K1,2,143,0.0015744147000915293,-0.010367594915420568,0.014067671162986899,0.2867132867132867,71,0.003126962529348454,0.5694444444444444
MASSACTION_POOLED_K1,3,140,0.0016081521579506312,-0.010680399322310245,0.014314040004678948,0.29285714285714287,68,0.003126962529348447,0.5694444444444444
MASSACTION_POOLED_K1,5,99,-0.007647454725836744,-0.017682858309921477,0.0034155485378866914,0.3434343434343434,52,-0.01610846846506037,0.723404255319149
MASSACTION_SHAPEONLY,1,143,-0.006307890299223899,-0.025398906457135127,0.014534221226926767,0.4825174825174825,71,-0.01252817101095858,0.5416666666666666
MASSACTION_SHAPEONLY,2,143,-0.006307890299223899,-0.025678597022904523,0.01413820604629349,0.48951048951048953,71,-0.012528171010958584,0.5416666666666666
MASSACTION_SHAPEONLY,3,140,-0.006443059377064411,-0.026477451433289625,0.01449118438713542,0.4642857142857143,68,-0.012528171010958588,0.5416666666666666
MASSACTION_SHAPEONLY,5,99,-0.015127418733953079,-0.0376397257472703,0.009687143470309066,0.5050505050505051,52,-0.03186413733322032,0.6170212765957447
MASSACTION_WITH_METAL_K1,1,143,0.007633263618108169,-0.01290628980910953,0.030272077969999246,0.4405594405594406,6,0.007967567134229695,0.45985401459854014
MASSACTION_WITH_METAL_K1,2,143,0.007633263618108172,-0.01487965512530709,0.030292379007479844,0.4405594405594406,6,0.007967567134229697,0.45985401459854014
MASSACTION_WITH_METAL_K1,3,140,0.007852720731006332,-0.014430253486854165,0.030836598185169952,0.44285714285714284,4,0.008083683105447695,0.45588235294117646
MASSACTION_WITH_METAL_K1,5,99,0.0034219461899345654,-0.022925740486165126,0.03142020742822284,0.45454545454545453,2,0.00349250178147961,0.4639175257731959
NEAREST_OBSERVED,1,143,0.09379690651828258,0.0576814932480803,0.1320743143725877,0.3006993006993007,0,0.09379690651828258,0.3006993006993007
NEAREST_OBSERVED,2,143,0.0451460781129443,0.014189423459388364,0.07579047900656319,0.4195804195804196,0,0.0451460781129443,0.4195804195804196
NEAREST_OBSERVED,3,140,0.01284367859424629,-0.019633944234377233,0.043451939020621,0.45714285714285713,0,0.01284367859424629,0.45714285714285713
NEAREST_OBSERVED,5,99,-0.020568064207457763,-0.06651118140835346,0.02455511521010332,0.5353535353535354,0,-0.020568064207457763,0.5353535353535354
NO_MODEL,1,143,0.09379690651828258,0.0576814932480803,0.1320743143725877,0.3006993006993007,0,0.09379690651828258,0.3006993006993007
NO_MODEL,2,143,0.09379690651828258,0.056532038180482795,0.1316433188609918,0.3006993006993007,0,0.09379690651828258,0.3006993006993007
NO_MODEL,3,140,0.09668201865756616,0.06058410065529677,0.13361680472228088,0.3,0,0.09668201865756616,0.3
NO_MODEL,5,99,0.12217383077134834,0.07621406030266535,0.1715493067626414,0.2828282828282828,0,0.12217383077134834,0.2828282828282828
OFFSET_K2,1,143,5.843066253581554e-19,1.7347234759768072e-19,1.0421381609264167e-18,0.13986013986013987,143,,
OFFSET_K2,2,143,-0.012656788210120954,-0.017751595324343904,-0.00822035122583484,0.4195804195804196,57,-0.021045589698224378,0.6976744186046512
OFFSET_K2,3,140,-0.023615470574207188,-0.03225124751871547,-0.016097192591503304,0.44285714285714284,55,-0.03889606918104712,0.7176470588235294
OFFSET_K2,5,99,-0.050511730360279894,-0.06869647687434706,-0.03427569227193836,0.6767676767676768,28,-0.07043184937560154,0.7605633802816901
OFFSET_K3,1,143,-1.5709558750978774e-19,-7.61301998196966e-19,4.0582015862245307e-19,0.3006993006993007,143,,
OFFSET_K3,2,143,-0.02952111944090072,-0.03667930733730498,-0.022866122856573277,0.7762237762237763,1,-0.029729014648231016,0.7816901408450704
OFFSET_K3,3,140,-0.053189067433900734,-0.06550087635361149,-0.041416428037644684,0.7642857142857142,1,-0.053571722595295704,0.7697841726618705
OFFSET_K3,5,99,-0.09112080753661764,-0.11476750459092912,-0.06838513609571237,0.8282828282828283,1,-0.09205061169515455,0.826530612244898
ZERO_SHOT,1,143,6.368992761959718e-19,-1.5392897161918165e-18,2.786452024301917e-18,0.43356643356643354,143,,
ZERO_SHOT,2,143,2.053716478799932e-18,-2.8980799888871274e-19,4.487720028696393e-18,0.40559440559440557,143,,
ZERO_SHOT,3,140,8.340612426906345e-19,-1.442374813750451e-18,3.0592080827887955e-18,0.40714285714285714,140,,
ZERO_SHOT,5,99,-5.467007318229939e-19,-3.3754389575231536e-18,2.16343964815424e-18,0.4444444444444444,99,,
