adapter,k,n_ligands,delta_mae,ci_lo,ci_hi,win_rate
OFFSET_K2,2,143,-0.007590302741281359,-0.011123937142023858,-0.004426376677973753,0.42657342657342656
OFFSET_K2,3,140,-0.01965317381194935,-0.02736161351296847,-0.012886401768539911,0.4642857142857143
OFFSET_K2,5,99,-0.04959100550565625,-0.0692382828524313,-0.03192882728947101,0.5959595959595959
OFFSET_K3,1,143,-5.903720920573751e-19,-2.410416466269871e-18,1.0836967169272362e-18,0.17482517482517482
OFFSET_K3,2,143,-0.022681962747256194,-0.028093682652498227,-0.017247138748398786,0.7972027972027972
OFFSET_K3,3,140,-0.052862393468424564,-0.06661276907833817,-0.040586278764823056,0.8142857142857143
OFFSET_K3,5,99,-0.082580206862368,-0.1050944987709392,-0.06110009054366065,0.797979797979798
ZERO_SHOT,1,143,0.2954165478330029,0.19138906951642598,0.4125381241971855,0.43356643356643354
ZERO_SHOT,2,143,0.35115956301021417,0.24909066270231442,0.46386037842594185,0.36363636363636365
ZERO_SHOT,3,140,0.37552508975558974,0.27505981677674846,0.4853059150813611,0.34285714285714286
ZERO_SHOT,5,99,0.4404105966332497,0.32225282350395906,0.5711557126850965,0.29292929292929293
