adapter,policy,k,mae,n_ligands,shape_mae
MASSACTION_POOLED_K1,RANDOM,1,0.7262346423571554,143,0.4691379838442278
NO_MODEL,CENTRAL,2,0.7290041084193523,143,0.5658756496902655
NO_MODEL,RANDOM,3,0.7293150496401231,140,0.5767709937978235
MASSACTION_WITH_METAL_K1,RANDOM,1,0.7373484578334807,143,0.4808039886986736
CURVE_SPLINE_W1_K1,RANDOM,1,0.7399033032675079,143,0.4888811161747457
NO_MODEL,RANDOM,2,0.7538060274474901,143,0.5658756496902655
NEAREST_OBSERVED,CENTRAL,1,0.7575156334349555,143,0.5658756496902655
NO_MODEL,CENTRAL,1,0.7575156334349555,143,0.5658756496902655
NO_MODEL,CENTRAL,5,0.7612714879985231,99,0.6655962564241901
NO_MODEL,RANDOM,5,0.7687039885593794,99,0.6655962564241901
NO_MODEL,RANDOM,1,0.84589642363874,143,0.5658756496902655
NEAREST_OBSERVED,RANDOM,1,0.84589642363874,143,0.5658756496902655
CURVE_SPLINE_SHAPEONLY,CENTRAL,2,1.0291076442866862,143,0.4686900133710426
CURVE_SPLINE_SHAPEONLY,CENTRAL,1,1.0291076442866862,143,0.4686900133710426
CURVE_SPLINE_SHAPEONLY,RANDOM,2,1.0291076442866862,143,0.4686900133710426
CURVE_SPLINE_SHAPEONLY,RANDOM,1,1.0291076442866862,143,0.4686900133710426
ZERO_SHOT,CENTRAL,1,1.0291239906539824,143,0.46976050312423606
ZERO_SHOT,CENTRAL,2,1.0291239906539824,143,0.46976050312423606
ZERO_SHOT,RANDOM,2,1.0291239906539824,143,0.46976050312423606
ZERO_SHOT,RANDOM,1,1.0291239906539824,143,0.46976050312423606
ZERO_SHOT_REF,NONE,0,1.0291239906539824,143,0.46976050312423606
CURVE_SPLINE_SHAPEONLY,RANDOM,3,1.0332966189618333,140,0.47716459617884066
CURVE_SPLINE_SHAPEONLY,CENTRAL,3,1.0332966189618333,140,0.47716459617884066
ZERO_SHOT,CENTRAL,3,1.0333133156084289,140,0.47825802499817394
ZERO_SHOT,RANDOM,3,1.0333133156084289,140,0.47825802499817394
MASSACTION_SHAPEONLY,RANDOM,2,1.0339670592442731,143,0.4680011928750143
MASSACTION_SHAPEONLY,RANDOM,1,1.0339670592442731,143,0.4680011928750143
MASSACTION_SHAPEONLY,CENTRAL,2,1.0339670592442731,143,0.4680011928750143
MASSACTION_SHAPEONLY,CENTRAL,1,1.0339670592442731,143,0.4680011928750143
MASSACTION_SHAPEONLY,RANDOM,3,1.03826016423994,140,0.4764610152436117
MASSACTION_SHAPEONLY,CENTRAL,3,1.03826016423994,140,0.4764610152436117
CURVE_SPLINE_SHAPEONLY,RANDOM,5,1.0969042548283416,99,0.5250148924582404
CURVE_SPLINE_SHAPEONLY,CENTRAL,5,1.0969042548283416,99,0.5250148924582404
MASSACTION_SHAPEONLY,CENTRAL,5,1.0982295812459932,99,0.522674617347313
MASSACTION_SHAPEONLY,RANDOM,5,1.0982295812459932,99,0.522674617347313
ZERO_SHOT,RANDOM,5,1.1024306465749039,99,0.5384360691663932
ZERO_SHOT,CENTRAL,5,1.1024306465749039,99,0.5384360691663932
