adapter,k,n_ligands,delta_mae,ci_lo,ci_hi,win_rate
MASSACTION_WITH_METAL_K1,1,143,0.018470119487121767,-0.015244592154343779,0.05481022024147775,0.43356643356643354
MASSACTION_WITH_METAL_K1,2,143,0.021445758279225683,-0.010371752640428913,0.055174939393053304,0.42657342657342656
MASSACTION_WITH_METAL_K1,3,140,0.02140244059077446,-0.010940292423324473,0.05468308619009821,0.4357142857142857
MASSACTION_WITH_METAL_K1,5,99,0.004563914835443115,-0.024122938808188815,0.033314034171069776,0.4444444444444444
NEAREST_OBSERVED,1,143,0.11502682427899583,0.061530693422422365,0.1702379438922311,0.34965034965034963
NEAREST_OBSERVED,2,143,0.05377089631915616,0.010147396057590479,0.09795082979500125,0.42657342657342656
NEAREST_OBSERVED,3,140,-0.007386755892631974,-0.053767839609843396,0.037310305967559194,0.4642857142857143
NEAREST_OBSERVED,5,99,-0.03552838763827522,-0.0865855664497979,0.01655750611430192,0.5656565656565656
NO_MODEL,1,143,0.11502682427899583,0.061530693422422365,0.1702379438922311,0.34965034965034963
NO_MODEL,2,143,0.11249132498034956,0.06524273754786447,0.16296450926617542,0.3356643356643357
NO_MODEL,3,140,0.11239112221908883,0.06464614776962803,0.16447292272878486,0.34285714285714286
NO_MODEL,5,99,0.14538188053240364,0.08810666050264289,0.2055581117268401,0.31313131313131315
OFFSET_K2,1,143,-7.27856003906353e-20,-1.1810474574497108e-18,9.786630519190835e-19,0.07692307692307693
OFFSET_K2,2,143,-0.00819523000737196,-0.011673211637074684,-0.005117008490244813,0.4195804195804196
OFFSET_K2,3,140,-0.02058063761450905,-0.02816318500586472,-0.013981494911343744,0.45714285714285713
OFFSET_K2,5,99,-0.053482104548013214,-0.07241363847134596,-0.03560557157719712,0.696969696969697
OFFSET_K3,1,143,2.9316422379561424e-18,3.5958108415206903e-19,6.0414070146460344e-18,0.09090909090909091
OFFSET_K3,2,143,-0.02384543415950426,-0.029223894190862503,-0.01859838046821657,0.7972027972027972
OFFSET_K3,3,140,-0.05585794234960532,-0.07024417482160826,-0.0432438190138237,0.7857142857142857
OFFSET_K3,5,99,-0.08569381767315092,-0.10811006435275325,-0.06376058831000543,0.8181818181818182
ZERO_SHOT,1,143,0.3424447863961307,0.22988487416059744,0.46357304356284607,0.3776223776223776
ZERO_SHOT,2,143,0.4002102477009109,0.28796626744668424,0.5201312460009242,0.3006993006993007
ZERO_SHOT,3,140,0.42407041073073587,0.31403876180654433,0.5464671433350958,0.2857142857142857
ZERO_SHOT,5,99,0.4828247888283563,0.35141980069070056,0.6255723890448692,0.2727272727272727
