adapter,split_seed,fold,axis,shrink,n_curves,n_ligands,families,length_scale,amplitude,noise,nll
CURVE_SPLINE_W1_K1,104729,2,acid,1.0,487.0,68,"DGA,OTHER_N_O",,,,
CURVE_SPLINE_W1_K1,104729,3,ext,1.0,175.0,26,DGA,,,,
CURVE_SPLINE_W1_K1,104729,3,acid,1.0,422.0,66,"DGA,OTHER_N_O",,,,
CURVE_SPLINE_W1_K1,104729,4,ext,1.0,240.0,26,DGA,,,,
CURVE_SPLINE_W1_K1,104729,4,acid,1.0,478.0,63,"DGA,OTHER_N_O",,,,
MASSACTION_SHAPEONLY,104729,0,ext,1.0,226.0,24,DGA,,,,
MASSACTION_SHAPEONLY,104729,0,acid,0.8,470.0,60,"DGA,OTHER_N_O",,,,
MASSACTION_SHAPEONLY,104729,1,ext,0.8,84.0,6,,,,,
MASSACTION_SHAPEONLY,104729,1,acid,0.4,127.0,39,"DGA,OTHER_N_O",,,,
MASSACTION_SHAPEONLY,104729,2,ext,1.0,239.0,26,DGA,,,,
MASSACTION_SHAPEONLY,104729,2,acid,0.6,487.0,68,"DGA,OTHER_N_O",,,,
MASSACTION_SHAPEONLY,104729,3,ext,1.0,175.0,26,DGA,,,,
MASSACTION_SHAPEONLY,104729,3,acid,0.6,422.0,66,"DGA,OTHER_N_O",,,,
MASSACTION_SHAPEONLY,104729,4,ext,1.0,240.0,26,DGA,,,,
MASSACTION_SHAPEONLY,104729,4,acid,0.8,478.0,63,"DGA,OTHER_N_O",,,,
MASSACTION_K1,104729,0,ext,1.0,226.0,24,DGA,,,,
MASSACTION_K1,104729,0,acid,0.8,470.0,60,"DGA,OTHER_N_O",,,,
MASSACTION_K1,104729,1,ext,0.8,84.0,6,,,,,
MASSACTION_K1,104729,1,acid,0.4,127.0,39,"DGA,OTHER_N_O",,,,
MASSACTION_K1,104729,2,ext,1.0,239.0,26,DGA,,,,
MASSACTION_K1,104729,2,acid,0.6,487.0,68,"DGA,OTHER_N_O",,,,
MASSACTION_K1,104729,3,ext,1.0,175.0,26,DGA,,,,
MASSACTION_K1,104729,3,acid,0.6,422.0,66,"DGA,OTHER_N_O",,,,
MASSACTION_K1,104729,4,ext,1.0,240.0,26,DGA,,,,
MASSACTION_K1,104729,4,acid,0.8,478.0,63,"DGA,OTHER_N_O",,,,
MASSACTION_POOLED_K1,104729,0,ext,1.0,226.0,24,,,,,
MASSACTION_POOLED_K1,104729,0,acid,0.6,470.0,60,,,,,
MASSACTION_POOLED_K1,104729,1,ext,0.8,84.0,6,,,,,
MASSACTION_POOLED_K1,104729,1,acid,0.2,127.0,39,,,,,
MASSACTION_POOLED_K1,104729,2,ext,1.0,239.0,26,,,,,
MASSACTION_POOLED_K1,104729,2,acid,0.2,487.0,68,,,,,
MASSACTION_POOLED_K1,104729,3,ext,1.0,175.0,26,,,,,
MASSACTION_POOLED_K1,104729,3,acid,0.4,422.0,66,,,,,
MASSACTION_POOLED_K1,104729,4,ext,1.0,240.0,26,,,,,
MASSACTION_POOLED_K1,104729,4,acid,0.4,478.0,63,,,,,
MASSACTION_WITH_METAL_K1,104729,0,ext,1.0,226.0,24,DGA,,,,
MASSACTION_WITH_METAL_K1,104729,0,acid,0.8,470.0,60,"DGA,OTHER_N_O",,,,
MASSACTION_WITH_METAL_K1,104729,0,metal,0.6,357.0,79,"DGA,OTHER_N_O",,,,
MASSACTION_WITH_METAL_K1,104729,1,ext,0.8,84.0,6,,,,,
MASSACTION_WITH_METAL_K1,104729,1,acid,0.4,127.0,39,"DGA,OTHER_N_O",,,,
MASSACTION_WITH_METAL_K1,104729,1,metal,0.8,114.0,46,"DGA,OTHER_N_O",,,,
MASSACTION_WITH_METAL_K1,104729,2,ext,1.0,239.0,26,DGA,,,,
MASSACTION_WITH_METAL_K1,104729,2,acid,0.6,487.0,68,"DGA,OTHER_N_O",,,,
MASSACTION_WITH_METAL_K1,104729,2,metal,0.8,361.0,77,"DGA,OTHER_N_O",,,,
MASSACTION_WITH_METAL_K1,104729,3,ext,1.0,175.0,26,DGA,,,,
MASSACTION_WITH_METAL_K1,104729,3,acid,0.6,422.0,66,"DGA,OTHER_N_O",,,,
MASSACTION_WITH_METAL_K1,104729,3,metal,1.0,352.0,79,"DGA,OTHER_N_O",,,,
MASSACTION_WITH_METAL_K1,104729,4,ext,1.0,240.0,26,DGA,,,,
MASSACTION_WITH_METAL_K1,104729,4,acid,0.8,478.0,63,"DGA,OTHER_N_O",,,,
MASSACTION_WITH_METAL_K1,104729,4,metal,0.6,360.0,75,"DGA,OTHER_N_O",,,,
CURVE_GP,104729,0,,,,124,,"0.6,0.6,2",1.0,0.75,792.5258228865328
CURVE_GP,104729,1,,,,75,,"0.6,1,2",1.0,0.75,373.98870614502346
CURVE_GP,104729,2,,,,125,,"0.6,0.6,2",1.0,0.75,695.599381439965
CURVE_GP,104729,3,,,,127,,"0.6,0.6,2",1.0,0.75,700.9669061588421
CURVE_GP,104729,4,,,,121,,"0.6,0.6,2",1.0,0.75,731.0196385159608
CURVE_SPLINE_GP,104729,0,,,,124,,"0.6,0.6,2",1.0,0.75,792.5258228865328
CURVE_SPLINE_GP,104729,1,,,,75,,"0.6,1,2",1.0,0.75,373.98870614502346
CURVE_SPLINE_GP,104729,2,,,,125,,"0.6,0.6,2",1.0,0.75,695.599381439965
CURVE_SPLINE_GP,104729,3,,,,127,,"0.6,0.6,2",1.0,0.75,700.9669061588421
CURVE_SPLINE_GP,104729,4,,,,121,,"0.6,0.6,2",1.0,0.75,731.0196385159608
