adapter,split_seed,fold,axis,shrink,n_curves,n_ligands,families,length_scale,amplitude,noise,nll
MASSACTION_POOLED_K1,262147,2,acid,0.2,487.0,68,,,,,
MASSACTION_POOLED_K1,262147,3,ext,1.0,228.0,25,,,,,
MASSACTION_POOLED_K1,262147,3,acid,0.2,486.0,66,,,,,
MASSACTION_POOLED_K1,262147,4,ext,1.0,240.0,26,,,,,
MASSACTION_POOLED_K1,262147,4,acid,0.4,467.0,60,,,,,
MASSACTION_WITH_METAL_K1,262147,0,ext,1.0,233.0,25,DGA,,,,
MASSACTION_WITH_METAL_K1,262147,0,acid,0.8,476.0,62,"DGA,OTHER_N_O",,,,
MASSACTION_WITH_METAL_K1,262147,0,metal,0.6,364.0,80,"DGA,OTHER_N_O",,,,
MASSACTION_WITH_METAL_K1,262147,1,ext,1.0,23.0,6,DGA,,,,
MASSACTION_WITH_METAL_K1,262147,1,acid,0.4,68.0,40,"DGA,OTHER_N_O",,,,
MASSACTION_WITH_METAL_K1,262147,1,metal,0.8,86.0,52,"DGA,OTHER_N_O",,,,
MASSACTION_WITH_METAL_K1,262147,2,ext,1.0,240.0,26,DGA,,,,
MASSACTION_WITH_METAL_K1,262147,2,acid,0.4,487.0,68,"DGA,OTHER_N_O",,,,
MASSACTION_WITH_METAL_K1,262147,2,metal,0.4,364.0,72,"DGA,OTHER_N_O",,,,
MASSACTION_WITH_METAL_K1,262147,3,ext,1.0,228.0,25,DGA,,,,
MASSACTION_WITH_METAL_K1,262147,3,acid,0.4,486.0,66,"DGA,OTHER_N_O",,,,
MASSACTION_WITH_METAL_K1,262147,3,metal,0.4,375.0,79,"DGA,OTHER_N_O",,,,
MASSACTION_WITH_METAL_K1,262147,4,ext,1.0,240.0,26,DGA,,,,
MASSACTION_WITH_METAL_K1,262147,4,acid,0.8,467.0,60,"DGA,OTHER_N_O",,,,
MASSACTION_WITH_METAL_K1,262147,4,metal,0.4,355.0,73,"DGA,OTHER_N_O",,,,
CURVE_GP,262147,0,,,,124,,"0.6,0.3,2",1.0,0.5,620.3495658350324
CURVE_GP,262147,1,,,,81,,"0.6,0.6,2",1.0,0.5,232.67948463910497
CURVE_GP,262147,2,,,,121,,"0.6,0.6,2",1.0,0.75,835.8567170790159
CURVE_GP,262147,3,,,,128,,"0.6,0.6,2",1.0,0.75,786.2513324745223
CURVE_GP,262147,4,,,,118,,"0.6,0.6,2",1.0,0.75,705.4034434921209
CURVE_SPLINE_GP,262147,0,,,,124,,"0.6,0.3,2",1.0,0.5,620.3495658350324
CURVE_SPLINE_GP,262147,1,,,,81,,"0.6,0.6,2",1.0,0.5,232.67948463910497
CURVE_SPLINE_GP,262147,2,,,,121,,"0.6,0.6,2",1.0,0.75,835.8567170790159
CURVE_SPLINE_GP,262147,3,,,,128,,"0.6,0.6,2",1.0,0.75,786.2513324745223
CURVE_SPLINE_GP,262147,4,,,,118,,"0.6,0.6,2",1.0,0.75,705.4034434921209
