adapter,k,n_ligands,delta_mae,ci_lo,ci_hi,win_rate
OFFSET_K2,3,140,-0.022345705432278512,-0.03017051556764279,-0.015147107891318807,0.4785714285714286
OFFSET_K2,5,99,-0.049095327331308815,-0.06800994230194497,-0.03166416795460768,0.6464646464646465
OFFSET_K3,1,143,-1.8479455210289064e-18,-4.080542721899989e-18,4.614809246989599e-19,0.23076923076923078
OFFSET_K3,2,143,-0.02568689897869792,-0.031130424633631918,-0.020247571603483797,0.8321678321678322
OFFSET_K3,3,140,-0.05896438745742386,-0.07292260046990173,-0.046090820598836936,0.8642857142857143
OFFSET_K3,5,99,-0.08902383239664528,-0.11118310996956868,-0.06765204918900904,0.8080808080808081
ZERO_SHOT,1,143,0.2908122158790557,0.18158751877247942,0.4112604031641973,0.4125874125874126
ZERO_SHOT,2,143,0.3489739237928023,0.2431063337552453,0.4680196320156054,0.35664335664335667
ZERO_SHOT,3,140,0.37640574428827317,0.2703955928306728,0.49681602931733054,0.3142857142857143
ZERO_SHOT,5,99,0.40741980938695677,0.2857840988893791,0.5429450625825075,0.30303030303030304
