adapter,policy,k,mae,n_ligands,shape_mae
MASSACTION_POOLED_K1,CENTRAL,5,0.6068987407660871,99,0.5287707387588356
MASSACTION_POOLED_K1,CENTRAL,3,0.6079258543871289,140,0.4795154134795465
MASSACTION_K1,RANDOM,3,0.609139504440351,140,0.46871062815767967
CURVE_GP,CENTRAL,2,0.6105771928456548,143,0.4644222295986289
CURVE_SPLINE_K1,CENTRAL,3,0.6120752392836075,140,0.4810116146319485
CURVE_SPLINE_K1,RANDOM,5,0.6129053719223605,99,0.528774610711843
CURVE_SPLINE_K1,CENTRAL,5,0.6131325152432265,99,0.528774610711843
OFFSET_K3,CENTRAL,2,0.6146656360726379,143,0.4670428064787814
NEAREST_OBSERVED,CENTRAL,3,0.6147843772570644,140,0.5106079837341417
OFFSET_K1,CENTRAL,5,0.6148023585847735,99,0.537911226517548
MASSACTION_WITH_METAL_K1,CENTRAL,3,0.6148497080603609,140,0.4853394662707524
MASSACTION_POOLED_K1,RANDOM,5,0.6160454063302373,99,0.5287707387588356
MASSACTION_K1,CENTRAL,2,0.616407631296713,143,0.4601971458209179
CURVE_SPLINE_GP,CENTRAL,2,0.6184194813207461,143,0.46317406083624424
OFFSET_K2,CENTRAL,2,0.6197152631962392,143,0.4701685283406652
CURVE_SPLINE_K1,RANDOM,3,0.6199597681824042,140,0.4810116146319485
CURVE_SPLINE_AMP,RANDOM,2,0.6211996187092879,143,0.46099550193471095
OFFSET_K1,RANDOM,3,0.6217537697336123,140,0.48182166745050087
OFFSET_K1,RANDOM,5,0.6225886166386302,99,0.537911226517548
OFFSET_K1,CENTRAL,2,0.6231406727198928,143,0.47303312834535827
MASSACTION_POOLED_K1,RANDOM,3,0.6240682749925771,140,0.4795154134795465
CURVE_SPLINE_W1_K1,RANDOM,5,0.6248995594397305,99,0.5398524449937998
MASSACTION_POOLED_K1,CENTRAL,2,0.6257770203881708,143,0.4707752573248435
CURVE_SPLINE_W1_K1,CENTRAL,5,0.6258311037651786,99,0.5398524449937998
MASSACTION_WITH_METAL_K1,RANDOM,3,0.6263549729492376,140,0.4853394662707524
CURVE_SPLINE_AMP,CENTRAL,2,0.626820689971229,143,0.46856497545018594
MASSACTION_WITH_METAL_K1,CENTRAL,5,0.6288316075277843,99,0.5451195257435817
OFFSET_K2,RANDOM,2,0.6296878715046313,143,0.46088175931860953
MASSACTION_K1,RANDOM,2,0.6299977206778171,143,0.4601971458209179
CURVE_SPLINE_K1,CENTRAL,2,0.6314627439646849,143,0.4722400696418804
MASSACTION_WITH_METAL_K1,CENTRAL,2,0.6322468377936876,143,0.4764237416110927
MASSACTION_WITH_METAL_K1,RANDOM,5,0.6340608655612545,99,0.5451195257435817
CURVE_SPLINE_W1_K1,CENTRAL,3,0.6362842553340612,140,0.49934081972696265
CURVE_SPLINE_K1,RANDOM,2,0.6392327985009606,143,0.4722400696418804
CURVE_SPLINE_W1_K1,RANDOM,3,0.6438025563073302,140,0.49934081972696265
OFFSET_K1,RANDOM,2,0.6444989807046684,143,0.47303312834535827
MASSACTION_K1,CENTRAL,1,0.6447006672841792,143,0.4601971458209179
MASSACTION_POOLED_K1,RANDOM,2,0.6463717217117819,143,0.4707752573248435
MASSACTION_WITH_METAL_K1,RANDOM,2,0.6470041794045845,143,0.4764237416110927
CURVE_GP,CENTRAL,1,0.6519991783289452,143,0.4730275722441723
OFFSET_K2,CENTRAL,1,0.65202829270565,143,0.47303312834535827
OFFSET_K3,CENTRAL,1,0.65202829270565,143,0.47303312834535827
OFFSET_K1,CENTRAL,1,0.65202829270565,143,0.47303312834535827
MASSACTION_POOLED_K1,CENTRAL,1,0.6527595560260255,143,0.4707752573248435
CURVE_SPLINE_W1_K1,CENTRAL,2,0.6557640698800868,143,0.49018474595867745
CURVE_SPLINE_GP,CENTRAL,1,0.659200382700076,143,0.47223530712175366
CURVE_SPLINE_K1,CENTRAL,1,0.6592312252887481,143,0.4722400696418804
CURVE_SPLINE_AMP,CENTRAL,1,0.6592312252887481,143,0.4722400696418804
MASSACTION_WITH_METAL_K1,CENTRAL,1,0.6625606861191136,143,0.4764237416110927
CURVE_SPLINE_W1_K1,RANDOM,2,0.6634540517323733,143,0.49018474595867745
