design,arm,macro_mae_extractant,macro_mae_extractant_seed_sd,macro_mae_chemotype,macro_mae_adjacent,macro_mae_far,macro_sign_acc_strong,macro_pair_spearman,pooled_mae,pooled_mae_adjacent,pooled_mae_far,pooled_sign_acc_strong,n_units_mae_all,n_units_adjacent,n_units_far,n_units_sign,n_seeds,family
B,REAL_1BIT,0.4932079570494346,0.010659810361846232,0.5478196385730973,0.1898140285832599,0.6502393412817644,0.8081496698831565,0.5062372365904857,0.4975640701507178,0.16385099716971985,0.7517962575010522,0.9054999382029415,90,83,88,86,5,REAL_1BIT
B,STRAW1BIT_publication_id_2,0.5945280798820176,0.012033241885965858,0.6529862092716856,0.20513262031111723,0.8075700939783111,0.5966115627761266,0.25429917812708763,0.6872195943849343,0.19812176409499482,1.0600409240826392,0.5096527005314547,90,83,88,86,5,STRAW1BIT_publication_id
B,MEAN_CURVE,0.5968578598032309,0.010543859036935194,0.6302621468495757,0.20327973965752064,0.8157166129128042,0.5785303068521226,0.25619384114375654,0.6197386505250123,0.18035868349103526,0.9597796226433745,0.6673587937214188,90,83,88,86,5,MEAN_CURVE
B,STRAW1BIT_publication_id_1,0.621268571806184,0.024440097417182293,0.6672300860924911,0.2109020887752834,0.8668494546212449,0.536478527780757,0.15896153493856843,0.7118874900555491,0.20071837163197007,1.1047521788758472,0.47660363366703745,90,83,88,86,5,STRAW1BIT_publication_id
B,STRAW1BIT_publication_id_0,0.6309464219030894,0.01572444023310734,0.6667953047524919,0.21123564846663986,0.8781089605964733,0.5094189252497704,0.15438702477298666,0.7034477972150623,0.19926491912404753,1.0894931134853123,0.4832035595105673,90,83,88,86,5,STRAW1BIT_publication_id
B,STRAW1BIT_chemotype_0,0.6443606109188014,0.08112447403773004,0.7245191838719999,0.21208241466464978,0.9057681716571224,0.5411200940147536,0.1381687514871201,0.6582975980823492,0.18663012294834114,1.0239670455783478,0.5788159683599061,90,83,88,86,5,STRAW1BIT_chemotype
B,STRAW1BIT_chemotype_1,0.6453248457070376,0.05229276626576713,0.7166228582243275,0.21538292514858703,0.8964749474529929,0.5338701713302569,0.1191379819601042,0.630344094493116,0.1854911473861059,0.9731223518203851,0.668050920776171,90,83,88,86,5,STRAW1BIT_chemotype
B,STRAW1BIT_chemotype_2,0.6953214915320898,0.05655736854346551,0.742175031115846,0.22109553957603065,0.9731955532154585,0.44391441949278987,-0.00312755324471308,0.7480310748063175,0.20312414089857977,1.1694047472926008,0.3835867012730194,90,83,88,86,5,STRAW1BIT_chemotype
BR,DIR_ORACLE,0.4775394209405885,0.003397993036225059,0.5220204809375314,0.1903345818660694,0.630485281556818,0.8471881787792166,0.5267813742658963,0.48412863551383606,0.16960934186713025,0.7182260900835988,0.9076257570139661,90,83,88,86,5,DIR_ORACLE
BR,REAL_1BIT,0.4905920517292001,0.014039710819326394,0.5434608395188645,0.18884160020533114,0.6457480237299666,0.8092998975051431,0.5025068226822679,0.4928720161505613,0.16338999353985065,0.7430150532971037,0.9053763440860215,90,83,88,86,5,REAL_1BIT
