design,features,arm,macro_mae_extractant,macro_mae_extractant_seed_sd,macro_mae_chemotype,macro_mae_adjacent,macro_mae_far,macro_sign_acc_strong,macro_pair_spearman,pooled_mae,pooled_mae_adjacent,pooled_mae_far,pooled_sign_acc_strong,n_units_mae_all,n_units_adjacent,n_units_far,n_units_sign,n_seeds
BP,LEAN209,ANCH_g0.05_SIGN,0.6143285684161708,0.043100357022538824,0.6476178882352941,0.20612419620540517,0.839386553130295,0.6160306497896683,0.27353843827921637,0.5873473046070093,0.17843922722394287,0.8984246086338267,0.7414411074032876,90,83,88,86,5
BP,LEAN209,ANCH_g0.6,0.6169361574679562,0.048449850868403664,0.6830481038368137,0.20502115128029863,0.841971332884013,0.6189586187747647,0.29711953774943484,0.5813345165112382,0.17640072400239412,0.8895877426847567,0.7383512544802867,90,83,88,86,5
BP,LEAN209,ANCH_g0.35,0.6175464854304533,0.05126888751046658,0.6845309419578219,0.20542844561443135,0.8418610094494667,0.6172952048730653,0.2918733805503234,0.5782940191474883,0.176461144846414,0.8833346566437911,0.7340007415647015,90,83,88,86,5
BP,LEAN209,ANCH_g1,0.6179599520448509,0.04701108551612941,0.6828239943731746,0.20496567408725164,0.8447877472011666,0.6194704912576346,0.2992932488674341,0.5854997716306749,0.17657222359794586,0.8976380401175676,0.7421826721048078,90,83,88,86,5
BP,LEAN209,ANCH_g2,0.6206472139356702,0.04631388051179108,0.6832010522617405,0.20526883604281734,0.8505502697394951,0.6200458990459657,0.303265647230951,0.5916291106644945,0.17704278868403459,0.9090958132017013,0.7439129897416883,90,83,88,86,5
BP,LEAN209,ANCH_g0.15,0.6212474168690928,0.057898063057768415,0.6874044364659964,0.20653910878493967,0.8461694347505112,0.6178893902665455,0.28413247448371376,0.5760122469648931,0.1770429946865272,0.8773039898637048,0.728785069830676,90,83,88,86,5
BP,LEAN209,MEAN_CURVE,0.6217330292820759,0.011436410641341679,0.6416951823369196,0.20771349630614133,0.855764037026175,0.5117685801091951,0.17095014672657893,0.6657650872886433,0.18796843242466912,1.0347955766847072,0.5011247064639723,90,83,88,86,5
BP,LEAN209,ANCH_g4,0.6230567375679583,0.04637718260925825,0.6824780908294699,0.2058362242082079,0.8555179821957124,0.6265741877239618,0.3051831749244682,0.59708434947893,0.17763854011994573,0.9190080666365219,0.7435916450376963,90,83,88,86,5
BP,LEAN209,ANCH_g16,0.6271076657461726,0.048656510553796196,0.6801532973030062,0.20707772490814375,0.8626025088518834,0.6251117619332371,0.3017020701028765,0.6053949080599927,0.17891567629849475,0.9333971801387259,0.7336299592139414,90,83,88,86,5
BP,LEAN209,ANCH_g0.05,0.6311234169352371,0.06984202955672861,0.6944313903635048,0.20842465990728026,0.8600296466348827,0.6141020355157963,0.2723022797929216,0.5779747494387886,0.1785670460001418,0.8777854022766581,0.7149425287356321,90,83,88,86,5
BP,LEAN209,ANCH_g1e+06,0.6389595051422313,0.05941537263211172,0.6913173144147255,0.20976029125970794,0.8826216094455781,0.6110647630707678,0.2748974548964199,0.6164242770862027,0.18068821555028078,0.9520558021719537,0.7078729452478062,90,83,88,86,5
BP,LEAN209,ANCH_g0,6.181142406467346,7.414750122408769,7.035917372348567,1.6665686950236172,9.763914460399135,0.6156593942669946,0.21119625130834266,4.710384645082165,1.1207899880716456,7.2555126749731755,0.6760845383759733,90,83,88,86,5
