seed,fold,model,mae,macro_mae,n_test,r2
104729,4,5NN_mechanism,0.7536550518726304,0.7770643996497013,24,0.03575301521606078
104729,4,KERNEL_mechanism,0.7337310113884731,0.755761101336874,24,0.03437330873303335
104729,4,1NN_donors,0.826254302747598,0.8528201396931456,24,-0.2287600248049555
104729,4,3NN_donors,0.7820277621579329,0.8066707060343647,24,-0.04581133330420606
104729,4,5NN_donors,0.7674879849916921,0.7914987646435047,24,-0.013780537791308944
104729,4,KERNEL_donors,0.7324990139320371,0.7549885339725604,24,0.014797963100054434
104729,4,RIDGE_mech,0.7476466782636377,0.7710563283461961,24,0.020474362672649238
104729,4,ET_mech,0.7283357169486914,0.7515743860144302,24,0.07245470856057468
104729,4,RIDGE_donors,0.73260511557817,0.7550992487337426,24,0.02298910756853223
104729,4,ET_donors,0.7502985863721027,0.7735620008665418,24,0.03177909731891726
130363,0,NULL_global_mean,0.9441057377629998,0.9872278756859859,54,0.0
130363,0,1NN_tanimoto,0.9260170791287292,0.9887495275617137,54,0.03330241199463746
130363,0,3NN_tanimoto,0.9663281840431369,1.0463296311113135,54,0.004033558613226851
130363,0,5NN_tanimoto,0.9716903796733566,1.0384285007064917,54,0.03314820856384315
130363,0,KERNEL_tanimoto,0.9434802796267895,0.9878986035301032,54,0.0013649589656047345
130363,0,1NN_mechanism,1.1232393248675778,1.195077975858826,54,-0.23377197655739068
130363,0,3NN_mechanism,1.0093745183246663,1.0685044922092384,54,-0.03480441040873039
130363,0,5NN_mechanism,0.9870864088149462,1.040539828056203,54,-0.018832412864277392
130363,0,KERNEL_mechanism,0.952814151323345,0.9987212058972155,54,-0.011579423010012357
130363,0,1NN_donors,1.1664748022014846,1.2009466997073244,54,-0.5913076186910731
130363,0,3NN_donors,1.002989433809401,1.043162751686549,54,-0.14035304657580716
130363,0,5NN_donors,0.992597962435953,1.0311017498335326,54,-0.11706173809110743
130363,0,KERNEL_donors,0.9531252532088743,1.00148829737064,54,-0.008864153960785437
130363,0,RIDGE_mech,1.0080230970676463,1.0621611473761419,54,-0.17042895562857252
130363,0,ET_mech,0.9721329118911527,1.0215252102141648,54,-0.003482407435938306
