kind,a,b,tanimoto,d_tanimoto_rank,d_mech_rank,softness_delta
-> P donor,CCCCCCCCN(C)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,CCCCCCCCN(CCCCCCCC)C(=O)COCP(=O)(CCCC)CCCC,0.5897435897435898,0.19736842105263158,0.48026315789473684,0.016666666666666635
-> P donor,CCCCCCCCN(C)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,CCCCCCCCN(CCCCCCCC)C(=O)COCP(=O)(OCCCC)OCCCC,0.575,0.23684210526315788,0.618421052631579,0.03666666666666665
-> P donor,CCCCCCCCN(CC(C)C)C(=O)COCC(=O)N(CCCCCCCC)CC(C)C,CCCCCCCCN(CCCCCCCC)C(=O)COCP(=O)(CCCC)CCCC,0.575,0.17105263157894737,0.4868421052631579,0.016666666666666635
-> P donor,CCCCCCCCN(CC(C)C)C(=O)COCC(=O)N(CCCCCCCC)CC(C)C,CCCCCCCCN(CCCCCCCC)C(=O)COCP(=O)(OCCCC)OCCCC,0.5609756097560976,0.20394736842105263,0.631578947368421,0.03666666666666665
-> P donor,CCCCCCCCN(CC)C(=O)COCC(=O)N(CC)CCCCCCCC,CCCCCCCCN(CCCCCCCC)C(=O)COCP(=O)(CCCC)CCCC,0.5945945945945946,0.19078947368421054,0.48026315789473684,0.016666666666666635
-> P donor,CCCCCCCCN(CC)C(=O)COCC(=O)N(CC)CCCCCCCC,CCCCCCCCN(CCCCCCCC)C(=O)COCP(=O)(OCCCC)OCCCC,0.5789473684210527,0.23026315789473684,0.631578947368421,0.03666666666666665
-> P donor,CCCCCCCCN(CCC)C(=O)COCC(=O)N(CCC)CCCCCCCC,CCCCCCCCN(CCCCCCCC)C(=O)COCP(=O)(CCCC)CCCC,0.6388888888888888,0.18421052631578946,0.48026315789473684,0.016666666666666635
-> P donor,CCCCCCCCN(CCC)C(=O)COCC(=O)N(CCC)CCCCCCCC,CCCCCCCCN(CCCCCCCC)C(=O)COCP(=O)(OCCCC)OCCCC,0.6216216216216216,0.21710526315789475,0.631578947368421,0.03666666666666665
-> P donor,CCCCCCCCN(CCCC(CCCC)CCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCC(CCCC)CCCCCC,CCCCCCCCN(CCCCCCCC)C(=O)COCP(=O)(CCCC)CCCC,0.5609756097560976,0.21052631578947367,0.4407894736842105,0.016666666666666635
O <-> N donor,CCCCCCCCN(CCCCCCCC)C(=O)CC(=O)N(CCCCCCCC)CCCCCCCC,CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,0.6923076923076923,0.02631578947368421,0.5855263157894737,0.07499999999999996
O <-> N donor,CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,CCCCCCCCN(CCCCCCCC)C(=O)CO,0.6666666666666666,0.019736842105263157,0.6447368421052632,0.14999999999999997
O <-> N donor,CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,CCCCCCCCN(CCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCC)CCCCCCCC,0.5806451612903226,0.08552631578947369,0.19078947368421054,0.12499999999999994
O <-> N donor,CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,CCCCCCN(CCCCCC)C(=O)CC(=O)N(CCCCCC)CCCCCC,0.6923076923076923,0.006578947368421052,0.3618421052631579,0.07499999999999996
O <-> N donor,CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,CCCCN(CCCC)C(=O)CC(=O)N(CCCC)CCCC,0.5555555555555556,0.1118421052631579,0.5197368421052632,0.07499999999999996
O <-> N donor,CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,CCCCN(CCCC)C(=O)CCC(=O)N(CCCC)CCCC,0.5555555555555556,0.1118421052631579,0.5921052631578947,0.07499999999999996
O <-> N donor,CCCCCCCCN(CCCCCCCC)C(=O)CNCP(=O)(CCCC)CCCC,CCCCCCCCN(CCCCCCCC)C(=O)COCP(=O)(CCCC)CCCC,0.5714285714285714,0.013157894736842105,0.019736842105263157,0.1333333333333333
O <-> N donor,CCCCCCCCN(CCCCCCCC)C(=O)CNCP(=O)(OCCCC)OCCCC,CCCCCCCCN(CCCCCCCC)C(=O)COCP(=O)(OCCCC)OCCCC,0.627906976744186,0.013157894736842105,0.013157894736842105,0.08000000000000002
-> P donor,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(C)C,CCCCCCCCN(CCCCCCCC)C(=O)COCP(=O)(CCCC)CCCC,0.6052631578947368,0.17763157894736842,0.47368421052631576,0.016666666666666635
-> P donor,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(C)C,CCCCCCCCN(CCCCCCCC)C(=O)COCP(=O)(OCCCC)OCCCC,0.5897435897435898,0.21710526315789475,0.631578947368421,0.03666666666666665
-> P donor,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,CCCCCCCCN(CCCCCCCC)C(=O)COCP(=O)(CCCC)CCCC,0.6764705882352942,0.18421052631578946,0.4407894736842105,0.016666666666666635
-> P donor,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,CCCCCCCCN(CCCCCCCC)C(=O)COCP(=O)(OCCCC)OCCCC,0.6571428571428571,0.23026315789473684,0.618421052631579,0.03666666666666665
-> P donor,CCCCCCCCN(CCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCC)CCCCCCCC,CCCCCCCCN(CCCCCCCC)C(=O)COCP(=O)(CCCC)CCCC,0.6388888888888888,0.13815789473684212,0.45394736842105265,0.0
-> P donor,CCCCCCCCN(CCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCC)CCCCCCCC,CCCCCCCCN(CCCCCCCC)C(=O)COCP(=O)(OCCCC)OCCCC,0.6666666666666666,0.125,0.5,0.020000000000000018
-> P donor,CCCCCCCCN(CCCCCCCC)C(=O)COCP(=O)(CCCC)CCCC,CCCCCCN(CCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,0.6764705882352942,0.006578947368421052,0.05263157894736842,0.016666666666666635
-> P donor,CCCCCCCCN(CCCCCCCC)C(=O)COCP(=O)(CCCC)CCCC,CCCCCN(CCCCC)C(=O)COCC(=O)N(CCCCC)CCCCC,0.6470588235294118,0.06578947368421052,0.14473684210526316,0.016666666666666635
-> P donor,CCCCCCCCN(CCCCCCCC)C(=O)COCP(=O)(CCCC)CCCC,CCCCN(CCCC)C(=O)COCC(=O)N(CCCC)CCCC,0.5714285714285714,0.13157894736842105,0.24342105263157895,0.016666666666666635
-> P donor,CCCCCCCCN(CCCCCCCC)C(=O)COCP(=O)(OCCCC)OCCCC,CCCCCCN(CCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,0.6571428571428571,0.02631578947368421,0.06578947368421052,0.03666666666666665
-> P donor,CCCCCCCCN(CCCCCCCC)C(=O)COCP(=O)(OCCCC)OCCCC,CCCCCN(CCCCC)C(=O)COCC(=O)N(CCCCC)CCCCC,0.6285714285714286,0.07894736842105263,0.16447368421052633,0.03666666666666665
-> P donor,CCCCCCCCN(CCCCCCCC)C(=O)COCP(=O)(OCCCC)OCCCC,CCCCN(CCCC)C(=O)COCC(=O)N(CCCC)CCCC,0.5555555555555556,0.13815789473684212,0.2565789473684211,0.03666666666666665
O/N -> S donor,CCCCCCCCN(CCCCCCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCCCCCC)CCCCCCCC)nc3c2n1,CCCCCCCCN(CCCCCCCC)C(=S)c1ccc2ccc3ccc(C(=S)N(CCCCCCCC)CCCCCCCC)nc3c2n1,0.6842105263157895,0.02631578947368421,0.9342105263157895,0.375
O/N -> S donor,CCCCCCCCN(CCCCCCCC)C(=S)c1ccc2ccc3ccc(C(=S)N(CCCCCCCC)CCCCCCCC)nc3c2n1,CCCCCCN(CCCCCC)C(=O)c1ccc2ccc3cccnc3c2n1,0.5652173913043478,0.019736842105263157,0.046052631578947366,0.3083333333333334
O/N -> S donor,CCCCCCCCN(CCCCCCCC)C(=S)c1ccc2ccc3ccc(C(=S)N(CCCCCCCC)CCCCCCCC)nc3c2n1,CCCCN(CCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCC)CCCC)nc3c2n1,0.5897435897435898,0.013157894736842105,0.05263157894736842,0.375
O <-> N donor,c1cc2nc(c1)COc1ccccc1OCCOCCOc1ccccc1OC2,c1ccc2c(c1)OCCOCCOc1ccccc1OCCOCCO2,0.6538461538461539,0.006578947368421052,0.006578947368421052,0.08333333333333333
