group_id,safe_exp_id,publication_id,canonical_smiles,metal,D,log_D,system_id,cond__acid_concentration_M,cond__extractant_concentration_M,cond__metal_concentration_mM,cond__temperature_C,tier,duplicate_flag,kept,series_residual
18892bcbfe08915a,Eu_SAFE:15417,pub_e287124c22,Cc1cc(-c2cc(C)cc(-c3nnc4c(n3)C(C)(C)CCC4(C)C)n2)nc(-c2nnc3c(n2)C(C)(C)CCC3(C)C)c1,Eu,0.0240000000000002,-1.6197887582883903,sys_9fba5c1334c435f2,0.5,0.005,,22.0,tied_d,TIED_D,True,
18892bcbfe08915a,Eu_SAFE:15419,pub_e287124c22,Cc1cc(-c2cc(C)cc(-c3nnc4c(n3)C(C)(C)CCC4(C)C)n2)nc(-c2nnc3c(n2)C(C)(C)CCC3(C)C)c1,Eu,0.0240000000000002,-1.6197887582883903,sys_9fba5c1334c435f2,1.0,0.005,,22.0,tied_d,TIED_D,True,
18892bcbfe08915a,Eu_SAFE:15427,pub_e287124c22,Cc1cc(-c2cc(C)cc(-c3nnc4c(n3)C(C)(C)CCC4(C)C)n2)nc(-c2nnc3c(n2)C(C)(C)CCC3(C)C)c1,Eu,0.0240000000000002,-1.6197887582883903,sys_9fba5c1334c435f2,4.0,0.005,,22.0,tied_d,TIED_D,True,
194ccb12f24efdee,Eu_SAFE:16079,pub_515c63b970,CCCCCCN(CCCCCC)C(=O)c1ccc2ccc3cccnc3c2n1,Eu,0.1,-1.0,sys_2f2541a2399d47c1,0.001,0.2,,20.0,tied_d,TIED_D,True,
194ccb12f24efdee,Eu_SAFE:16080,pub_515c63b970,CCCCCCN(CCCCCC)C(=O)c1ccc2ccc3cccnc3c2n1,Eu,0.1,-1.0,sys_2f2541a2399d47c1,0.01,0.2,,20.0,tied_d,TIED_D,True,
194ccb12f24efdee,Eu_SAFE:16081,pub_515c63b970,CCCCCCN(CCCCCC)C(=O)c1ccc2ccc3cccnc3c2n1,Eu,0.1,-1.0,sys_2f2541a2399d47c1,0.1,0.2,,20.0,tied_d,TIED_D,True,
194ccb12f24efdee,Eu_SAFE:16082,pub_515c63b970,CCCCCCN(CCCCCC)C(=O)c1ccc2ccc3cccnc3c2n1,Eu,0.1,-1.0,sys_2f2541a2399d47c1,1.0,0.2,,20.0,tied_d,TIED_D,True,
1c0826d69f02b1f6,Ca_SAFE:2908,pub_e4dd361427,CCCCCCCCN(CCCCCCCC)C(=O)CO,Eu,7.96340678995957,0.9010989010989008,sys_0637b30236999c4e,2.987,0.2,,25.0,tied_d,TIED_D,True,
1c0826d69f02b1f6,Ca_SAFE:3586,pub_e4dd361427,CCCCCCCCN(CCCCCCCC)C(=O)CO,Eu,7.96340678995957,0.9010989010989008,sys_53d4f5de23a4cc22,0.994584,0.2,,25.0,tied_d,TIED_D,True,
1e8e56f8b72afb21,Am_SAFE:16531,pub_19783c039b,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,Sm,25.00000001887904,1.397940009,sys_1419f400c83e9ad8,4.0,0.024,3.0,25.0,tied_d,TIED_D,True,
1e8e56f8b72afb21,Am_SAFE:16566,pub_19783c039b,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,Sm,25.00000001887904,1.397940009,sys_1419f400c83e9ad8,5.0,0.024,3.0,25.0,tied_d,TIED_D,True,
1f024c1e1843a98a,Am_SAFE:16550,pub_19783c039b,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,Lu,1499.999999807684,3.176091259,sys_1419f400c83e9ad8,5.0,0.024,3.0,25.0,tied_d,TIED_D,True,
1f024c1e1843a98a,Am_SAFE:16563,pub_19783c039b,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,Lu,1499.999999807684,3.176091259,sys_1419f400c83e9ad8,4.0,0.024,3.0,25.0,tied_d,TIED_D,True,
2227095cf7c9690b,Eu_SAFE:15573,pub_e287124c22,CCCCCCCCN(CCCCCCCC)C(=O)CNCP(=O)(OCCCC)OCCCC,Eu,0.0250000000000001,-1.6020599913279607,sys_83f3d0db08b1e32a,2.9539,0.1,,22.0,tied_d,TIED_D,True,
2227095cf7c9690b,Eu_SAFE:15575,pub_e287124c22,CCCCCCCCN(CCCCCCCC)C(=O)CNCP(=O)(OCCCC)OCCCC,Eu,0.0250000000000001,-1.6020599913279607,sys_83f3d0db08b1e32a,4.0133,0.1,,22.0,tied_d,TIED_D,True,
23155e0b9e70682a,Lu_SAFE:9416,pub_0a8da089ad,CCCCN(CCCC)C(=O)COCC(=O)N(CCCC)CCCC,Nd,0.1,-1.0,sys_81e3169a7f85c2b9,0.482051,0.05,5.0,25.0,tied_d,TIED_D,True,
23155e0b9e70682a,Lu_SAFE:9417,pub_0a8da089ad,CCCCN(CCCC)C(=O)COCC(=O)N(CCCC)CCCC,Nd,0.1,-1.0,sys_81e3169a7f85c2b9,0.769411,0.05,5.0,25.0,tied_d,TIED_D,True,
23155e0b9e70682a,Lu_SAFE:9418,pub_0a8da089ad,CCCCN(CCCC)C(=O)COCC(=O)N(CCCC)CCCC,Nd,0.1,-1.0,sys_81e3169a7f85c2b9,0.999288,0.05,5.0,25.0,tied_d,TIED_D,True,
23155e0b9e70682a,Lu_SAFE:9419,pub_0a8da089ad,CCCCN(CCCC)C(=O)COCC(=O)N(CCCC)CCCC,Nd,0.1,-1.0,sys_81e3169a7f85c2b9,1.20045,0.05,5.0,25.0,tied_d,TIED_D,True,
23155e0b9e70682a,Lu_SAFE:9420,pub_0a8da089ad,CCCCN(CCCC)C(=O)COCC(=O)N(CCCC)CCCC,Nd,0.1,-1.0,sys_81e3169a7f85c2b9,1.30232,0.05,5.0,25.0,tied_d,TIED_D,True,
240a67ec8fd0ac3d,Ca_SAFE:2686,pub_0e7f3e0563,CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,Nd,3.56332637439108,0.5518556023413592,sys_81bcc3c06cbf0b4c,1.0,0.2,49.7537,25.0,unit_slip,,True,0.20970661926366385
240a67ec8fd0ac3d,Ca_SAFE:2694,pub_0e7f3e0563,CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,Nd,3.56332637439108,0.5518556023413592,sys_81bcc3c06cbf0b4c,3.0,0.2,0.344937,25.0,unit_slip,UNIT_SLIP_DUPLICATE,False,-3.262519343083866
249a8fbb1e9879b4,Er_SAFE:15029,pub_e287124c22,Cc1ccn(-c2cccc(-n3ccc(C)n3)n2)n1,Eu,0.001,-3.0,sys_1e1f4ba30f88140f,0.1,0.054,,21.0,tied_d,TIED_D,True,
249a8fbb1e9879b4,Er_SAFE:15031,pub_e287124c22,Cc1ccn(-c2cccc(-n3ccc(C)n3)n2)n1,Eu,0.001,-3.0,sys_1e1f4ba30f88140f,0.2,0.054,,21.0,tied_d,TIED_D,True,
249a8fbb1e9879b4,Er_SAFE:15033,pub_e287124c22,Cc1ccn(-c2cccc(-n3ccc(C)n3)n2)n1,Eu,0.001,-3.0,sys_1e1f4ba30f88140f,0.5,0.054,,21.0,tied_d,TIED_D,True,
249a8fbb1e9879b4,Er_SAFE:15035,pub_e287124c22,Cc1ccn(-c2cccc(-n3ccc(C)n3)n2)n1,Eu,0.001,-3.0,sys_1e1f4ba30f88140f,1.0,0.054,,21.0,tied_d,TIED_D,True,
249a8fbb1e9879b4,Er_SAFE:15037,pub_e287124c22,Cc1ccn(-c2cccc(-n3ccc(C)n3)n2)n1,Eu,0.001,-3.0,sys_1e1f4ba30f88140f,2.0,0.054,,21.0,tied_d,TIED_D,True,
249a8fbb1e9879b4,Er_SAFE:15039,pub_e287124c22,Cc1ccn(-c2cccc(-n3ccc(C)n3)n2)n1,Eu,0.001,-3.0,sys_1e1f4ba30f88140f,4.0,0.054,,21.0,tied_d,TIED_D,True,
249a8fbb1e9879b4,Eu_SAFE:15041,pub_e287124c22,Cc1ccn(-c2cccc(-n3ccc(C)n3)n2)n1,Eu,0.001,-3.0,sys_4f09877818334781,0.98,0.05,,21.0,tied_d,TIED_D,True,
2553a82ce35e81ce,Eu_SAFE:15189,pub_e287124c22,CCCCCCCCn1cc(-c2cc(CC(=O)O)cc(-c3cn(CCCCCCCC)nn3)n2)nn1,Eu,0.001,-3.0,sys_1a366a1c3caec333,0.01,0.05,,23.0,tied_d,TIED_D,True,
2553a82ce35e81ce,Eu_SAFE:15191,pub_e287124c22,CCCCCCCCn1cc(-c2cc(CC(=O)O)cc(-c3cn(CCCCCCCC)nn3)n2)nn1,Eu,0.001,-3.0,sys_1a366a1c3caec333,0.1,0.05,,23.0,tied_d,TIED_D,True,
25984e78a9358c33,Ca_SAFE:12871,pub_af0c74798c,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,Eu,265.0,2.423245873936808,sys_5cb78e5000d40860,1.0,0.1,0.066,25.0,tied_d,TIED_D,True,
25984e78a9358c33,Ca_SAFE:12876,pub_af0c74798c,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,Eu,265.0,2.423245873936808,sys_5cb78e5000d40860,1.0,0.1,0.07,25.0,tied_d,TIED_D,True,
2908bc7233e92301,Ca_SAFE:3294,pub_9a3afbee00,CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,Dy,95.8490566037736,1.9815878426831304,sys_b4125330f569c90a,6.9885,0.1,2.0,25.0,tied_d,TIED_D,True,
2908bc7233e92301,Ca_SAFE:3317,pub_9a3afbee00,CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,Dy,95.8490566037736,1.9815878426831304,sys_b4125330f569c90a,3.0031,0.1,2.0,25.0,tied_d,TIED_D,True,
291db02db417f28b,Am_SAFE:16116,pub_8415538291,CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,Eu,1.60000000126762,0.20411998300000003,sys_d93f24ac2fbe9b76,5.0,0.5,0.01,,tied_d,TIED_D,True,
291db02db417f28b,Eu_SAFE:12913,pub_8415538291,CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,Eu,1.6,0.2041199826559248,sys_d93f24ac2fbe9b76,5.0,0.5,0.01,25.0,tied_d,TIED_D,True,
2b4c416a97c89cca,Am_SAFE:16525,pub_19783c039b,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,Ce,1.0,0.0,sys_1419f400c83e9ad8,2.0,0.024,3.0,25.0,tied_d,TIED_D,True,
2b4c416a97c89cca,Am_SAFE:16533,pub_19783c039b,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,Ce,1.0,0.0,sys_1419f400c83e9ad8,4.0,0.024,3.0,25.0,tied_d,TIED_D,True,
2b4c416a97c89cca,Am_SAFE:16544,pub_19783c039b,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,Ce,1.0,0.0,sys_1419f400c83e9ad8,3.0,0.024,3.0,25.0,tied_d,TIED_D,True,
2b4c416a97c89cca,Am_SAFE:16561,pub_19783c039b,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,Ce,1.0,0.0,sys_1419f400c83e9ad8,5.0,0.024,3.0,25.0,tied_d,TIED_D,True,
2bee126354b29d7f,Er_SAFE:13979,pub_51ddfefa0c,CCCCCCCCCCCCN(CC)C(=O)COCC(=O)N(CC)CCCCCCCCCCCC,Pr,0.04,-1.3979400086720375,sys_c02605c5b5953819,1.0,0.02,1.0,25.0,tied_d,TIED_D,True,
2bee126354b29d7f,Er_SAFE:13980,pub_51ddfefa0c,CCCCCCCCCCCCN(CC)C(=O)COCC(=O)N(CC)CCCCCCCCCCCC,Pr,0.04,-1.3979400086720375,sys_c02605c5b5953819,2.0,0.02,1.0,25.0,tied_d,TIED_D,True,
2cfc9f0918c33867,Ca_SAFE:13384,pub_b0b3296ec5,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,La,0.0134878740802682,-1.8700564971751419,sys_9b2d359d1ff151e1,1.0,0.2,0.01,25.0,tied_d,TIED_D,True,
2cfc9f0918c33867,Ca_SAFE:13410,pub_b0b3296ec5,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,La,0.0134878740802682,-1.8700564971751419,sys_9b2d359d1ff151e1,3.0,0.2,0.01,25.0,tied_d,TIED_D,True,
3912d637928f37b2,Eu_SAFE:14869,pub_e287124c22,CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)c1ccccc1,Eu,0.0100000000000002,-1.9999999999999913,sys_57e69f33521c4170,0.01,0.1,,22.0,tied_d,TIED_D,True,
3912d637928f37b2,Eu_SAFE:14871,pub_e287124c22,CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)c1ccccc1,Eu,0.0100000000000002,-1.9999999999999913,sys_57e69f33521c4170,4.0,0.1,,22.0,tied_d,TIED_D,True,
39314d1a89373cf8,Am_SAFE:16117,pub_8415538291,CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,Sm,1.499999999807684,0.17609125900000008,sys_d93f24ac2fbe9b76,5.0,0.5,0.01,,tied_d,TIED_D,True,
39314d1a89373cf8,Pd_SAFE:12908,pub_8415538291,CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,Sm,1.5,0.17609125905568124,sys_d93f24ac2fbe9b76,5.0,0.5,0.01,25.0,tied_d,TIED_D,True,
3ca525650da9988f,Am_SAFE:16115,pub_8415538291,CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,Gd,1.60000000126762,0.20411998300000003,sys_d93f24ac2fbe9b76,5.0,0.5,0.01,,tied_d,TIED_D,True,
3ca525650da9988f,Gd_SAFE:12918,pub_8415538291,CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,Gd,1.6,0.2041199826559248,sys_d93f24ac2fbe9b76,5.0,0.5,0.01,25.0,tied_d,TIED_D,True,
3e0dad50f2c95a9c,Eu_SAFE:14929,pub_e287124c22,CCCCC(CC)CN(CC(CC)CCCC)C(=O)CN(CC(=O)N(CC(CC)CCCC)CC(CC)CCCC)CC(=O)N(CC(CC)CCCC)CC(CC)CCCC,Eu,0.0430000000000003,-1.3665315444204105,sys_fe3be64269d2dae7,3.129,0.1,,22.0,tied_d,TIED_D,True,
