loading_series_id,definition,system_id,ligand_name,metal,publication_id,acid_nominal_M,ligand_M,n_points,n_distinct_mM,mM_min,mM_max,log_d_tracer,log_d_min,log_d_max,log_d_range,loading_active,tracer_record_id,record_ids
lsb_sys_5cb78e5000d40860_Eu_0.5_0.1,publication_blind,sys_5cb78e5000d40860,TODGA,Eu,pub_58e30f4932;pub_af0c74798c;pub_bef16e560c,0.5,0.1,3,3,0.07,1.0,1.2685904550499403,0.8779469516291882,1.2773799746672547,0.3994330230380665,True,Ca_SAFE:12824,Ca_SAFE:11527;Ca_SAFE:12824;Ca_SAFE:2168
lsb_sys_5cb78e5000d40860_Eu_1_0.1,publication_blind,sys_5cb78e5000d40860,TODGA,Eu,pub_58e30f4932;pub_af0c74798c;pub_d68ed8c8cf,1.0,0.1,5,3,0.066,1.0,2.423245873936808,2.10222783012313,2.423245873936808,0.32101804381367804,True,Ca_SAFE:12871,Ca_SAFE:12838;Ca_SAFE:12871;Ca_SAFE:12876;Ca_SAFE:13497;Ca_SAFE:2179
lsb_sys_5cb78e5000d40860_Nd_3_0.1,publication_blind,sys_5cb78e5000d40860,TODGA,Nd,pub_04794d6d09;pub_227fd56641;pub_5a68dc5665;pub_be51bfd47a;pub_d3c970567f,3.0,0.1,13,12,4.2,2180.0,-0.032184683371401034,-2.433769833924869,1.3710678622717363,3.8048376961966053,True,Ca_SAFE:2810,Ca_SAFE:2159;Ca_SAFE:2217;Ca_SAFE:2219;Ca_SAFE:2220;Ca_SAFE:2221;Ca_SAFE:2222;Ca_SAFE:2224;Ca_SAFE:2290;Ca_SAFE:2806;Ca_SAFE:2808;Ca_SAFE:2809;Ca_SAFE:2810;Ca_SAFE:2913
lsb_sys_5cb78e5000d40860_Nd_3_0.2,publication_blind,sys_5cb78e5000d40860,TODGA,Nd,pub_d3c970567f,3.0,0.2,4,4,9.7,13.0,-0.022983906920689447,-0.027583521632088284,-0.02039315864184351,0.007190362990244774,False,Ca_SAFE:2807,Ca_SAFE:2803;Ca_SAFE:2805;Ca_SAFE:2807;Ca_SAFE:2813
lsb_sys_5cb78e5000d40860_Nd_3_0.3,publication_blind,sys_5cb78e5000d40860,TODGA,Nd,pub_d3c970567f,3.0,0.3,8,8,20.0,30.4,-0.03151705144606486,-0.03266911675336814,0.0015427884142812471,0.03421190516764938,False,Ca_SAFE:2802,Ca_SAFE:2801;Ca_SAFE:2802;Ca_SAFE:2804;Ca_SAFE:2812;Ca_SAFE:2817;Ca_SAFE:2818;Ca_SAFE:2819;Ca_SAFE:2820
lsb_sys_740f07a521006be1_Nd_3_0.1,publication_blind,sys_740f07a521006be1,TDDGA,Nd,pub_5a68dc5665,3.0,0.1,6,6,20.0,30.0,0.9542425094393243,0.6020599913279624,0.9542425094393243,0.3521825181113619,True,Ca_SAFE:2216,Ca_SAFE:2212;Ca_SAFE:2213;Ca_SAFE:2214;Ca_SAFE:2215;Ca_SAFE:2216;Ca_SAFE:2225
lsb_sys_81bcc3c06cbf0b4c_Nd_1_0.2,publication_blind,sys_81bcc3c06cbf0b4c,D3DODGA,Nd,pub_0e7f3e0563,1.0,0.2,18,18,7.34071,289.7,0.7134039428374281,-0.6080815017509025,1.8195171313770626,2.427598633127965,True,Ca_SAFE:2689,Ca_SAFE:2673;Ca_SAFE:2674;Ca_SAFE:2675;Ca_SAFE:2677;Ca_SAFE:2678;Ca_SAFE:2679;Ca_SAFE:2680;Ca_SAFE:2681;Ca_SAFE:2683;Ca_SAFE:2684;Ca_SAFE:2685;Ca_SAFE:2686;Ca_SAFE:2687;Ca_SAFE:2688;Ca_SAFE:2689;Ca_SAFE:2690;Ca_SAFE:2691;Ca_SAFE:2692
lsb_sys_81bcc3c06cbf0b4c_Nd_3_0.2,publication_blind,sys_81bcc3c06cbf0b4c,D3DODGA,Nd,pub_0e7f3e0563;pub_735d6b0409,3.0,0.2,9,9,1.69641,289.3,-0.5685262392044482,-0.5685262392044482,1.6020599913279614,2.1705862305324097,True,Ca_SAFE:2700,Ca_SAFE:2667;Ca_SAFE:2668;Ca_SAFE:2669;Ca_SAFE:2670;Ca_SAFE:2671;Ca_SAFE:2672;Ca_SAFE:2676;Ca_SAFE:2682;Ca_SAFE:2700
lsb_sys_a7195d8a9d8696e0_Nd_1_0.2,publication_blind,sys_a7195d8a9d8696e0,TEHDGA,Nd,pub_15b174237f,1.0,0.2,3,3,6.93279,41.5968,1.1723990414341974,0.12757883277450952,1.1723990414341974,1.0448202086596878,True,Ca_SAFE:2347,Ca_SAFE:2345;Ca_SAFE:2346;Ca_SAFE:2347
lsb_sys_a7195d8a9d8696e0_Nd_3_0.1,publication_blind,sys_a7195d8a9d8696e0,TEHDGA,Nd,pub_5a68dc5665,3.0,0.1,6,6,2.3,9.7,0.27300127206373764,-0.7729500566978352,0.27300127206373764,1.045951328761573,True,Ca_SAFE:2204,Ca_SAFE:2200;Ca_SAFE:2201;Ca_SAFE:2202;Ca_SAFE:2204;Ca_SAFE:2208;Ca_SAFE:2223
