design,check,point,e_random,e_model,n_tasks,median_candidates,frac_tasks_constant_call,saved_frac,ci_low,ci_high,p_block,p_perm,null_sd,n_groups,n_task_slots_before,n_dropped,baseline_pooled,loco_min,loco_max,worst_block,n_sign_flips,n_ext,null_mean
B,drop_sc009_then_lopo,1.4906163830083377,,,,,,,,,,,,58.0,,,,1.2377024310509908,1.8268079539613467,,0.0,,
B,coherent_null_altseed,2.2065445536908452,,,,,,,,,,0.0035,1.1479267089929404,,,,,,,,,,0.001595910264522744
BR,headline_reproduced,2.1492837329594243,6.905645338426908,4.756361605467484,455.0,58.0,0.0,0.3112357538837966,0.45498735518339195,3.984879465635062,0.009,0.0,0.15163469277409863,,,,,,,,,,
BR,within_publication_min5,0.008598634879122683,6.237882634528976,6.229283999649853,1230.0,6.0,0.7691056910569106,0.001378454097793709,-0.006707989726786717,0.026448426168655722,1.0,0.0165,0.0038853591872937397,4.0,13770.0,12540.0,2.1492837329594243,,,,,,
BR,within_publication_min4,0.0713438968750942,4.702533661766376,4.631189764891283,2965.0,4.0,0.7311973018549747,0.015171373988271643,-0.0021707954162453673,0.22350569033271192,0.24924924924924924,0.0,0.003628137260191847,11.0,13770.0,10805.0,2.1492837329594243,,,,,,
BR,within_publication_min3,0.05294985087225389,4.256907544548345,4.203957693676092,3995.0,4.0,0.7979974968710889,0.012438571972291174,-0.0010914127790119536,0.15270797331254343,0.178,0.0,0.002683753196734008,13.0,13770.0,9775.0,2.1492837329594243,,,,,,
BR,within_chemotype_min5,0.29312077393359787,5.506297815238748,5.2131770413051495,1335.0,5.0,0.6172284644194757,0.053233730497174066,0.0,0.7801848944706088,0.2040603852160333,0.0,0.011974846295363998,3.0,13395.0,12060.0,2.1492837329594243,,,,,,
BR,within_chemotype_min4,0.27654857470060296,5.405823969383083,5.1292753946824785,1415.0,5.0,0.6388692579505301,0.051157524970640675,0.0,0.702938865315103,0.24784154393092941,0.0,0.011357331337284653,4.0,13395.0,11980.0,2.1492837329594243,,,,,,
BR,within_chemotype_min3,0.18242178975436119,4.753731157640589,4.5713093678862275,2030.0,5.0,0.5275862068965518,0.03837444392730494,-0.11639639639639632,0.4719882651247686,0.316,0.0,0.008204850778648957,7.0,13395.0,11365.0,2.1492837329594243,,,,,,
BR,lopo_publication_rerun,2.1492837329594243,,,,,,,,,,,,58.0,,,,1.5374892779630294,2.556835725788789,pub_126bbe7976,0.0,,
BR,lopo_worst_publication_ci,1.5374892779630294,,,,,,,0.20062529507839283,2.4964583792761568,0.018,,,1.0,,,,,,pub_126bbe7976,,,
BR,drop_sc009_altseed_ci,1.5083632518029475,,,,,,,0.227529123546253,2.476825060280887,0.017,,,44.0,,,,,,,,67.0,
BR,drop_sc009_then_lopo,1.5083632518029475,,,,,,,,,,,,58.0,,,,1.1518267552566694,1.8602953667770437,,0.0,,
BR,coherent_null_altseed,2.1492837329594243,,,,,,,,,,0.004,1.1498377678568534,,,,,,,,,,0.002226325768356177
BQ,headline_reproduced,2.1789980625836822,6.905645338426908,4.726647275843226,455.0,58.0,0.0,0.31553865798153685,0.4682765413067176,4.069607086751335,0.01,0.0,0.15230242854940756,,,,,,,,,,
BQ,within_publication_min5,0.009028314729534243,6.237882634528976,6.228854319799442,1230.0,6.0,0.848780487804878,0.0014473364214259497,-0.00266000333983433,0.026637019540982954,0.9306389950846532,0.004,0.0028598926476289467,4.0,13770.0,12540.0,2.1789980625836822,,,,,,
BQ,within_publication_min4,0.07573799677931213,4.702533661766376,4.626795664987065,2965.0,4.0,0.7531197301854975,0.01610578514197456,-0.0006584009588087193,0.22518900254276492,0.18518518518518517,0.0,0.0035983730424844367,11.0,13770.0,10805.0,2.1789980625836822,,,,,,
BQ,within_publication_min3,0.056211053930077706,4.256907544548345,4.2006964906182676,3995.0,4.0,0.8157697121401752,0.013204668727669457,-0.00041385552218885544,0.1542148900359286,0.131,0.0,0.002667929464958702,13.0,13770.0,9775.0,2.1789980625836822,,,,,,
BQ,within_chemotype_min5,0.37469185682973205,5.506297815238748,5.131605958409016,1335.0,5.0,0.5835205992509364,0.06804787343553552,0.0,0.7772544915402058,0.2040603852160333,0.0,0.013593668968752987,3.0,13395.0,12060.0,2.1789980625836822,,,,,,
BQ,within_chemotype_min4,0.3535078649241642,5.405823969383083,5.052316104458919,1415.0,5.0,0.6070671378091873,0.06539389127842925,0.0,0.7002986012887003,0.24784154393092941,0.0,0.012450209240636403,4.0,13395.0,11980.0,2.1789980625836822,,,,,,
BQ,within_chemotype_min3,0.23606582702841986,4.753731157640589,4.51766533061217,2030.0,5.0,0.506896551724138,0.04965906131418379,-0.11453900709219851,0.5775773195876288,0.29,0.0,0.008911446534627263,7.0,13395.0,11365.0,2.1789980625836822,,,,,,
BQ,lopo_publication_rerun,2.1789980625836822,,,,,,,,,,,,58.0,,,,1.5327516190306765,2.5726560996712697,pub_126bbe7976,0.0,,
BQ,lopo_worst_publication_ci,1.5327516190306765,,,,,,,0.2677750528417726,2.4797226944975663,0.013,,,1.0,,,,,,pub_126bbe7976,,,
BQ,drop_sc009_altseed_ci,1.479286917061799,,,,,,,0.20758958713076184,2.4452957766032455,0.015,,,44.0,,,,,,,,67.0,
BQ,drop_sc009_then_lopo,1.479286917061799,,,,,,,,,,,,58.0,,,,1.195097230317082,1.8128805370483552,,0.0,,
BQ,coherent_null_altseed,2.1789980625836822,,,,,,,,,,0.0035,1.1427971215089836,,,,,,,,,,0.0025385067219591572
A,headline_reproduced,2.4915092721446888,6.905645338426908,4.41413606628222,455.0,58.0,0.0,0.36079311201815206,0.7708890886974877,4.544156307830471,0.004,0.0,0.15123067289935505,,,,,,,,,,
A,within_publication_min5,0.007605550501891964,6.237882634528976,6.230277084027084,1230.0,6.0,0.848780487804878,0.001219251939719488,-0.009944443172261662,0.025207620687803613,1.0,0.0095,0.002976626251183272,4.0,13770.0,12540.0,2.4915092721446888,,,,,,
A,within_publication_min4,0.05633102657133012,4.702533661766377,4.646202635195047,2965.0,4.0,0.7231028667790894,0.011978867270919425,-0.05551848048917169,0.15215290519877683,0.3893893893893894,0.0,0.0037771902174747016,11.0,13770.0,10805.0,2.4915092721446888,,,,,,
A,within_publication_min3,0.04180763298723249,4.256907544548345,4.215099911561113,3995.0,4.0,0.7939924906132666,0.009821127790471722,-0.030462249898125487,0.11186502923344471,0.309,0.0,0.002758284676766896,13.0,13770.0,9775.0,2.4915092721446888,,,,,,
A,within_chemotype_min5,0.4189504251586381,5.506297815238748,5.08734739008011,1335.0,5.0,0.5198501872659176,0.07608568210734763,-0.0015686274509803925,0.7939787196930054,0.2040603852160333,0.0,0.013400202499995349,3.0,13395.0,12060.0,2.4915092721446888,,,,,,
A,within_chemotype_min4,0.39526418204012864,5.405823969383083,5.010559787342954,1415.0,5.0,0.5469964664310955,0.0731182118172517,-0.0013201320132013204,0.742695909377972,0.24784154393092941,0.0,0.01280867691130487,4.0,13395.0,11980.0,2.4915092721446888,,,,,,
A,within_chemotype_min3,0.2650486786141783,4.753731157640589,4.48868247902641,2030.0,5.0,0.4586206896551724,0.05575592515116683,-0.1005396418891581,0.6293040293040292,0.29,0.0,0.009442027721627493,7.0,13395.0,11365.0,2.4915092721446888,,,,,,
A,lopo_publication_rerun,2.4915092721446888,,,,,,,,,,,,58.0,,,,1.7936872109127733,2.9209550737095435,pub_126bbe7976,0.0,,
A,lopo_worst_publication_ci,1.7936872109127733,,,,,,,0.623432655156651,2.745699201102778,0.005,,,1.0,,,,,,pub_126bbe7976,,,
A,drop_sc009_altseed_ci,1.7036497146645004,,,,,,,0.5401029051017369,2.708838558414643,0.004,,,44.0,,,,,,,,67.0,
A,drop_sc009_then_lopo,1.7036497146645004,,,,,,,,,,,,58.0,,,,1.574279533727744,2.0474741714831506,,0.0,,
A,coherent_null_altseed,2.4915092721446888,,,,,,,,,,0.0005,1.153675255436076,,,,,,,,,,0.0034701015285072234
BP,headline_reproduced,1.9882198208352135,6.905645338426908,4.917425517591694,455.0,58.0,0.0,0.2879122404059236,0.442490226935938,3.7807742090797767,0.009,0.0,0.15041497242424393,,,,,,,,,,
BP,within_publication_min5,0.0046240491667320915,6.237882634528976,6.233258585362244,1230.0,6.0,0.6959349593495935,0.0007412850541842961,-0.016193610209977352,0.022052434185056136,1.0,0.1645,0.004873728037397757,4.0,13770.0,12540.0,1.9882198208352135,,,,,,
BP,within_publication_min4,0.06878164602869494,4.702533661766376,4.633752015737682,2965.0,4.0,0.6863406408094435,0.014626507958447879,-0.00966051405271589,0.2167594446483267,0.2902902902902903,0.0,0.003931983650360439,11.0,13770.0,10805.0,1.9882198208352135,,,,,,
BP,within_publication_min3,0.05098562715271101,4.256907544548345,4.205921917395635,3995.0,4.0,0.7591989987484355,0.011977151633938187,-0.006293911100937689,0.14839870844564215,0.244,0.0,0.0029151933718847296,13.0,13770.0,9775.0,1.9882198208352135,,,,,,
BP,within_chemotype_min5,0.3334504504445281,5.506297815238748,5.17284736479422,1335.0,5.0,0.6172284644194757,0.06055801223132171,0.0,0.7482435025292169,0.2040603852160333,0.0,0.01243587249605848,3.0,13395.0,12060.0,1.9882198208352135,,,,,,
BP,within_chemotype_min4,0.31459812815791166,5.405823969383083,5.09122584122517,1415.0,5.0,0.6388692579505301,0.05819614732919501,0.0,0.6741599874273141,0.24784154393092941,0.0,0.011774853129063522,4.0,13395.0,11980.0,1.9882198208352135,,,,,,
BP,within_chemotype_min3,0.20836930279644253,4.753731157640589,4.545361854844147,2030.0,5.0,0.5857142857142857,0.043832790683068855,-0.08553866549547784,0.5229813820305744,0.284,0.0,0.008399812254926121,7.0,13395.0,11365.0,1.9882198208352135,,,,,,
BP,lopo_publication_rerun,1.9882198208352135,,,,,,,,,,,,58.0,,,,1.506448108736343,2.42827467475675,pub_126bbe7976,0.0,,
BP,lopo_worst_publication_ci,1.506448108736343,,,,,,,0.3441764176471963,2.414477272962542,0.016,,,1.0,,,,,,pub_126bbe7976,,,
BP,drop_sc009_altseed_ci,1.45905979045688,,,,,,,0.28516214159057784,2.3904245071279147,0.021,,,44.0,,,,,,,,67.0,
BP,drop_sc009_then_lopo,1.45905979045688,,,,,,,,,,,,58.0,,,,1.3394802273245316,1.825183819057817,,0.0,,
BP,coherent_null_altseed,1.9882198208352135,,,,,,,,,,0.007,1.1083220480980098,,,,,,,,,,0.002024850186422011
