comparison,n_seeds,chemotype,n_rows,n_ligands,n_units,mean_nn_train_tanimoto,macro_mae_reference,macro_mae_candidate,macro_mae_delta,level_mae_reference,level_mae_candidate,level_mae_delta,shape_mae_reference,shape_mae_candidate,shape_mae_delta,rank
HEADLINE_full_pool_vs_control,1,tan061,84,1,1,0.6521739130434783,0.7164810119701199,0.8891447133151511,-0.17266370134503117,0.34254029562610777,0.7235857955765131,-0.3810454999504054,0.6392959146653998,0.6054963181447752,0.033799596520624586,11
HEADLINE_full_pool_vs_control,1,tan073,14,1,1,0.6785714285714287,2.083808079484115,2.254206189431204,-0.17039810994708882,2.083808079484115,2.254206189431204,-0.17039810994708882,0.31529251172630085,0.338763690342585,-0.023471178616284172,12
HEADLINE_full_pool_vs_control,1,tan042,23,2,2,0.39061869807211425,0.43173218521673573,0.5915886433821775,-0.1598564581654418,0.399840997602161,0.5262075988193586,-0.12636660121719762,0.1950692464029858,0.23152159812588935,-0.03645235172290354,13
HEADLINE_full_pool_vs_control,1,tan053,27,3,2,0.6607142857142856,0.60825233167145,0.7658175186843914,-0.15756518701294142,0.5972479493392291,0.7618157173507265,-0.16456776801149742,0.14413281619530274,0.15480898388947983,-0.010676167694177091,14
HEADLINE_full_pool_vs_control,1,tan016,244,2,2,0.39561570720548983,1.3472040220187085,1.4649200144573244,-0.11771599243861597,1.001736254257176,1.031677483976292,-0.02994122971911617,0.801884153261571,0.8387055596926221,-0.03682140643105103,15
HEADLINE_full_pool_vs_control,1,tan066,12,1,1,0.6739130434782609,0.4255393477226072,0.5348027221742089,-0.10926337445160167,0.11916896507372936,0.5348027221742089,-0.4156337571004795,0.38812305892701104,0.2968332360519884,0.09128982287502263,16
HEADLINE_full_pool_vs_control,1,tan084,140,1,1,0.5263157894736842,1.4363445839374762,1.5452173661091206,-0.10887278217164442,0.9673240037273465,1.118792523847436,-0.1514685201200896,1.0236149966325983,1.0506086040903557,-0.026993607457757474,17
HEADLINE_full_pool_vs_control,1,tan098,3,1,1,0.14035087719298245,0.8943208549435856,0.9758046366007518,-0.08148378165716619,0.8943208549435856,0.9758046366007518,-0.08148378165716619,0.2626539291876226,0.18723337270725984,0.07542055648036275,18
HEADLINE_full_pool_vs_control,1,tan017,34,2,2,0.5198358413132695,0.7630026645170621,0.833722284384534,-0.07071961986747188,0.6625930661622776,0.7819329900033996,-0.11933992384112191,0.4781300488872777,0.4745838624073191,0.003546186479958635,19
HEADLINE_full_pool_vs_control,1,tan064,6,1,1,0.6428571428571429,0.5076472288228616,0.5773236305560618,-0.06967640173320022,0.27030530913934137,0.28751838176099487,-0.017213072621653502,0.459578294188451,0.5102247101286453,-0.05064641594019437,20
HEADLINE_full_pool_vs_control,1,tan020,6,1,1,0.5789473684210527,2.2914500189648632,2.341728710235571,-0.05027869127070783,2.2914500189648632,2.341728710235571,-0.05027869127070783,0.26097725383209486,0.2761271518153506,-0.015149897983255722,21
HEADLINE_full_pool_vs_control,1,tan076,4,1,1,0.6470588235294118,0.17885224968966673,0.22373341493266596,-0.04488116524299923,0.17885224968966673,0.04534034969522671,0.13351189999444002,0.0695045327066679,0.22373341493266596,-0.15422888222599807,22
HEADLINE_full_pool_vs_control,1,tan074,78,1,1,0.6785714285714288,1.2933519737756423,1.3341836788821644,-0.04083170510652212,0.4620667857144174,0.42238590114692387,0.039680884567493524,1.1865405399613684,1.360160887073365,-0.1736203471119966,23
HEADLINE_full_pool_vs_control,1,tan065,12,1,1,0.6739130434782609,0.9589815778232165,0.993748494546611,-0.03476691672339449,0.8507589026816754,0.9108791189449464,-0.06012021626327102,0.6886680838248015,0.6769278932490073,0.01174019057579423,24
HEADLINE_full_pool_vs_control,1,tan082,14,1,1,0.6590909090909091,0.40211807490001233,0.4305136571934895,-0.028395582293477162,0.40211807490001233,0.4305136571934895,-0.028395582293477162,0.09125501991502123,0.10080540108641015,-0.009550381171388914,25
HEADLINE_full_pool_vs_control,1,tan095,7,1,1,0.28,1.1044713787689244,1.126557446859318,-0.022086068090393596,0.10586730987496337,0.08812766310679297,0.0177396467681704,1.1195952801796334,1.1391471130174313,-0.019551832837797933,26
HEADLINE_full_pool_vs_control,1,tan004,5,1,1,0.375,0.5316807097976557,0.5515586004718755,-0.019877890674219856,0.5316807097976557,0.5515586004718755,-0.019877890674219856,0.19150514057272447,0.12500928848007728,0.06649585209264719,27
HEADLINE_full_pool_vs_control,1,tan022,11,1,1,0.611111111111111,0.2797733627149943,0.29864003001413814,-0.018866667299143824,0.09306690345508234,0.14633262773643085,-0.053265724281348514,0.2543914799545173,0.27440187673249866,-0.020010396777981387,28
HEADLINE_full_pool_vs_control,1,tan019,30,2,1,0.638888888888889,0.5618102916941454,0.5765557636148212,-0.014745471920675768,0.4287279203557502,0.437617309112002,-0.008889388756251781,0.31482229104332526,0.3464912874903521,-0.03166899644702681,29
HEADLINE_full_pool_vs_control,1,tan059,6,1,1,0.6749999999999999,1.3268945286919671,1.3380015008531536,-0.011106972161186501,1.0295688850062974,1.1936063292426569,-0.16403744423635946,0.6405152720211021,0.5422639480247157,0.09825132399638647,30
HEADLINE_full_pool_vs_control,1,tan081,73,6,6,0.6036308496047887,0.6191091066437034,0.6297516927530288,-0.010642586109325336,0.6107137353037275,0.6274475078554567,-0.016733772551729142,0.29437349284517866,0.28660784620035956,0.007765646644819102,31
HEADLINE_full_pool_vs_control,1,tan037,3,1,1,0.4000000000000001,0.20295309441062667,0.2127629457166682,-0.009809851306041534,0.13185883524111816,0.12887499343701828,0.002983841804099885,0.15900014933025394,0.16980461457099547,-0.010804465240741523,32
HEADLINE_full_pool_vs_control,1,tan083,14,1,1,0.627906976744186,0.13580995067401994,0.13897929339740128,-0.0031693427233813465,0.05622795700503785,0.04749407138425502,0.008733885620782825,0.1639680743497324,0.16244020520352964,0.0015278691462027594,33
HEADLINE_full_pool_vs_control,1,tan001,5,1,1,0.6538461538461539,0.5125876776406935,0.5077534307898055,0.004834246850887958,0.5125876776406935,0.5077534307898055,0.004834246850887958,0.31328848980995555,0.3058875440345229,0.007400945775432655,34
HEADLINE_full_pool_vs_control,1,tan093,28,1,1,0.288135593220339,1.2316820822271255,1.2257364724464792,0.005945609780646288,0.20002397259504637,0.041571589362340684,0.1584523832327057,1.1767731267315935,1.216602548884905,-0.03982942215331153,35
HEADLINE_full_pool_vs_control,1,tan087,14,1,1,0.4629629629629629,0.7572393903737092,0.7483031704929418,0.008936219880767426,0.5294062083790764,0.5158526807608836,0.013553527618192729,0.5693609500440181,0.5757531393062135,-0.006392189262195425,36
HEADLINE_full_pool_vs_control,1,tan078,82,6,6,0.614066773905819,1.050529211321588,1.0370199866950947,0.013509224626493399,1.009326554944746,0.9567698243560865,0.05255673058865962,0.4219690772483126,0.41364537434964155,0.00832370289867107,37
HEADLINE_full_pool_vs_control,1,tan003,5,1,1,0.375,0.2193923448272868,0.20295149729873518,0.016440847528551628,0.2193923448272868,0.19706096438536563,0.022331380441921178,0.09452937564291938,0.10117171037033938,-0.006642334727419999,38
HEADLINE_full_pool_vs_control,1,tan021,5,1,1,0.6111111111111112,0.3728013766524271,0.3546659292821196,0.018135447370307478,0.22682993092772502,0.21317885803298178,0.013651072894743238,0.2890841961445926,0.3120301576755232,-0.022945961530930647,39
HEADLINE_full_pool_vs_control,1,tan044,5,1,1,0.5,1.401215636080806,1.378505848201209,0.022709787879596988,0.5087788183740262,0.03955114794095684,0.46922767043306934,1.5029713997556111,1.3705956186130175,0.13237578114259363,40
HEADLINE_full_pool_vs_control,1,tan018,30,2,2,0.6159544159544161,0.40100632813657433,0.37786273186037456,0.023143596276199774,0.345653370786397,0.32495852120519797,0.02069484958119905,0.2613285616295924,0.26007736831337025,0.0012511933162221434,41
HEADLINE_full_pool_vs_control,1,tan027,6,1,1,0.5909090909090909,1.405068501334549,1.379981081822039,0.025087419512509923,1.2546644433593064,1.1161824650055776,0.13848197835372877,0.9868470202147801,1.007920260153513,-0.021073239938733,42
HEADLINE_full_pool_vs_control,1,tan049,42,5,4,0.655499592999593,0.8586340141002711,0.8322028727274755,0.026431141372795564,0.4658301238738005,0.6170047931764622,-0.15117466930266166,0.46180855070997084,0.42463677680482326,0.03717177390514759,43
HEADLINE_full_pool_vs_control,1,tan071,103,1,1,0.5641025641025639,0.5470873086211823,0.5205419223634122,0.02654538625777003,0.20543691051904192,0.17360206486715274,0.03183484565188918,0.4920435027109616,0.48005041122786657,0.01199309148309502,44
HEADLINE_full_pool_vs_control,1,tan002,5,1,1,0.6538461538461539,0.2902438000556767,0.263082387856222,0.02716141219945467,0.2902438000556767,0.2618534969097169,0.028390303145959805,0.16941677274218409,0.16157473374132061,0.007842039000863471,45
HEADLINE_full_pool_vs_control,1,tan045,44,1,1,0.5,1.104822789551851,1.077351397240864,0.027471392310987053,0.9399103984692776,0.7857866473419112,0.15412375112736643,0.9012640919139141,0.9082178867273288,-0.006953794813414738,46
HEADLINE_full_pool_vs_control,1,tan057,14,1,1,0.6888888888888889,0.19753469840532803,0.16567158933079856,0.031863109074529467,0.19345270121003974,0.15320641288200715,0.04024628832803259,0.05097149269235172,0.054782134360694894,-0.003810641668343176,47
HEADLINE_full_pool_vs_control,1,tan012,6,1,1,0.6551724137931033,0.16582562722659663,0.1318772363571433,0.03394839086945334,0.159068533792444,0.02675464371495225,0.13231389007749175,0.13675797093362071,0.1325923360436182,0.0041656348900025175,48
HEADLINE_full_pool_vs_control,1,tan080,28,2,2,0.6590909090909092,0.2042167615334303,0.1652900204811708,0.03892674105225949,0.09447681055609931,0.06306043768717293,0.03141637286892639,0.16582805897129,0.17175346372262232,-0.005925404751332325,49
HEADLINE_full_pool_vs_control,1,tan011,6,1,1,0.6551724137931033,0.09469107654520388,0.052890289959901304,0.04180078658530258,0.0946584690151937,0.007477369183122251,0.08718109983207145,0.06524512820302582,0.05538274635427539,0.009862381848750428,50
HEADLINE_full_pool_vs_control,1,tan096,6,1,1,0.2758620689655173,0.677043296160257,0.6338500928273589,0.04319320333289811,0.677043296160257,0.6338500928273589,0.04319320333289811,0.24942035476989707,0.23350542571073443,0.01591492905916264,51
HEADLINE_full_pool_vs_control,1,tan006,8,1,1,0.3448275862068966,0.5217188888971588,0.4756000718690948,0.046118817028063974,0.5217188888971588,0.4756000718690948,0.046118817028063974,0.16655049942511574,0.14273084438042616,0.02381965504468958,52
HEADLINE_full_pool_vs_control,1,tan060,6,1,1,0.6749999999999999,1.1756322036859377,1.1180659843649285,0.05756621932100914,1.1380727611180477,1.1180659843649285,0.020006776753119127,0.7964833877643093,0.6191946510743916,0.17728873668991763,53
HEADLINE_full_pool_vs_control,1,tan050,26,1,1,0.6923076923076923,1.00712149246625,0.9458623606080709,0.061259131858178995,0.28197637809964815,0.1351886824522891,0.14678769564735905,0.8986690393510006,0.9770597488662915,-0.07839070951529092,54
HEADLINE_full_pool_vs_control,1,tan028,6,1,1,0.5909090909090909,0.5211018703745139,0.4451806481583677,0.07592122221614622,0.2837648621067744,0.25709959822162015,0.026665263885154222,0.4265135830055891,0.3594807820844943,0.06703280092109482,55
HEADLINE_full_pool_vs_control,1,tan085,3,1,1,0.4749999999999999,1.666162748989399,1.5866869085457056,0.07947584044369349,1.1381015635914806,0.9562456431253571,0.18185592046612353,1.426708621128783,1.4355398964715809,-0.008831275342797928,56
HEADLINE_full_pool_vs_control,1,tan070,14,1,1,0.6153846153846152,1.3756941797146085,1.2916878292236351,0.08400635049097338,1.3756941797146085,1.2916878292236351,0.08400635049097338,0.45144499741535504,0.42208349003395174,0.029361507381403307,57
HEADLINE_full_pool_vs_control,1,tan052,29,2,2,0.6651405389742103,0.7910377130037877,0.6864960634698825,0.10454164953390521,0.6017474596124581,0.585344398426008,0.016403061186450074,0.45703103598317807,0.3440172525392085,0.11301378344396956,58
HEADLINE_full_pool_vs_control,1,tan068,12,1,1,0.6764705882352943,1.446840481985248,1.3318606107194768,0.11497987126577125,0.9828838736312463,1.098157553729962,-0.11527368009871564,1.1274557973831476,0.9726842651911806,0.15477153219196704,59
HEADLINE_full_pool_vs_control,1,tan055,3340,38,28,0.6470801072878558,1.2159062548581372,1.095973147953543,0.11993310690459413,1.029929206013405,0.8787068211635336,0.1512223848498715,0.6273690492496868,0.6296678445098579,-0.0022987952601710715,60
HEADLINE_full_pool_vs_control,1,tan051,6,1,1,0.6428571428571429,1.0527091005122016,0.9268733199118259,0.1258357806003757,0.6520031221261589,0.506597564808952,0.14540555731720683,0.6400203522577438,0.5891416100391912,0.0508787422185526,61
HEADLINE_full_pool_vs_control,1,tan056,14,1,1,0.6382978723404255,0.5350837255891377,0.3949921446937175,0.14009158089542023,0.5350837255891377,0.3949921446937175,0.14009158089542023,0.22919981882101242,0.21200727810157702,0.017192540719435406,62
HEADLINE_full_pool_vs_control,1,tan015,3,1,1,0.4705882352941176,0.28602202610281185,0.13493716904688288,0.15108485705592897,0.28602202610281185,0.13493716904688288,0.15108485705592897,0.07427797137183555,0.043507410920345296,0.03077056045149025,63
HEADLINE_full_pool_vs_control,1,tan009,7,1,1,0.46875,0.18937394965861046,0.037025998911813386,0.15234795074679708,0.18937394965861046,0.005798413765916991,0.18357553589269346,0.03425731103747779,0.034746657142913785,-0.0004893461054359949,64
HEADLINE_full_pool_vs_control,1,tan014,3,1,1,0.4705882352941176,2.0978552145098743,1.9427550357485828,0.15510017876129156,2.0978552145098743,1.9427550357485828,0.15510017876129156,0.31084316237680715,0.32119349143978293,-0.010350329062975783,65
HEADLINE_full_pool_vs_control,1,tan089,10,1,1,0.41025641025641024,0.9380750010389727,0.7521611330777456,0.1859138679612271,0.2067383362366047,0.29595818018571485,-0.08921984394911014,0.8902782989259255,0.7576352947415479,0.13264300418437758,66
HEADLINE_full_pool_vs_control,1,tan054,70,6,3,0.5190314220926466,1.4478488873416289,1.2577929129838918,0.19005597435773702,1.283193994068079,0.9846562043405996,0.29853778972747935,0.9740196979398902,0.9230799877931565,0.05093971014673371,67
HEADLINE_full_pool_vs_control,1,tan092,28,1,1,0.32075471698113195,1.6694965387664074,1.4752806917692725,0.1942158469971349,1.6694965387664074,1.4752806917692725,0.1942158469971349,0.31691682921393277,0.3805086638183261,-0.06359183460439333,68
HEADLINE_full_pool_vs_control,1,tan079,12,1,1,0.6842105263157895,1.1124128563489046,0.900497171408107,0.2119156849407976,0.8713045352316121,0.6776784993916278,0.19362603583998428,0.5532114984070979,0.5809425448175453,-0.027731046410447324,69
HEADLINE_full_pool_vs_control,1,tan069,27,2,1,0.65625,2.6890189990988804,2.4418954009400062,0.2471235981588742,2.689018999098881,2.441895400940006,0.24712359815887508,0.40199138358559233,0.41770002338556966,-0.01570863979997733,70
HEADLINE_full_pool_vs_control,1,tan088,6,1,1,0.3,0.667539535636856,0.41320930307059744,0.25433023256625853,0.667539535636856,0.41320930307059744,0.25433023256625853,0.26018844150054654,0.2284244990064738,0.031763942494072744,71
HEADLINE_full_pool_vs_control,1,tan062,14,1,1,0.6500000000000001,0.6585001566186438,0.36846692602927206,0.29003323058937175,0.6585001566186438,0.36846692602927206,0.29003323058937175,0.06339714178507519,0.06885604702880484,-0.005458905243729648,72
HEADLINE_full_pool_vs_control,1,tan029,6,1,1,0.6666666666666666,4.12001673634384,3.6055087654152196,0.5145079709286202,4.12001673634384,3.6055087654152196,0.5145079709286202,0.46919992989587667,0.412281632657502,0.05691829723837466,73
HEADLINE_full_pool_vs_control,1,tan072,14,1,1,0.5555555555555555,1.3085227474880408,0.6348685393435655,0.6736542081444753,1.3085227474880408,0.571294045089631,0.7372287023984098,0.39367555996279885,0.39337289287020766,0.0003026670925911912,74
HEADLINE_full_pool_vs_control,1,tan034,3,1,1,0.38000000000000006,1.1060681141619002,0.4297748824699132,0.676293231691987,1.1060681141619002,0.33196166042126696,0.7741064537406332,0.31572550782028774,0.3191209956628242,-0.00339548784253646,75
HEADLINE_full_pool_vs_control,1,tan094,5,1,1,0.2727272727272727,1.6624301951414586,0.6970288156350833,0.9654013795063753,1.6624301951414586,0.6970288156350833,0.9654013795063753,0.1787174277475688,0.27845373070188384,-0.09973630295431504,76
HEADLINE_full_pool_vs_control,1,tan030,6,1,1,0.6666666666666666,2.570044799431423,1.4297982105423952,1.1402465888890279,2.570044799431423,1.2452243336648756,1.3248204657665474,1.0413723484831088,1.0936806213037402,-0.05230827282063144,77
HEADLINE_full_pool_vs_control,1,tan075,4,1,1,0.6470588235294118,1.899343753739506,0.4607256280516904,1.4386181256878157,1.899343753739506,0.4607256280516904,1.4386181256878157,0.3208550305079348,0.0871692545342388,0.233685775973696,78
HEADLINE_full_pool_vs_control,1,tan041,3,1,1,0.4000000000000001,2.474760810424447,1.0093415277732272,1.4654192826512198,2.474760810424447,1.0093415277732272,1.4654192826512198,0.1295825470288312,0.0719570143858191,0.05762553264301211,79
ARM_B_LN_EXPANDED_vs_control,5,tan091,70,1,1,0.3590163934426229,0.748926283750807,1.0498598434777486,-0.3009335597269416,0.748926283750807,1.0498598434777486,-0.3009335597269416,0.08926289027421005,0.11267370301710457,-0.023410812742894513,1
ARM_B_LN_EXPANDED_vs_control,5,tan045,220,1,1,0.5,1.2591150398021795,1.5426046500311692,-0.28348961022898966,1.16441984420028,1.530653648294273,-0.366233804093993,0.9002815987554638,0.9007839598840187,-0.0005023611285549512,2
ARM_B_LN_EXPANDED_vs_control,5,tan014,15,1,1,0.4342483660130719,2.0738456803309533,2.2577247004679166,-0.18387902013696333,2.0738456803309533,2.2577247004679166,-0.18387902013696333,0.33215933385475477,0.3233423005972235,0.008817033257531248,3
ARM_B_LN_EXPANDED_vs_control,5,tan012,30,1,1,0.6551724137931034,0.21830335518588556,0.37327636645861767,-0.1549730112727321,0.21355801485141937,0.37327636645861767,-0.1597183516071983,0.12525962334793037,0.10270995259638428,0.022549670751546083,4
ARM_B_LN_EXPANDED_vs_control,5,tan092,140,1,1,0.3126037735849057,1.489149781107967,1.6346042398218104,-0.14545445871384333,1.489149781107967,1.6346042398218104,-0.14545445871384333,0.26784656063808243,0.31801133624151384,-0.05016477560343141,5
ARM_B_LN_EXPANDED_vs_control,5,tan065,60,1,1,0.6739130434782606,0.8992316308189497,0.9968147841979262,-0.0975831533789765,0.7242548026674369,0.8566541938255263,-0.1323993911580894,0.6931193909699715,0.7138454671054681,-0.020726076135496596,6
ARM_B_LN_EXPANDED_vs_control,5,tan088,30,1,1,0.30000000000000004,0.6887469821668296,0.7816566902966913,-0.09290970812986166,0.6887469821668296,0.7816566902966913,-0.09290970812986166,0.2879499391127783,0.2733742717455209,0.01457566736725735,7
ARM_B_LN_EXPANDED_vs_control,5,tan015,15,1,1,0.44313725490196076,0.5113089060040165,0.6003011657824425,-0.08899225977842606,0.5113089060040165,0.6003011657824425,-0.08899225977842606,0.0927960110922166,0.10019719690552113,-0.007401185813304539,8
ARM_B_LN_EXPANDED_vs_control,5,tan075,20,1,1,0.625339366515837,0.7747501503118223,0.8508842793086091,-0.07613412899678684,0.7626432356358761,0.8484399949606927,-0.08579675932481656,0.22500632921232402,0.2350960634676348,-0.01008973425531079,9
ARM_B_LN_EXPANDED_vs_control,5,tan096,30,1,1,0.2687430478309232,0.821787161835798,0.8949867539884107,-0.07319959215261262,0.821787161835798,0.8949867539884107,-0.07319959215261262,0.27103927737706546,0.30125727671134345,-0.03021799933427799,10
ARM_B_LN_EXPANDED_vs_control,5,tan006,40,1,1,0.3448275862068966,0.5876732425665555,0.6550787089643407,-0.06740546639778522,0.5876732425665555,0.6550787089643407,-0.06740546639778522,0.1733514979793401,0.15770848564035045,0.015643012338989654,11
ARM_B_LN_EXPANDED_vs_control,5,tan009,35,1,1,0.4361111111111111,0.24239401914375175,0.30959718872323067,-0.06720316957947892,0.24239401914375175,0.30959718872323067,-0.06720316957947892,0.07679616928343383,0.08018297538550778,-0.0033868061020739526,12
ARM_B_LN_EXPANDED_vs_control,5,tan067,660,6,2,0.6634561210847976,1.548135217560648,1.6116846423579054,-0.06354942479725745,1.448675334706099,1.5266144225379787,-0.07793908783187975,0.3574396032726224,0.33549417741310833,0.02194542585951409,13
ARM_B_LN_EXPANDED_vs_control,5,tan076,20,1,1,0.625339366515837,0.15199497370009252,0.2026995666312673,-0.05070459293117477,0.15091971533550114,0.164501440436132,-0.013581725100630854,0.07444951038783514,0.16410234816185681,-0.08965283777402168,14
ARM_B_LN_EXPANDED_vs_control,5,tan004,25,1,1,0.2898526077097506,0.44191104075080223,0.49248665621654925,-0.050575615465747015,0.4021962065038616,0.437223860585353,-0.03502765408149139,0.2090728436207072,0.17896539163224254,0.03010745198846465,15
ARM_B_LN_EXPANDED_vs_control,5,tan056,70,1,1,0.6484864478530978,0.526251657494693,0.576801464637831,-0.05054980714313795,0.5212424977747429,0.576801464637831,-0.055558966863088144,0.17729664952018973,0.18663887797924558,-0.009342228459055857,16
ARM_B_LN_EXPANDED_vs_control,5,tan064,30,1,1,0.6095238095238095,0.4935460610705403,0.537051638095472,-0.043505577024931685,0.22531566308777495,0.28413383640633316,-0.05881817331855821,0.4061851565572839,0.4353086628855975,-0.02912350632831362,17
ARM_B_LN_EXPANDED_vs_control,5,tan057,70,1,1,0.6469444444444447,0.19503713128944014,0.23456981951820757,-0.03953268822876743,0.1490559639244914,0.14625468916743664,0.0028012747570547725,0.10436420276022934,0.15301424773524064,-0.0486500449750113,18
ARM_B_LN_EXPANDED_vs_control,5,tan029,30,1,1,0.6666666666666669,4.112464485883703,4.151197778689236,-0.03873329280553239,4.112464485883703,4.151197778689236,-0.03873329280553239,0.5004337384653421,0.4413316841200058,0.05910205434533633,19
ARM_B_LN_EXPANDED_vs_control,5,tan094,25,1,1,0.2727272727272727,0.942518265812497,0.9783381594484019,-0.035819893635904876,0.9425182658124969,0.9783381594484019,-0.03581989363590499,0.16570102648026858,0.1639963865386439,0.001704639941624675,20
ARM_B_LN_EXPANDED_vs_control,5,tan086,20,1,1,0.4693617021276597,1.5095657777820057,1.539058357428158,-0.02949257964615226,1.5095657777820057,1.539058357428158,-0.02949257964615226,0.031321798071558514,0.03579040435823903,-0.004468606286680513,21
ARM_B_LN_EXPANDED_vs_control,5,tan068,60,1,1,0.6647058823529416,1.4965029957246558,1.5221726347484386,-0.02566963902378272,1.0863220204729094,1.214720516984167,-0.12839849651125768,1.165377424760655,1.1270852953079669,0.03829212945268812,22
ARM_B_LN_EXPANDED_vs_control,5,tan095,35,1,1,0.27863829787234046,1.0765952619729533,1.1022141079302903,-0.02561884595733699,0.4141348210193969,0.17491673651393483,0.2392180845054621,1.1122989046010578,1.1220105044419444,-0.009711599840886542,23
ARM_B_LN_EXPANDED_vs_control,5,tan055,16700,38,28,0.6578890605471407,1.1696526053940814,1.1951022201956965,-0.025449614801615006,0.9838119555231868,1.0073952812238793,-0.023583325700692548,0.5979841974149884,0.6023743748377596,-0.0043901774227711465,24
ARM_B_LN_EXPANDED_vs_control,5,tan087,70,1,1,0.4629629629629628,0.9292942902498466,0.9522291174825567,-0.02293482723271012,0.8538509781344431,0.8274418545675015,0.026409123566941584,0.5780362814347955,0.6319273300647593,-0.053891048629963856,25
ARM_B_LN_EXPANDED_vs_control,5,tan046,335,3,3,0.4960374630242608,0.5912943764978595,0.611555043887713,-0.020260667389853437,0.34547996753283533,0.36607903028758404,-0.02059906275474871,0.4791308004933191,0.48594019889884527,-0.00680939840552619,26
ARM_B_LN_EXPANDED_vs_control,5,tan078,410,6,6,0.5682745867615885,1.0551430677427076,1.0752388336410983,-0.020095765898390683,0.9493891976365324,0.9491170509825971,0.00027214665393526793,0.44142491845487913,0.4266628589883532,0.014762059466525923,27
ARM_B_LN_EXPANDED_vs_control,5,tan021,25,1,1,0.6111111111111112,0.2623239939138011,0.27895119079660524,-0.01662719688280412,0.14149737513034272,0.17484804536752033,-0.03335067023717761,0.23363644915935905,0.2230323216895604,0.010604127469798663,28
ARM_B_LN_EXPANDED_vs_control,5,tan050,130,1,1,0.6923076923076924,1.0526483900922288,1.0687248706134493,-0.01607648052122057,0.26861619521298663,0.19482428320060602,0.07379191201238061,0.9834538358422578,1.0639424990399036,-0.0804886631976458,29
ARM_B_LN_EXPANDED_vs_control,5,tan017,170,2,2,0.5063261893904849,0.7240316980233225,0.7391301973217126,-0.015098499298390133,0.5455723619562697,0.5394251677062845,0.006147194249985222,0.5462643848484944,0.5436343988676838,0.0026299859808105452,30
ARM_B_LN_EXPANDED_vs_control,5,tan003,25,1,1,0.3212292609351433,0.25999369819807866,0.27439355686665556,-0.014399858668576904,0.14915500812940963,0.20632414065789592,-0.057169132528486294,0.18644009771332049,0.18590228898388392,0.0005378087294365674,31
ARM_B_LN_EXPANDED_vs_control,5,tan011,30,1,1,0.6551724137931034,0.13630530224523188,0.15033080988560357,-0.014025507640371693,0.13629878073922982,0.15033080988560357,-0.014032029146373748,0.0695383698566697,0.05725249955372856,0.012285870302941135,32
ARM_B_LN_EXPANDED_vs_control,5,tan054,350,6,3,0.6070542853732972,1.1371683902501375,1.1508644078197285,-0.013696017569591046,0.9549114971730971,0.9951126488997891,-0.04020115172669203,0.7589039422883129,0.7465392290634432,0.012364713224869761,33
