label,blocks,arm,macro_mae_extractant,macro_mae_far,macro_sign_acc_strong,macro_pair_spearman
B_primary,COND+MASSACT+PHYSCHEM+DONORS+ECFP+LIG2D+COORD,X_ENS_DIRECT+LOWRANK_K2,0.480980836700108,0.6312902309996381,0.7335615311215148,0.4748180807249937
B_primary,COND+MASSACT+PHYSCHEM+DONORS+ECFP+LIG2D+COORD,X_ENS_DIRECT+PHYSICS,0.4847046673896068,0.6381837047127965,0.7343804323964871,0.4832825526711009
B_primary,COND+MASSACT+PHYSCHEM+DONORS+ECFP+LIG2D+COORD,C_DIRECT_ROW,0.4953208129052949,0.6539652711907815,0.7218431230559683,0.4626349332498739
B_primary,COND+MASSACT+PHYSCHEM+DONORS+ECFP+LIG2D+COORD,M_PHYSICS_radius+radius_sq,0.4979299955568417,0.6571930224937601,0.7440131833137927,0.4513369341476455
B_primary,COND+MASSACT+PHYSCHEM+DONORS+ECFP+LIG2D+COORD,X_DIRECT_PROJ_K2,0.4988513738671536,0.6567334524406399,0.6994996721552378,0.3951387946933626
B_primary,COND+MASSACT+PHYSCHEM+DONORS+ECFP+LIG2D+COORD,M_PHYSICS_radius+radius_sq+tetrad_e1+tetrad_e3,0.4994308962257995,0.6663222356235096,0.7445634287085461,0.4960642000743962
B_primary,COND+MASSACT+PHYSCHEM+DONORS+ECFP+LIG2D+COORD,X_PHYSICS+RESID_K1,0.5011120970415412,0.6595347201722186,0.7470169866895245,0.443154492902439
B_primary,COND+MASSACT+PHYSCHEM+DONORS+ECFP+LIG2D+COORD,M_SELECTED,0.5014269541262518,0.6615792958325929,0.7379417522713343,0.4584105574262261
B_primary,COND+MASSACT+PHYSCHEM+DONORS+ECFP+LIG2D+COORD,M_PHYSICS_radius+radius_sq+gd_break,0.5017973322780098,0.660680514679585,0.7351571202245123,0.4492765171616725
B_primary,COND+MASSACT+PHYSCHEM+DONORS+ECFP+LIG2D+COORD,X_KRR_TANIMOTO_radius+radius_sq,0.5172916552651877,0.6878231328103677,0.6897380892331328,0.3525047727970692
B_primary,COND+MASSACT+PHYSCHEM+DONORS+ECFP+LIG2D+COORD,B1_MEAN_CURVE,0.6032535776161899,0.8187500459856366,0.6197793712385706,0.2709750673120821
B_abl_cond_only,COND+MASSACT,C_DIRECT_ROW,0.4709444031949552,0.6075116854137198,0.755435045249784,0.5053095436697715
B_abl_cond_only,COND+MASSACT,M_SELECTED,0.4933144656447322,0.644589723386965,0.7243010417733948,0.4464647335390311
B_abl_cond_only,COND+MASSACT,B1_MEAN_CURVE,0.6032535776161899,0.8187500459856366,0.6197793712385706,0.2709750673120821
B_abl_ecfp_only,COND+MASSACT+ECFP,M_SELECTED,0.5015577544391777,0.6646054326718381,0.7237288852186552,0.4120652970346892
