ablation,outer_fold,inner_fold,scope,shuffle_seed,test_rows_touched,training_rows,shuffle_unit_columns,training_complex_pair_groups,repeated_complex_pair_groups,moved_groups,fixed_groups,moved_rows,fixed_rows,donors_from_training_only,complete_block_moved_together
A5_SHUFFLED_s3019,3,,outer_training_only,4003011,0,3778,"geometry_key_A,geometry_key_B",2088,469,2088,0,3778,0,True,True
A5_SHUFFLED_s1009,4,0.0,inner_training_only,4001021,0,2787,"geometry_key_A,geometry_key_B",1532,300,1532,0,2787,0,True,True
A5_SHUFFLED_s1009,4,1.0,inner_training_only,4011030,0,4313,"geometry_key_A,geometry_key_B",900,339,900,0,4313,0,True,True
A5_SHUFFLED_s1009,4,2.0,inner_training_only,4021039,0,4316,"geometry_key_A,geometry_key_B",996,325,996,0,4316,0,True,True
A5_SHUFFLED_s1009,4,,outer_training_only,5001004,0,5708,"geometry_key_A,geometry_key_B",1714,482,1714,0,5708,0,True,True
A5_SHUFFLED_s2017,4,0.0,inner_training_only,4002029,0,2787,"geometry_key_A,geometry_key_B",1532,300,1532,0,2787,0,True,True
A5_SHUFFLED_s2017,4,1.0,inner_training_only,4012038,0,4313,"geometry_key_A,geometry_key_B",900,339,900,0,4313,0,True,True
A5_SHUFFLED_s2017,4,2.0,inner_training_only,4022047,0,4316,"geometry_key_A,geometry_key_B",996,325,996,0,4316,0,True,True
A5_SHUFFLED_s2017,4,,outer_training_only,5002012,0,5708,"geometry_key_A,geometry_key_B",1714,482,1714,0,5708,0,True,True
A5_SHUFFLED_s3019,4,0.0,inner_training_only,4003031,0,2787,"geometry_key_A,geometry_key_B",1532,300,1532,0,2787,0,True,True
A5_SHUFFLED_s3019,4,1.0,inner_training_only,4013040,0,4313,"geometry_key_A,geometry_key_B",900,339,900,0,4313,0,True,True
A5_SHUFFLED_s3019,4,2.0,inner_training_only,4023049,0,4316,"geometry_key_A,geometry_key_B",996,325,996,0,4316,0,True,True
A5_SHUFFLED_s3019,4,,outer_training_only,5003014,0,5708,"geometry_key_A,geometry_key_B",1714,482,1714,0,5708,0,True,True
