metal_pair,n_extractants,spearman,best_true_abs_logSF,chosen_true_abs_logSF,regret,random_pick_regret,predicted_best_in_true_top3
Ce/Er,19,0.7038175315549288,2.7200099171802723,2.2564772062416765,0.4635327109385958,1.0796412531677464,False
Pr/Tb,20,0.7070327690676504,2.531334288806949,2.060697840353612,0.4706364484533374,1.3396632959818886,True
Ce/Gd,21,0.7093212455949836,2.104353659772806,2.104353659772806,0.0,0.9973286534571619,True
Ce/Sm,26,0.7156779041168592,2.6320590476750443,2.6320590476750443,0.0,1.798089961429397,True
Nd/Eu,29,0.7158517113049597,1.272035099291717,1.1072099696478683,0.16482512964384877,0.649403283141106,False
Sm/Tb,20,0.7160587193110672,1.2087249675700282,0.7117442923724477,0.4969806751975805,0.6837358731792142,False
Gd/Tb,23,0.7230047169078355,0.6595631508622992,0.2997729919444788,0.3597901589178204,0.4085883348673095,False
Pr/Yb,19,0.7257569807929253,3.006409526603124,2.558708570533166,0.4477009560699581,1.593179578539865,True
Nd/Tb,19,0.7266345587624451,2.0972476663124886,1.5378190950732742,0.5594285712392144,0.9750245765068533,False
Pr/Eu,26,0.7296973948329563,1.706121721786178,0.8758430718510812,0.8302786499350967,0.8986071557454296,False
Pr/Dy,20,0.7333584572776162,2.3800404949109386,2.278753600952829,0.10128689395810975,1.1684871376383537,True
Ce/Lu,19,0.746818852061402,3.660804891699633,2.285557309007774,1.375247582691859,2.040290064623278,False
Pr/Gd,20,0.7491538702035956,1.8717711379446504,1.760924848409133,0.11084628953551734,0.9122079422831062,True
Eu/Yb,19,0.7538394758175608,1.383333333333331,0.92861985560496,0.4547134777283711,0.8447293980709855,False
Sm/Yb,19,0.7538394758175608,1.683800205366203,1.2097550225520015,0.4740451828142014,0.9352526094869403,False
Pr/Er,18,0.7568405758204061,2.853066544010752,2.5575072019056577,0.2955593421050944,1.3962388572795426,True
Nd/Lu,23,0.7575982440326123,3.359774896035652,2.0637085593914173,1.2960663366442349,2.1680788740716785,True
Pr/Ho,19,0.7687583012993985,3.3650957560403043,2.4819201376014317,0.8831756184388726,1.9525350125378076,True
Nd/Yb,18,0.7692308717410675,2.5723229041086637,2.0358298252528284,0.5364930788558353,1.2028785563275006,False
Nd/Tm,16,0.7770421529709435,2.3417414344363943,2.0362295440862948,0.3055118903500995,1.0598759971668534,True
Eu/Er,23,0.7778601670628387,1.146944822224574,0.927418486977452,0.21952633524712195,0.6501660074002638,True
Pr/Lu,19,0.829311181196269,3.793861518530112,2.586587304671755,1.2072742138583568,2.320659407879157,True
