build_id,geometry_key,geometry_source,xyz_path,n_atoms,xtb_properties_available,xtb_provenance,complex_pi_eligible
63e8132ef0eb,70|CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C|water,final_dataset_3d/accepted_geometries.csv,geometries/Yb_63e8132ef0eb.xyz,197,True,extxyz_xtb_properties_present,True
64d6f07f057c,70|CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC|water,final_dataset_3d/accepted_geometries.csv,geometries/Yb_64d6f07f057c.xyz,233,True,extxyz_xtb_properties_present,True
692a566c8add,70|CCCCCCN(CCC(C)CCCC(C)C)C(=O)COCC(=O)N(CCCCCC)CCC(C)CCCC(C)C|water,final_dataset_3d/accepted_geometries.csv,geometries/Yb_692a566c8add.xyz,233,True,extxyz_xtb_properties_present,True
7599752bb1b0,70|CCCCCCCCN(CCC)C(=O)COCC(=O)N(CCC)CCCCCCCC|water,final_dataset_3d/accepted_geometries.csv,geometries/Yb_7599752bb1b0.xyz,173,True,extxyz_xtb_properties_present,True
7cdf4cfae70c,70|CCCCCCCCN(CCCCC(C)CCCC(C)C)C(=O)COCC(=O)N(CCCCCCCC)CCCCC(C)CCCC(C)C|water,final_dataset_3d/accepted_geometries.csv,geometries/Yb_7cdf4cfae70c.xyz,281,True,extxyz_xtb_properties_present,True
7e009e5eb031,70|CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3ccc(C)cc3C)n2)n1)c1ccc(C)cc1C|nitrate,final_dataset_3d/accepted_geometries.csv,geometries/Yb_7e009e5eb031.xyz,145,True,extxyz_xtb_properties_present,True
801645556b15,70|CCCCCCC(CCCC)CCCN(C)C(=O)COCC(=O)N(C)CCCC(CCCC)CCCCCC|water,final_dataset_3d/accepted_geometries.csv,geometries/Yb_801645556b15.xyz,221,True,extxyz_xtb_properties_present,True
9279ad596860,70|CCN(C(=O)c1ccc2ccc3ccc(C(=O)N(CC)c4ccc(C)cc4)nc3c2n1)c1ccc(C)cc1|nitrate,final_dataset_3d/accepted_geometries.csv,geometries/Yb_9279ad596860.xyz,137,True,extxyz_xtb_properties_present,True
98f5735a8ce8,70|CCN(CC)C(=O)COCC(=O)N(CC)CC|nitrate,final_dataset_3d/accepted_geometries.csv,geometries/Yb_98f5735a8ce8.xyz,87,True,extxyz_xtb_properties_present,True
997308866060,70|CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@@H](CC)C(=O)N(CCCCCCCC)CCCCCCCC|nitrate,final_dataset_3d/accepted_geometries.csv,geometries/Yb_997308866060.xyz,249,True,extxyz_xtb_properties_present,True
9db1b97d1982,70|CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC|water,final_dataset_3d/accepted_geometries.csv,geometries/Yb_9db1b97d1982.xyz,185,True,extxyz_xtb_properties_present,True
9f58c2bc4257,70|CCCCCCCCN(C)C(=O)C(CCOCCCCCC)C(=O)N(C)CCCCCCCC|nitrate,final_dataset_3d/accepted_geometries.csv,geometries/Yb_9f58c2bc4257.xyz,189,True,extxyz_xtb_properties_present,True
22118ecd164c,70|CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O|water,final_dataset_3d/accepted_geometries.csv,geometries/Yb_a0aa0701cbf7.xyz,123,True,extxyz_xtb_properties_present,True
8a9d686f7b7f,70|CC12CCC(c3nnc(-c4cccc(-c5nnc6c(n5)C5(C)CCC6C5(C)C)n4)nc31)C2(C)C|nitrate,final_dataset_3d/accepted_geometries.csv,geometries/Yb_a56492569304.xyz,196,True,extxyz_xtb_properties_present,True
a793bef2526f,70|CCCCCCCCN(CCCCCCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCCCCCC)CCCCCCCC)nc3c2n1|nitrate,final_dataset_3d/accepted_geometries.csv,geometries/Yb_a793bef2526f.xyz,253,True,extxyz_xtb_properties_present,True
a88017c110ed,70|CCCCCCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCCCCCC|water,final_dataset_3d/accepted_geometries.csv,geometries/Yb_a88017c110ed.xyz,281,True,extxyz_xtb_properties_present,True
a9474dbf3555,70|CCCCCCN(CCC(C)CCC=C(C)C)C(=O)COCC(=O)N(CCCCCC)CCC(C)CCC=C(C)C|water,final_dataset_3d/accepted_geometries.csv,geometries/Yb_a9474dbf3555.xyz,225,True,extxyz_xtb_properties_present,True
ab5843fab94e,70|CCCCCCCCN(CCCCCCCC)C(=O)[C@H](CCC)O[C@H](CCC)C(=O)N(CCCCCCCC)CCCCCCCC|nitrate,final_dataset_3d/accepted_geometries.csv,geometries/Yb_ab5843fab94e.xyz,267,True,extxyz_xtb_properties_present,True
ace58608600a,70|CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@H](C)C(=O)N(CCCCCCCC)CCCCCCCC|nitrate,final_dataset_3d/accepted_geometries.csv,geometries/Yb_ace58608600a.xyz,243,True,extxyz_xtb_properties_present,True
b3f43cb08a3e,70|CCCCCCCCN(C(=O)c1ccc2ccc3cccnc3c2n1)c1ccc(C)cc1|nitrate,final_dataset_3d/accepted_geometries.csv,geometries/Yb_b3f43cb08a3e.xyz,131,True,extxyz_xtb_properties_present,True
467997a16193,70|CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O|nitrate,final_dataset_3d/accepted_geometries.csv,geometries/Yb_b6234ce57a75.xyz,119,True,extxyz_xtb_properties_present,True
b626912f120c,70|CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC|nitrate,final_dataset_3d/accepted_geometries.csv,geometries/Yb_b626912f120c.xyz,231,True,extxyz_xtb_properties_present,True
b9bcc8dbd520,70|COCCN(CCOC)C(=O)COCC(=O)N(CCOC)CCOC|water,final_dataset_3d/accepted_geometries.csv,geometries/Yb_b9bcc8dbd520.xyz,61,True,extxyz_xtb_properties_present,True
bf029fdb8a36,70|CCCCCCCCN(CCC(C)CC(C)(C)C)C(=O)COCC(=O)N(CCCCCCCC)CCC(C)CC(C)(C)C|water,final_dataset_3d/accepted_geometries.csv,geometries/Yb_bf029fdb8a36.xyz,245,True,extxyz_xtb_properties_present,True
c0ed1cd7ac83,70|CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@@H](C)C(=O)N(CCCCCCCC)CCCCCCCC|nitrate,final_dataset_3d/accepted_geometries.csv,geometries/Yb_c0ed1cd7ac83.xyz,243,True,extxyz_xtb_properties_present,True
c15b074e4d23,70|CCCCN(CCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCC)CCCC)nc3c2n1|nitrate,final_dataset_3d/accepted_geometries.csv,geometries/Yb_c15b074e4d23.xyz,157,True,extxyz_xtb_properties_present,True
cadd7085b21f,70|CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3ccccc3)n2)n1)c1ccccc1|nitrate,final_dataset_3d/accepted_geometries.csv,geometries/Yb_cadd7085b21f.xyz,121,True,extxyz_xtb_properties_present,True
