arm,half,seed,g19_metal_state,n_rows,mae,mse,rmse,mean_error,coverage_50,width_50,coverage_80,width_80,coverage_95,width_95,unit_reading
B1,confirmation,,Eu(III),1687,1.66611,3.86835,1.96681,0.160344,0.433314,2.92989,0.749259,4.8217,0.90575,6.20505,registered: metal state
B1,confirmation,,La(III),344,1.08487,2.20628,1.48535,0.546976,0.738372,2.69973,0.889535,4.39509,0.94186,6.20508,registered: metal state
B1,confirmation,,Np(V),187,1.64443,3.36693,1.83492,1.64443,0.320856,2.23747,0.737968,4.13646,0.909091,5.65802,registered: metal state
B1,confirmation,,Pu(III),118,1.76697,3.81304,1.9527,1.4922,0.186441,2.20136,0.576271,4.16852,0.932203,5.69214,registered: metal state
B1,confirmation,,Pu(VI),107,0.819457,0.941488,0.970303,0.351791,0.719626,2.20136,0.990654,4.16852,1,5.69214,registered: metal state
B1,confirmation,,Sm(III),323,1.21114,2.35523,1.53467,-0.338416,0.439628,1.7784,0.755418,3.59272,0.947368,5.86519,registered: metal state
B1,confirmation,,Tm(III),201,1.42423,2.90101,1.70324,-0.715895,0.333333,1.77895,0.631841,3.59217,0.920398,5.86574,registered: metal state
B1,confirmation,,Yb(III),231,1.52885,3.24927,1.80257,-0.561411,0.307359,1.78049,0.597403,3.59063,0.904762,5.86728,registered: metal state
B2,selection,,Ce(III),293,1.01522,1.51755,1.23189,0.515008,0.587031,2.18691,0.870307,3.60447,0.969283,5.0442,registered: metal state
B2,selection,,Cm(III),135,1.10502,1.85478,1.3619,0.131408,0.57037,2.21352,0.8,3.60717,0.933333,5.06382,registered: metal state
B2,selection,,Gd(III),375,0.821647,1.11165,1.05435,-0.0852514,0.717333,2.20566,0.898667,3.61809,0.984,5.07969,registered: metal state
B2,selection,,Ho(III),264,0.98167,1.41875,1.19111,-0.41303,0.545455,1.95479,0.871212,3.55412,0.984848,5.04465,registered: metal state
B2,selection,,Lu(III),247,1.10911,1.71625,1.31006,-0.515994,0.441296,1.89433,0.801619,3.51903,0.979757,5.28981,registered: metal state
B2,selection,,Nd(III),189,0.781003,0.950642,0.975009,-0.107401,0.592593,1.90551,0.968254,3.61605,0.994709,5.43026,registered: metal state
B2,selection,,Np(IV),216,0.716646,0.956694,0.978107,0.156989,0.671296,1.51747,0.842593,2.80396,0.953704,4.1793,registered: metal state
B2,selection,,Pr(III),166,1.18349,4.58234,2.14064,0.946785,0.46988,1.47895,0.698795,3.06107,0.927711,4.78866,registered: metal state
B2,selection,,Pu(IV),580,1.00697,1.51272,1.22993,-0.260684,0.42069,1.50766,0.741379,2.80396,0.927586,4.15691,registered: metal state
B2,selection,,Tb(III),269,0.893153,1.28742,1.13465,-0.279299,0.468401,1.46307,0.825279,3.06148,0.966543,4.70187,registered: metal state
B2,selection,,Th(IV),773,1.05221,1.63101,1.27711,-0.00450774,0.398448,1.51332,0.72445,3.07318,0.958603,4.79409,registered: metal state
B2,selection,,U(VI),1036,1.04334,1.52354,1.23432,-0.44532,0.356178,1.50846,0.78861,3.10895,0.968147,4.74548,registered: metal state
B2,confirmation,,Am(III),1728,1.13097,2.06106,1.43564,0.0395743,0.566551,2.24215,0.793403,3.66106,0.933449,5.29795,registered: metal state
B2,confirmation,,Dy(III),377,0.838906,1.09368,1.04579,-0.283015,0.702918,2.2327,0.912467,3.63325,0.994695,5.1051,registered: metal state
B2,confirmation,,Er(III),300,0.958783,1.35301,1.16319,-0.415392,0.636667,2.25358,0.906667,3.65152,0.986667,5.13951,registered: metal state
B2,confirmation,,Eu(III),1687,1.0857,1.79913,1.34132,-0.284267,0.533491,2.2587,0.823948,3.7009,0.962656,5.27996,registered: metal state
B2,confirmation,,La(III),344,1.12199,1.90516,1.38028,0.721158,0.485465,1.9123,0.781977,3.49924,0.944767,5.04237,registered: metal state
B2,confirmation,,Np(V),187,1.5982,3.24042,1.80012,1.58841,0.160428,1.51747,0.465241,2.80396,0.748663,4.1793,registered: metal state
B2,confirmation,,Pu(III),118,1.67216,3.58501,1.89341,1.02339,0.169492,1.50766,0.372881,2.80396,0.720339,4.15691,registered: metal state
B2,confirmation,,Pu(VI),107,0.733306,0.758665,0.871014,-0.0392519,0.542056,1.50766,0.915888,2.80396,0.990654,4.15691,registered: metal state
B2,confirmation,,Sm(III),323,0.741638,0.946073,0.972663,0.0259253,0.600619,1.46284,0.857585,3.03025,0.972136,4.69208,registered: metal state
B2,confirmation,,Tm(III),201,1.10281,1.71584,1.3099,-0.490154,0.353234,1.46029,0.701493,3.06826,0.950249,4.70261,registered: metal state
B2,confirmation,,Yb(III),231,1.06986,1.62182,1.27351,-0.492153,0.367965,1.46307,0.727273,3.07072,0.965368,4.69745,registered: metal state
B3,selection,,Ce(III),293,0.570986,0.794779,0.891504,-0.135081,0.40273,0.452088,0.887372,2.7424,0.96587,5.21869,registered: metal state
B3,selection,,Cm(III),135,0.503415,0.669782,0.818402,0.0788902,0.466667,0.452088,0.881481,2.7424,0.97037,5.21869,registered: metal state
B3,selection,,Gd(III),375,0.517084,0.735991,0.857899,0.332337,0.352,0.452088,0.914667,2.7424,0.976,5.21869,registered: metal state
B3,selection,,Ho(III),264,0.499647,0.923314,0.960892,0.0130748,0.689394,0.653271,0.848485,2.2624,0.94697,4.79116,registered: metal state
B3,selection,,Lu(III),247,0.477953,0.928808,0.963747,0.143129,0.753036,0.804021,0.854251,2.5654,0.955466,5.20203,registered: metal state
B3,selection,,Nd(III),189,0.629114,0.862603,0.928764,-0.275104,0.571429,0.810906,0.761905,2.5654,1,5.20203,registered: metal state
B3,selection,,Np(IV),216,0.704733,0.820312,0.905711,0.51737,0.226852,0.546003,0.671296,1.60734,0.939815,3.8481,registered: metal state
B3,selection,,Pr(III),166,0.99908,4.27083,2.0666,0.862544,0.475904,0.753935,0.668675,2.0312,0.927711,4.70691,registered: metal state
B3,selection,,Pu(IV),580,1.00992,1.69211,1.30081,-0.599688,0.160345,0.546003,0.515517,1.60734,0.856897,3.8481,registered: metal state
B3,selection,,Tb(III),269,0.525534,0.751375,0.866819,-0.0582919,0.420074,0.60206,0.888476,1.95389,0.966543,4.56701,registered: metal state
B3,selection,,Th(IV),773,1.10134,2.029,1.42443,-0.0452813,0.280724,0.753935,0.548512,2.0312,0.900388,4.70691,registered: metal state
B3,selection,,U(VI),1036,0.868598,1.48711,1.21947,0.396821,0.362934,0.753935,0.69112,2.0312,0.926641,4.70691,registered: metal state
B3,confirmation,,Am(III),1728,1.09452,2.12079,1.45629,0.144748,0.212384,0.452088,0.671875,2.7424,0.907986,5.21869,registered: metal state
B3,confirmation,,Dy(III),377,0.493657,0.807352,0.898528,0.118606,0.535809,0.452088,0.901857,2.7424,0.960212,5.21869,registered: metal state
B3,confirmation,,Er(III),300,0.435913,0.740365,0.860445,0.103964,0.666667,0.510545,0.893333,2.63434,0.966667,5.1811,registered: metal state
B3,confirmation,,Eu(III),1687,1.08756,2.34774,1.53223,-0.319711,0.247184,0.455556,0.697688,2.7424,0.870184,5.21869,registered: metal state
B3,confirmation,,La(III),344,0.793435,1.56603,1.25141,0.620938,0.459302,0.653271,0.761628,2.2624,0.921512,4.79116,registered: metal state
B3,confirmation,,Np(V),187,1.17083,2.0701,1.43879,0.985024,0.128342,0.546003,0.406417,1.60734,0.812834,3.8481,registered: metal state
B3,confirmation,,Pu(III),118,1.45227,3.17579,1.78208,0.0468341,0.177966,0.546003,0.271186,1.60734,0.711864,3.8481,registered: metal state
B3,confirmation,,Pu(VI),107,0.724094,0.862477,0.928697,0.268211,0.17757,0.546003,0.682243,1.60734,0.962617,3.8481,registered: metal state
B3,confirmation,,Sm(III),323,0.775357,1.37573,1.17292,-0.0794145,0.501548,0.753935,0.727554,2.0312,0.913313,4.70691,registered: metal state
B3,confirmation,,Tm(III),201,0.437012,0.846857,0.920248,0.0939045,0.776119,0.753935,0.850746,2.0312,0.945274,4.70691,registered: metal state
B3,confirmation,,Yb(III),231,0.437664,0.796849,0.892664,0.0619875,0.748918,0.753935,0.861472,2.0312,0.952381,4.70691,registered: metal state
B3x,selection,,Ce(III),293,0.570986,0.794779,0.891504,-0.135081,0.40273,0.452088,0.887372,2.7424,0.96587,5.21869,registered: metal state
B3x,selection,,Cm(III),135,0.503415,0.669782,0.818402,0.0788902,0.466667,0.452088,0.881481,2.7424,0.97037,5.21869,registered: metal state
B3x,selection,,Gd(III),375,0.517084,0.735991,0.857899,0.332337,0.352,0.452088,0.914667,2.7424,0.976,5.21869,registered: metal state
B3x,selection,,Ho(III),264,0.499647,0.923314,0.960892,0.0130748,0.689394,0.653271,0.848485,2.2624,0.94697,4.79116,registered: metal state
B3x,selection,,Lu(III),247,0.477953,0.928808,0.963747,0.143129,0.753036,0.804021,0.854251,2.5654,0.955466,5.20203,registered: metal state
B3x,selection,,Nd(III),189,0.629114,0.862603,0.928764,-0.275104,0.571429,0.810906,0.761905,2.5654,1,5.20203,registered: metal state
B3x,selection,,Np(IV),216,0.704733,0.820312,0.905711,0.51737,0.226852,0.546003,0.671296,1.60734,0.939815,3.8481,registered: metal state
B3x,selection,,Pr(III),166,0.99908,4.27083,2.0666,0.862544,0.475904,0.753935,0.668675,2.0312,0.927711,4.70691,registered: metal state
B3x,selection,,Pu(IV),580,1.00992,1.69211,1.30081,-0.599688,0.160345,0.546003,0.515517,1.60734,0.856897,3.8481,registered: metal state
B3x,selection,,Tb(III),269,0.525534,0.751375,0.866819,-0.0582919,0.420074,0.60206,0.888476,1.95389,0.966543,4.56701,registered: metal state
B3x,selection,,Th(IV),773,1.10134,2.029,1.42443,-0.0452813,0.280724,0.753935,0.548512,2.0312,0.900388,4.70691,registered: metal state
B3x,selection,,U(VI),1036,0.868598,1.48711,1.21947,0.396821,0.362934,0.753935,0.69112,2.0312,0.926641,4.70691,registered: metal state
B3x,confirmation,,Am(III),1728,1.09452,2.12079,1.45629,0.144748,0.212384,0.452088,0.671875,2.7424,0.907986,5.21869,registered: metal state
B3x,confirmation,,Dy(III),377,0.493657,0.807352,0.898528,0.118606,0.535809,0.452088,0.901857,2.7424,0.960212,5.21869,registered: metal state
B3x,confirmation,,Er(III),300,0.435913,0.740365,0.860445,0.103964,0.666667,0.510545,0.893333,2.63434,0.966667,5.1811,registered: metal state
B3x,confirmation,,Eu(III),1687,1.08756,2.34774,1.53223,-0.319711,0.247184,0.455556,0.697688,2.7424,0.870184,5.21869,registered: metal state
B3x,confirmation,,La(III),344,0.793435,1.56603,1.25141,0.620938,0.459302,0.653271,0.761628,2.2624,0.921512,4.79116,registered: metal state
B3x,confirmation,,Np(V),187,1.17083,2.0701,1.43879,0.985024,0.128342,0.546003,0.406417,1.60734,0.812834,3.8481,registered: metal state
B3x,confirmation,,Pu(III),118,1.45227,3.17579,1.78208,0.0468341,0.177966,0.546003,0.271186,1.60734,0.711864,3.8481,registered: metal state
B3x,confirmation,,Pu(VI),107,0.724094,0.862477,0.928697,0.268211,0.17757,0.546003,0.682243,1.60734,0.962617,3.8481,registered: metal state
B3x,confirmation,,Sm(III),323,0.775357,1.37573,1.17292,-0.0794145,0.501548,0.753935,0.727554,2.0312,0.913313,4.70691,registered: metal state
B3x,confirmation,,Tm(III),201,0.437012,0.846857,0.920248,0.0939045,0.776119,0.753935,0.850746,2.0312,0.945274,4.70691,registered: metal state
B3x,confirmation,,Yb(III),231,0.437664,0.796849,0.892664,0.0619875,0.748918,0.753935,0.861472,2.0312,0.952381,4.70691,registered: metal state
B3i,selection,,Ce(III),293,0.44299,0.682949,0.826407,0.078574,0.593857,0.473335,0.911263,2.65959,0.96587,5.05059,registered: metal state
B3i,selection,,Cm(III),135,0.496707,0.583705,0.764006,0.0965199,0.496296,0.473335,0.881481,2.65959,0.985185,5.05059,registered: metal state
B3i,selection,,Gd(III),375,0.402412,0.602639,0.776298,0.219744,0.616,0.473335,0.930667,2.65959,0.981333,5.05059,registered: metal state
B3i,selection,,Ho(III),264,0.435524,0.777897,0.881985,0.00372787,0.617424,0.452088,0.856061,2.27889,0.958333,4.75194,registered: metal state
B3i,selection,,Lu(III),247,0.491235,0.920725,0.959544,0.111756,0.716599,0.65378,0.850202,2.47727,0.951417,4.83942,registered: metal state
B3i,selection,,Nd(III),189,0.591488,0.795895,0.89213,-0.279312,0.534392,0.658634,0.798942,2.47727,1,4.83942,registered: metal state
B3i,selection,,Np(IV),216,0.523336,0.532836,0.729956,0.259079,0.226852,0.306316,0.782407,1.47772,0.953704,3.74022,registered: metal state
B3i,selection,,Pr(III),166,0.975857,4.26329,2.06477,0.833379,0.457831,0.53821,0.620482,1.66146,0.89759,3.94794,registered: metal state
B3i,selection,,Pu(IV),580,0.9901,1.63033,1.27684,-0.57668,0.1,0.306316,0.5,1.47772,0.858621,3.74022,registered: metal state
B3i,selection,,Tb(III),269,0.399599,0.714772,0.845442,0.0782169,0.717472,0.526556,0.851301,1.63676,0.947955,3.90986,registered: metal state
B3i,selection,,Th(IV),773,1.10134,2.029,1.42443,-0.0452813,0.228978,0.601006,0.534282,1.93961,0.848642,4.28482,registered: metal state
B3i,selection,,U(VI),1036,0.868598,1.48711,1.21947,0.396821,0.26834,0.536501,0.63417,1.66146,0.88417,3.94794,registered: metal state
B3i,confirmation,,Am(III),1728,1.03391,1.89958,1.37825,0.0582438,0.243056,0.473335,0.678241,2.65959,0.91956,5.05059,registered: metal state
B3i,confirmation,,Dy(III),377,0.428692,0.699463,0.836339,0.073452,0.644562,0.487025,0.909814,2.65959,0.970822,5.05059,registered: metal state
B3i,confirmation,,Er(III),300,0.403541,0.695627,0.834042,0.0778023,0.68,0.503673,0.893333,2.68385,0.966667,5.08297,registered: metal state
B3i,confirmation,,Eu(III),1687,1.07063,2.34323,1.53076,-0.269849,0.310018,0.476057,0.682276,2.65959,0.864256,5.05059,registered: metal state
B3i,confirmation,,La(III),344,0.709916,1.19587,1.09356,0.532637,0.325581,0.452088,0.776163,2.27889,0.938953,4.75194,registered: metal state
B3i,confirmation,,Np(V),187,1.17083,2.0701,1.43879,0.985024,0.0855615,0.306316,0.390374,1.47772,0.802139,3.74022,registered: metal state
B3i,confirmation,,Pu(III),118,1.43575,3.04106,1.74386,0.0633555,0.135593,0.306316,0.271186,1.47772,0.694915,3.74022,registered: metal state
B3i,confirmation,,Pu(VI),107,0.724094,0.862477,0.928697,0.268211,0.0934579,0.306316,0.64486,1.47772,0.962617,3.74022,registered: metal state
B3i,confirmation,,Sm(III),323,0.527905,0.757163,0.870151,9.83516e-05,0.529412,0.536501,0.749226,1.66146,0.959752,3.94794,registered: metal state
B3i,confirmation,,Tm(III),201,0.424187,0.835752,0.914195,0.105354,0.746269,0.536501,0.820896,1.66146,0.925373,3.94794,registered: metal state
B3i,confirmation,,Yb(III),231,0.415485,0.785726,0.886412,0.0627724,0.714286,0.536501,0.835498,1.66146,0.926407,3.94794,registered: metal state
B3l,selection,,Ce(III),293,1.01522,1.51755,1.23189,0.515008,0.587031,2.18691,0.870307,3.60447,0.969283,5.0442,registered: metal state
B3l,selection,,Cm(III),135,1.10502,1.85478,1.3619,0.131408,0.57037,2.21352,0.8,3.60717,0.933333,5.06382,registered: metal state
B3l,selection,,Gd(III),375,0.821647,1.11165,1.05435,-0.0852514,0.717333,2.20566,0.898667,3.61809,0.984,5.07969,registered: metal state
B3l,selection,,Ho(III),264,0.98167,1.41875,1.19111,-0.41303,0.545455,1.95479,0.871212,3.55412,0.984848,5.04465,registered: metal state
B3l,selection,,Lu(III),247,1.10911,1.71625,1.31006,-0.515994,0.441296,1.89433,0.801619,3.51903,0.979757,5.28981,registered: metal state
B3l,selection,,Nd(III),189,0.781003,0.950642,0.975009,-0.107401,0.592593,1.90551,0.968254,3.61605,0.994709,5.43026,registered: metal state
B3l,selection,,Np(IV),216,0.716646,0.956694,0.978107,0.156989,0.671296,1.51747,0.842593,2.80396,0.953704,4.1793,registered: metal state
B3l,selection,,Pr(III),166,1.18349,4.58234,2.14064,0.946785,0.46988,1.47895,0.698795,3.06107,0.927711,4.78866,registered: metal state
B3l,selection,,Pu(IV),580,1.00697,1.51272,1.22993,-0.260684,0.42069,1.50766,0.741379,2.80396,0.927586,4.15691,registered: metal state
B3l,selection,,Tb(III),269,0.893153,1.28742,1.13465,-0.279299,0.468401,1.46307,0.825279,3.06148,0.966543,4.70187,registered: metal state
B3l,selection,,Th(IV),773,1.05221,1.63101,1.27711,-0.00450774,0.398448,1.51332,0.72445,3.07318,0.958603,4.79409,registered: metal state
B3l,selection,,U(VI),1036,1.04334,1.52354,1.23432,-0.44532,0.356178,1.50846,0.78861,3.10895,0.968147,4.74548,registered: metal state
B3l,confirmation,,Am(III),1728,1.13097,2.06106,1.43564,0.0395743,0.566551,2.24215,0.793403,3.66106,0.933449,5.29795,registered: metal state
B3l,confirmation,,Dy(III),377,0.838906,1.09368,1.04579,-0.283015,0.702918,2.2327,0.912467,3.63325,0.994695,5.1051,registered: metal state
B3l,confirmation,,Er(III),300,0.958783,1.35301,1.16319,-0.415392,0.636667,2.25358,0.906667,3.65152,0.986667,5.13951,registered: metal state
B3l,confirmation,,Eu(III),1687,1.0857,1.79913,1.34132,-0.284267,0.533491,2.2587,0.823948,3.7009,0.962656,5.27996,registered: metal state
B3l,confirmation,,La(III),344,1.12199,1.90516,1.38028,0.721158,0.485465,1.9123,0.781977,3.49924,0.944767,5.04237,registered: metal state
B3l,confirmation,,Np(V),187,1.5982,3.24042,1.80012,1.58841,0.160428,1.51747,0.465241,2.80396,0.748663,4.1793,registered: metal state
B3l,confirmation,,Pu(III),118,1.67216,3.58501,1.89341,1.02339,0.169492,1.50766,0.372881,2.80396,0.720339,4.15691,registered: metal state
B3l,confirmation,,Pu(VI),107,0.733306,0.758665,0.871014,-0.0392519,0.542056,1.50766,0.915888,2.80396,0.990654,4.15691,registered: metal state
B3l,confirmation,,Sm(III),323,0.741638,0.946073,0.972663,0.0259253,0.600619,1.46284,0.857585,3.03025,0.972136,4.69208,registered: metal state
B3l,confirmation,,Tm(III),201,1.10281,1.71584,1.3099,-0.490154,0.353234,1.46029,0.701493,3.06826,0.950249,4.70261,registered: metal state
B3l,confirmation,,Yb(III),231,1.06986,1.62182,1.27351,-0.492153,0.367965,1.46307,0.727273,3.07072,0.965368,4.69745,registered: metal state
B4,selection,,Ce(III),293,1.13523,2.08782,1.44493,0.0599154,0.709898,2.84411,0.897611,4.67824,0.96587,6.46026,registered: metal state
B4,selection,,Cm(III),135,1.559,3.99701,1.99925,-0.0890191,0.548148,2.83892,0.718519,4.67824,0.851852,6.42732,registered: metal state
B4,selection,,Gd(III),375,1.28396,2.67637,1.63596,0.30526,0.637333,2.83892,0.864,4.67824,0.952,6.40614,registered: metal state
B4,selection,,Ho(III),264,1.43622,2.97344,1.72437,-0.0881714,0.420455,2.39271,0.738636,4.38765,0.977273,6.60729,registered: metal state
B4,selection,,Lu(III),247,1.42822,3.12188,1.76688,0.165636,0.433198,2.24149,0.765182,4.29141,0.959514,6.9715,registered: metal state
B4,selection,,Nd(III),189,0.91633,1.23386,1.11079,-0.32804,0.730159,2.35687,0.962963,4.43747,1,6.783,registered: metal state
B4,selection,,Np(IV),216,1.01461,1.62867,1.27619,0.728931,0.625,2.08304,0.898148,4.02911,0.976852,6.08033,registered: metal state
B4,selection,,Pr(III),166,1.33952,4.91065,2.216,0.806064,0.481928,1.9473,0.843373,3.91285,0.975904,6.35917,registered: metal state
B4,selection,,Pu(IV),580,0.941784,1.55009,1.24502,-0.265687,0.663793,2.08304,0.893103,4.10678,0.968966,6.08033,registered: metal state
B4,selection,,Tb(III),269,1.21352,2.26737,1.50578,-0.132286,0.501859,1.93872,0.773234,3.9,0.98513,6.50843,registered: metal state
B4,selection,,Th(IV),773,1.09038,1.94731,1.39546,0.223104,0.557568,1.93872,0.827943,3.91285,0.976714,6.35917,registered: metal state
B4,selection,,U(VI),1036,0.985221,1.73537,1.31733,0.266595,0.604247,1.94189,0.877413,3.93678,0.966216,6.36023,registered: metal state
B4,confirmation,,Am(III),1728,1.54997,3.4996,1.87072,0.311548,0.509838,2.81627,0.773148,4.67607,0.927083,6.44291,registered: metal state
B4,confirmation,,Dy(III),377,1.30485,2.6064,1.61444,-0.110943,0.572944,2.83892,0.870027,4.69357,0.960212,6.40614,registered: metal state
B4,confirmation,,Er(III),300,1.35614,2.75482,1.65977,-0.171752,0.533333,2.82733,0.86,4.71968,0.963333,6.44437,registered: metal state
B4,confirmation,,Eu(III),1687,1.48494,3.39182,1.84169,-0.306134,0.554831,2.86281,0.7623,4.72475,0.91227,6.40614,registered: metal state
B4,confirmation,,La(III),344,1.26434,2.63249,1.62249,0.74056,0.578488,2.40137,0.840116,4.37512,0.94186,6.60729,registered: metal state
B4,confirmation,,Np(V),187,1.58405,3.37496,1.83711,1.50765,0.336898,2.08304,0.679144,4.02911,0.930481,6.08033,registered: metal state
B4,confirmation,,Pu(III),118,1.49516,3.07704,1.75415,0.662172,0.364407,2.08304,0.652542,4.10678,0.957627,6.08033,registered: metal state
B4,confirmation,,Pu(VI),107,0.881179,1.42152,1.19227,0.435405,0.663551,2.08304,0.88785,4.10678,0.962617,6.08033,registered: metal state
B4,confirmation,,Sm(III),323,1.27195,2.50207,1.58179,-0.0697283,0.455108,1.94189,0.755418,3.92611,0.959752,6.35917,registered: metal state
B4,confirmation,,Tm(III),201,1.37365,2.9773,1.72548,-0.0129784,0.38806,1.93872,0.741294,3.93485,0.935323,6.35917,registered: metal state
B4,confirmation,,Yb(III),231,1.38227,2.80248,1.67406,-0.0353814,0.372294,1.93872,0.722944,3.93536,0.965368,6.35917,registered: metal state
B4x,selection,,Ce(III),293,1.13523,2.08782,1.44493,0.0599154,0.709898,2.84411,0.897611,4.67824,0.96587,6.46026,registered: metal state
B4x,selection,,Cm(III),135,1.559,3.99701,1.99925,-0.0890191,0.548148,2.83892,0.718519,4.67824,0.851852,6.42732,registered: metal state
B4x,selection,,Gd(III),375,1.28396,2.67637,1.63596,0.30526,0.637333,2.83892,0.864,4.67824,0.952,6.40614,registered: metal state
B4x,selection,,Ho(III),264,1.43622,2.97344,1.72437,-0.0881714,0.420455,2.39271,0.738636,4.38765,0.977273,6.60729,registered: metal state
