arm,half,seed,v1_outer_fold_unit,n_rows,mae,mse,rmse,mean_error,coverage_50,width_50,coverage_80,width_80,coverage_95,width_95,unit_reading,unit
B0,selection,,,50,1.07621,1.65276,1.2856,-0.115896,0.56,2.17093,0.88,4.28655,1,6.13014,exploratory: publication group (the as-run pre-seal V1 reading),pub_a9266a9412
B0,selection,,,133,0.97063,1.50883,1.22834,-0.568435,0.691729,2.19406,0.864662,4.32397,1,6.13191,exploratory: publication group (the as-run pre-seal V1 reading),pub_ad5a7268e5
B0,selection,,,14,1.29824,3.42014,1.84936,1.13562,0.642857,2.22808,0.714286,4.43035,0.857143,6.29173,exploratory: publication group (the as-run pre-seal V1 reading),pub_af7a1cd919
B0,selection,,,228,0.846418,1.08969,1.04388,0.00803988,0.631579,2.19276,0.991228,4.33536,1,6.25728,exploratory: publication group (the as-run pre-seal V1 reading),pub_b0b3296ec5
B0,selection,,,35,0.985274,1.49992,1.22471,0.859745,0.542857,2.18881,0.942857,4.35734,1,6.34358,exploratory: publication group (the as-run pre-seal V1 reading),pub_b155314682
B0,selection,,,16,1.01703,1.43886,1.19952,-0.0798761,0.5,2.18455,1,4.37854,1,6.29204,exploratory: publication group (the as-run pre-seal V1 reading),pub_b4273fb42a
B0,selection,,,14,1.40844,2.07713,1.44123,1.40844,0,2.22808,1,4.43035,1,6.29173,exploratory: publication group (the as-run pre-seal V1 reading),pub_b8175dc3a1
B0,selection,,,208,0.499474,0.447829,0.669201,0.100018,0.870192,2.25403,0.990385,4.39092,1,6.28261,exploratory: publication group (the as-run pre-seal V1 reading),pub_b92b9c1ebe
B0,selection,,,14,1.35064,2.40099,1.54951,0.740846,0.357143,2.22808,0.928571,4.43035,1,6.29173,exploratory: publication group (the as-run pre-seal V1 reading),pub_c07b8473b8
B0,selection,,,4,1.59325,2.53963,1.59362,-1.59325,0,2.22808,1,4.43035,1,6.29173,exploratory: publication group (the as-run pre-seal V1 reading),pub_c649e663f3
B0,selection,,,31,0.692535,0.809422,0.899679,0.156429,0.806452,2.17361,0.967742,4.27807,1,6.17181,exploratory: publication group (the as-run pre-seal V1 reading),pub_c929bc0daa
B0,selection,,,94,1.74602,4.30097,2.07388,0.863129,0.329787,2.15773,0.62766,4.28825,0.840426,6.15107,exploratory: publication group (the as-run pre-seal V1 reading),pub_cdc2243314
B0,selection,,,15,1.05694,1.48139,1.21712,0.216282,0.466667,2.15963,1,4.3226,1,6.14475,exploratory: publication group (the as-run pre-seal V1 reading),pub_d3c970567f
B0,selection,,,3,0.424644,0.216593,0.465396,-0.424644,1,2.22808,1,4.43035,1,6.29173,exploratory: publication group (the as-run pre-seal V1 reading),pub_dc1c90a4de
B0,selection,,,1096,1.956,5.00868,2.23801,0.966506,0.22719,2.01397,0.514599,4.08777,0.792883,5.85668,exploratory: publication group (the as-run pre-seal V1 reading),pub_e287124c22
B0,selection,,,36,1.62298,3.3661,1.83469,-1.59967,0.333333,2.16273,0.694444,4.26807,0.944444,6.11818,exploratory: publication group (the as-run pre-seal V1 reading),pub_f5d1922154
B0,selection,,,5,1.4175,2.01242,1.4186,1.4175,0,2.22808,1,4.43035,1,6.29173,exploratory: publication group (the as-run pre-seal V1 reading),pub_f6d85bdb79
B0,selection,,,3,0.259546,0.074404,0.272771,-0.259546,1,2.22808,1,4.43035,1,6.29173,exploratory: publication group (the as-run pre-seal V1 reading),pub_f926473989
B0,confirmation,,pub_007f4c9de0,35,1.22803,2.36637,1.5383,0.921216,0.6,2.16621,0.8,4.22827,0.942857,6.15035,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,confirmation,,pub_04794d6d09,642,1.22567,2.14433,1.46435,-0.475059,0.507788,2.17993,0.806854,4.25997,1,6.23155,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,confirmation,,pub_0c3788daa5,33,1.5363,2.96475,1.72185,-0.621439,0.30303,2.16521,0.757576,4.29204,0.969697,6.17435,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,confirmation,,pub_0fd6ab4e40,29,1.48789,2.32055,1.52334,1.48789,0.137931,2.18713,0.965517,4.2602,1,6.24706,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,confirmation,,pub_10aec04d23,67,0.935017,1.54797,1.24417,0.64289,0.61194,2.19061,0.910448,4.29575,1,6.24235,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,confirmation,,pub_1605e436d7,154,0.975134,1.30126,1.14073,-0.0302347,0.577922,2.17981,1,4.33313,1,6.24014,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,confirmation,,pub_1927dff570,20,1.09876,1.35779,1.16524,1.09876,0.4,2.16554,1,4.29612,1,6.1179,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,confirmation,,pub_1b7737c507,261,1.03453,1.77841,1.33357,0.697453,0.628352,2.17612,0.869732,4.29812,0.984674,6.17146,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,confirmation,,pub_1c1b558856,72,2.22849,5.94375,2.43798,-2.22849,0.152778,2.17425,0.472222,4.26849,0.791667,6.20967,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,confirmation,,pub_1d18e32c4e,101,1.21522,1.80639,1.34402,-0.830522,0.39604,2.18708,0.940594,4.28536,1,6.2658,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,confirmation,,pub_1e6fec5c25,22,1.01365,1.65724,1.28734,0.822558,0.636364,2.18516,0.909091,4.3356,1,6.2587,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,confirmation,,pub_23f10a0918,269,0.595889,0.763443,0.873752,0.212336,0.862454,2.22945,0.966543,4.41549,0.981413,6.29515,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,confirmation,,pub_3e0f6bb1b5,28,1.11012,1.55234,1.24593,0.143005,0.357143,2.17882,0.928571,4.30783,1,6.14724,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,confirmation,,pub_40c355ae86,24,0.662907,0.608942,0.780347,-0.371293,0.916667,2.17891,1,4.31419,1,6.13569,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
