arm,half,seed,v1_outer_fold_unit,n_rows,mae,mse,rmse,mean_error,coverage_50,width_50,coverage_80,width_80,coverage_95,width_95,unit_reading,unit
B1,selection,,,14,1.67656,3.21444,1.79289,1.67656,0.214286,2.1127,0.785714,4.20349,1,6.44864,exploratory: publication group (the as-run pre-seal V1 reading),pub_b8175dc3a1
B1,selection,,,208,0.579296,0.512099,0.715611,-0.220572,0.875,2.12918,1,4.19331,1,6.4259,exploratory: publication group (the as-run pre-seal V1 reading),pub_b92b9c1ebe
B1,selection,,,14,1.15642,1.76383,1.32809,0.27752,0.428571,2.1127,0.857143,4.20349,1,6.44864,exploratory: publication group (the as-run pre-seal V1 reading),pub_c07b8473b8
B1,selection,,,4,1.56658,2.66114,1.6313,-1.56658,0.25,2.1127,0.75,4.20349,1,6.44864,exploratory: publication group (the as-run pre-seal V1 reading),pub_c649e663f3
B1,selection,,,31,0.733754,0.867172,0.931221,0.112313,0.774194,2.13391,0.967742,4.11862,1,6.32698,exploratory: publication group (the as-run pre-seal V1 reading),pub_c929bc0daa
B1,selection,,,94,1.70446,4.07752,2.01929,0.721555,0.340426,2.16491,0.617021,4.15788,0.882979,6.38098,exploratory: publication group (the as-run pre-seal V1 reading),pub_cdc2243314
B1,selection,,,15,1.09091,1.43676,1.19865,0.0464119,0.6,2.09224,1,4.08947,1,6.35738,exploratory: publication group (the as-run pre-seal V1 reading),pub_d3c970567f
B1,selection,,,3,0.698617,0.54241,0.736485,-0.449662,1,2.1127,1,4.20349,1,6.44864,exploratory: publication group (the as-run pre-seal V1 reading),pub_dc1c90a4de
B1,selection,,,1096,1.98942,5.22649,2.28615,1.0666,0.224453,1.97329,0.485401,3.8431,0.751825,5.84928,exploratory: publication group (the as-run pre-seal V1 reading),pub_e287124c22
B1,selection,,,36,1.77268,3.91837,1.97949,-1.7646,0.222222,2.10488,0.527778,4.02761,0.944444,5.95918,exploratory: publication group (the as-run pre-seal V1 reading),pub_f5d1922154
B1,selection,,,5,1.70143,3.00172,1.73255,1.70143,0,2.1127,0.8,4.20349,1,6.44864,exploratory: publication group (the as-run pre-seal V1 reading),pub_f6d85bdb79
B1,selection,,,3,0.44727,0.25418,0.504162,-0.44727,1,2.1127,1,4.20349,1,6.44864,exploratory: publication group (the as-run pre-seal V1 reading),pub_f926473989
B1,confirmation,,pub_007f4c9de0,35,1.00093,1.54422,1.24267,0.471597,0.685714,2.10855,0.885714,4.06153,1,6.36027,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B1,confirmation,,pub_04794d6d09,642,1.27599,2.15234,1.46709,-0.300832,0.378505,2.0503,0.834891,4.08794,1,6.43838,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B1,confirmation,,pub_0c3788daa5,33,1.59391,3.16919,1.78022,-0.781022,0.212121,2.11516,0.666667,4.07792,1,6.36359,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B1,confirmation,,pub_0fd6ab4e40,29,1.73418,3.3858,1.84006,1.73418,0.172414,2.21041,0.724138,4.10537,1,6.43535,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B1,confirmation,,pub_10aec04d23,67,0.88346,1.31625,1.14728,0.493242,0.731343,2.09237,0.910448,4.08762,1,6.28115,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B1,confirmation,,pub_1605e436d7,154,0.9056,1.35341,1.16336,0.296996,0.636364,2.09858,0.88961,4.07427,1,6.44265,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B1,confirmation,,pub_1927dff570,20,0.944862,1.41799,1.1908,0.939141,0.7,2.15309,0.9,4.1064,1,6.49899,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B1,confirmation,,pub_1b7737c507,261,0.841858,1.21306,1.10139,0.343868,0.685824,2.0964,0.904215,4.06451,0.996169,6.27162,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B1,confirmation,,pub_1c1b558856,72,2.21408,5.88,2.42487,-2.21408,0.111111,2.13209,0.527778,4.13952,0.791667,6.57345,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B1,confirmation,,pub_1d18e32c4e,101,1.20277,1.86931,1.36723,-0.790054,0.435644,2.1297,0.920792,4.11875,1,6.62658,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B1,confirmation,,pub_1e6fec5c25,22,0.993263,1.6413,1.28113,0.797173,0.636364,2.10496,0.863636,4.19455,1,6.64927,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B1,confirmation,,pub_23f10a0918,269,0.681362,0.846378,0.919988,-0.014953,0.862454,2.14979,0.95539,4.15392,0.98513,6.55391,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B1,confirmation,,pub_3e0f6bb1b5,28,1.27982,2.26157,1.50385,0.397982,0.464286,2.09596,0.821429,4.05822,0.964286,6.17363,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B1,confirmation,,pub_40c355ae86,24,0.587403,0.484746,0.696237,-0.180676,0.833333,2.11209,1,4.08448,1,6.28005,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B1,confirmation,,pub_457a2adba4,28,1.31946,2.13491,1.46113,-1.2515,0.357143,2.13424,0.892857,4.06063,1,6.20371,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B1,confirmation,,pub_4f42448406,81,0.796572,1.06373,1.03137,0.538681,0.728395,2.09001,0.938272,4.03757,1,6.21638,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B1,confirmation,,pub_515c63b970,90,0.599003,0.388288,0.623127,-0.406403,1,2.13622,1,4.13439,1,6.3475,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B1,confirmation,,pub_51c0693f9c,116,0.746465,1.11042,1.05376,-0.403648,0.801724,2.20833,0.922414,4.21319,1,6.4213,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B1,confirmation,,pub_51ddfefa0c,96,1.26721,5.77964,2.40409,0.735374,0.59375,2.10304,0.947917,4.09724,0.96875,6.48377,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B1,confirmation,,pub_56338b6e47,192,1.59618,3.82103,1.95474,0.996078,0.427083,2.17094,0.666667,4.17743,0.869792,6.21243,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B1,confirmation,,pub_58ab6ca575,55,0.711531,0.706299,0.840416,-0.558928,0.727273,2.07678,1,4.07548,1,6.17028,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B1,confirmation,,pub_5a68dc5665,874,1.05464,1.67201,1.29306,0.129265,0.558352,2.12819,0.892449,4.18043,0.997712,6.19913,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B1,confirmation,,pub_63013e43b6,48,1.11795,2.00811,1.41708,0.978399,0.541667,2.0877,0.8125,4.02592,1,6.12032,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B1,confirmation,,pub_691fc07992,75,1.64746,4.02533,2.00632,-1.47586,0.453333,2.12602,0.613333,4.03636,0.826667,6.04486,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B1,confirmation,,pub_6a0ef8528c,164,3.49159,12.8937,3.59078,3.49159,0,2.0297,0.054878,3.92366,0.25,5.91448,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B1,confirmation,,pub_86cd2c5ec0,36,1.46989,2.94806,1.71699,0.159507,0.416667,2.16726,0.75,4.13088,0.972222,6.11693,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B1,confirmation,,pub_9a95bb9836,110,0.922927,1.20372,1.09714,0.081628,0.654545,2.1237,0.954545,4.13235,1,6.13235,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B1,confirmation,,pub_a49146c8fd,51,2.16223,5.59313,2.36498,1.72465,0.137255,2.11347,0.392157,4.12482,0.843137,6.14035,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B1,confirmation,,pub_a671b3a07d,140,0.905587,1.38555,1.17709,0.431445,0.678571,2.09268,0.907143,4.12471,0.978571,6.20645,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B1,confirmation,,pub_aed382b25f,36,1.51962,3.47011,1.86282,-1.23816,0.444444,2.14463,0.722222,4.1519,0.944444,6.30851,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B1,confirmation,,pub_b048b54fa9,93,1.1022,1.57173,1.25369,-0.0271818,0.451613,2.12724,0.935484,4.17243,1,6.41257,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B1,confirmation,,pub_b62729e38f,53,0.677998,0.747029,0.864309,-0.160401,0.735849,2.08702,1,4.09557,1,6.42181,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B1,confirmation,,pub_b9dfc468cd,136,0.432598,0.411148,0.641208,-0.177374,0.897059,2.1302,0.985294,4.13108,1,6.39517,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B1,confirmation,,pub_bdb1564c49,134,0.856747,1.05988,1.02951,-0.62935,0.649254,2.12073,0.977612,4.16811,1,6.47797,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B1,confirmation,,pub_bef16e560c,48,1.05421,1.49756,1.22375,-0.0785814,0.5,2.0893,0.916667,4.02845,1,6.29647,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B1,confirmation,,pub_c8195b4ca7,216,1.49551,2.75734,1.66052,-1.44724,0.259259,2.11166,0.712963,4.0768,1,6.32698,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B1,confirmation,,pub_ca616a18dd,28,0.740321,0.842432,0.917841,-0.60891,0.678571,2.11357,1,4.11395,1,6.44365,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B1,confirmation,,pub_ca7dd9b99d,303,1.31493,2.39592,1.54788,0.734392,0.438944,2.06243,0.745875,4.12096,0.983498,6.42314,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B1,confirmation,,pub_cd72e4a7bb,135,1.39619,2.91359,1.70692,-0.725888,0.437037,2.06856,0.711111,4.06994,0.955556,6.31502,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B1,confirmation,,pub_d59c40b453,37,1.47754,2.92041,1.70892,-0.364039,0.378378,2.17811,0.702703,4.14792,1,6.30609,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B1,confirmation,,pub_dfa96a5118,42,0.827306,0.928699,0.96369,-0.63035,0.690476,2.11308,1,4.13566,1,6.46067,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B1,confirmation,,pub_e4bbba9576,89,0.862507,1.06822,1.03355,-0.338723,0.651685,2.13989,0.966292,4.07153,1,6.43708,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B1,confirmation,,pub_e4dd361427,10,1.53361,2.95626,1.71938,1.14264,0.4,2.12123,0.6,4.1451,1,6.53336,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B1,confirmation,,pub_e9799b75f3,56,0.457244,0.357629,0.598021,0.249725,0.875,2.1316,1,4.05811,1,6.34433,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B1,confirmation,,,35,1.00093,1.54422,1.24267,0.471597,0.685714,2.10855,0.885714,4.06153,1,6.36027,exploratory: publication group (the as-run pre-seal V1 reading),pub_007f4c9de0
B1,confirmation,,,642,1.27599,2.15234,1.46709,-0.300832,0.378505,2.0503,0.834891,4.08794,1,6.43838,exploratory: publication group (the as-run pre-seal V1 reading),pub_04794d6d09
B1,confirmation,,,33,1.59391,3.16919,1.78022,-0.781022,0.212121,2.11516,0.666667,4.07792,1,6.36359,exploratory: publication group (the as-run pre-seal V1 reading),pub_0c3788daa5
B1,confirmation,,,29,1.73418,3.3858,1.84006,1.73418,0.172414,2.21041,0.724138,4.10537,1,6.43535,exploratory: publication group (the as-run pre-seal V1 reading),pub_0fd6ab4e40
B1,confirmation,,,67,0.88346,1.31625,1.14728,0.493242,0.731343,2.09237,0.910448,4.08762,1,6.28115,exploratory: publication group (the as-run pre-seal V1 reading),pub_10aec04d23
B1,confirmation,,,154,0.9056,1.35341,1.16336,0.296996,0.636364,2.09858,0.88961,4.07427,1,6.44265,exploratory: publication group (the as-run pre-seal V1 reading),pub_1605e436d7
B1,confirmation,,,20,0.944862,1.41799,1.1908,0.939141,0.7,2.15309,0.9,4.1064,1,6.49899,exploratory: publication group (the as-run pre-seal V1 reading),pub_1927dff570
B1,confirmation,,,261,0.841858,1.21306,1.10139,0.343868,0.685824,2.0964,0.904215,4.06451,0.996169,6.27162,exploratory: publication group (the as-run pre-seal V1 reading),pub_1b7737c507
B1,confirmation,,,72,2.21408,5.88,2.42487,-2.21408,0.111111,2.13209,0.527778,4.13952,0.791667,6.57345,exploratory: publication group (the as-run pre-seal V1 reading),pub_1c1b558856
B1,confirmation,,,101,1.20277,1.86931,1.36723,-0.790054,0.435644,2.1297,0.920792,4.11875,1,6.62658,exploratory: publication group (the as-run pre-seal V1 reading),pub_1d18e32c4e
B1,confirmation,,,22,0.993263,1.6413,1.28113,0.797173,0.636364,2.10496,0.863636,4.19455,1,6.64927,exploratory: publication group (the as-run pre-seal V1 reading),pub_1e6fec5c25
B1,confirmation,,,269,0.681362,0.846378,0.919988,-0.014953,0.862454,2.14979,0.95539,4.15392,0.98513,6.55391,exploratory: publication group (the as-run pre-seal V1 reading),pub_23f10a0918
B1,confirmation,,,28,1.27982,2.26157,1.50385,0.397982,0.464286,2.09596,0.821429,4.05822,0.964286,6.17363,exploratory: publication group (the as-run pre-seal V1 reading),pub_3e0f6bb1b5
B1,confirmation,,,24,0.587403,0.484746,0.696237,-0.180676,0.833333,2.11209,1,4.08448,1,6.28005,exploratory: publication group (the as-run pre-seal V1 reading),pub_40c355ae86
B1,confirmation,,,28,1.31946,2.13491,1.46113,-1.2515,0.357143,2.13424,0.892857,4.06063,1,6.20371,exploratory: publication group (the as-run pre-seal V1 reading),pub_457a2adba4
B1,confirmation,,,81,0.796572,1.06373,1.03137,0.538681,0.728395,2.09001,0.938272,4.03757,1,6.21638,exploratory: publication group (the as-run pre-seal V1 reading),pub_4f42448406
B1,confirmation,,,90,0.599003,0.388288,0.623127,-0.406403,1,2.13622,1,4.13439,1,6.3475,exploratory: publication group (the as-run pre-seal V1 reading),pub_515c63b970
B1,confirmation,,,116,0.746465,1.11042,1.05376,-0.403648,0.801724,2.20833,0.922414,4.21319,1,6.4213,exploratory: publication group (the as-run pre-seal V1 reading),pub_51c0693f9c
B1,confirmation,,,96,1.26721,5.77964,2.40409,0.735374,0.59375,2.10304,0.947917,4.09724,0.96875,6.48377,exploratory: publication group (the as-run pre-seal V1 reading),pub_51ddfefa0c
B1,confirmation,,,192,1.59618,3.82103,1.95474,0.996078,0.427083,2.17094,0.666667,4.17743,0.869792,6.21243,exploratory: publication group (the as-run pre-seal V1 reading),pub_56338b6e47
B1,confirmation,,,55,0.711531,0.706299,0.840416,-0.558928,0.727273,2.07678,1,4.07548,1,6.17028,exploratory: publication group (the as-run pre-seal V1 reading),pub_58ab6ca575
B1,confirmation,,,874,1.05464,1.67201,1.29306,0.129265,0.558352,2.12819,0.892449,4.18043,0.997712,6.19913,exploratory: publication group (the as-run pre-seal V1 reading),pub_5a68dc5665
B1,confirmation,,,48,1.11795,2.00811,1.41708,0.978399,0.541667,2.0877,0.8125,4.02592,1,6.12032,exploratory: publication group (the as-run pre-seal V1 reading),pub_63013e43b6
B1,confirmation,,,75,1.64746,4.02533,2.00632,-1.47586,0.453333,2.12602,0.613333,4.03636,0.826667,6.04486,exploratory: publication group (the as-run pre-seal V1 reading),pub_691fc07992
B1,confirmation,,,164,3.49159,12.8937,3.59078,3.49159,0,2.0297,0.054878,3.92366,0.25,5.91448,exploratory: publication group (the as-run pre-seal V1 reading),pub_6a0ef8528c
B1,confirmation,,,36,1.46989,2.94806,1.71699,0.159507,0.416667,2.16726,0.75,4.13088,0.972222,6.11693,exploratory: publication group (the as-run pre-seal V1 reading),pub_86cd2c5ec0
B1,confirmation,,,110,0.922927,1.20372,1.09714,0.081628,0.654545,2.1237,0.954545,4.13235,1,6.13235,exploratory: publication group (the as-run pre-seal V1 reading),pub_9a95bb9836
B1,confirmation,,,51,2.16223,5.59313,2.36498,1.72465,0.137255,2.11347,0.392157,4.12482,0.843137,6.14035,exploratory: publication group (the as-run pre-seal V1 reading),pub_a49146c8fd
B1,confirmation,,,140,0.905587,1.38555,1.17709,0.431445,0.678571,2.09268,0.907143,4.12471,0.978571,6.20645,exploratory: publication group (the as-run pre-seal V1 reading),pub_a671b3a07d
B1,confirmation,,,36,1.51962,3.47011,1.86282,-1.23816,0.444444,2.14463,0.722222,4.1519,0.944444,6.30851,exploratory: publication group (the as-run pre-seal V1 reading),pub_aed382b25f
B1,confirmation,,,93,1.1022,1.57173,1.25369,-0.0271818,0.451613,2.12724,0.935484,4.17243,1,6.41257,exploratory: publication group (the as-run pre-seal V1 reading),pub_b048b54fa9
B1,confirmation,,,53,0.677998,0.747029,0.864309,-0.160401,0.735849,2.08702,1,4.09557,1,6.42181,exploratory: publication group (the as-run pre-seal V1 reading),pub_b62729e38f
B1,confirmation,,,136,0.432598,0.411148,0.641208,-0.177374,0.897059,2.1302,0.985294,4.13108,1,6.39517,exploratory: publication group (the as-run pre-seal V1 reading),pub_b9dfc468cd
B1,confirmation,,,134,0.856747,1.05988,1.02951,-0.62935,0.649254,2.12073,0.977612,4.16811,1,6.47797,exploratory: publication group (the as-run pre-seal V1 reading),pub_bdb1564c49
B1,confirmation,,,48,1.05421,1.49756,1.22375,-0.0785814,0.5,2.0893,0.916667,4.02845,1,6.29647,exploratory: publication group (the as-run pre-seal V1 reading),pub_bef16e560c
B1,confirmation,,,216,1.49551,2.75734,1.66052,-1.44724,0.259259,2.11166,0.712963,4.0768,1,6.32698,exploratory: publication group (the as-run pre-seal V1 reading),pub_c8195b4ca7
B1,confirmation,,,28,0.740321,0.842432,0.917841,-0.60891,0.678571,2.11357,1,4.11395,1,6.44365,exploratory: publication group (the as-run pre-seal V1 reading),pub_ca616a18dd
B1,confirmation,,,303,1.31493,2.39592,1.54788,0.734392,0.438944,2.06243,0.745875,4.12096,0.983498,6.42314,exploratory: publication group (the as-run pre-seal V1 reading),pub_ca7dd9b99d
B1,confirmation,,,135,1.39619,2.91359,1.70692,-0.725888,0.437037,2.06856,0.711111,4.06994,0.955556,6.31502,exploratory: publication group (the as-run pre-seal V1 reading),pub_cd72e4a7bb
B1,confirmation,,,37,1.47754,2.92041,1.70892,-0.364039,0.378378,2.17811,0.702703,4.14792,1,6.30609,exploratory: publication group (the as-run pre-seal V1 reading),pub_d59c40b453
B1,confirmation,,,42,0.827306,0.928699,0.96369,-0.63035,0.690476,2.11308,1,4.13566,1,6.46067,exploratory: publication group (the as-run pre-seal V1 reading),pub_dfa96a5118
B1,confirmation,,,89,0.862507,1.06822,1.03355,-0.338723,0.651685,2.13989,0.966292,4.07153,1,6.43708,exploratory: publication group (the as-run pre-seal V1 reading),pub_e4bbba9576
B1,confirmation,,,10,1.53361,2.95626,1.71938,1.14264,0.4,2.12123,0.6,4.1451,1,6.53336,exploratory: publication group (the as-run pre-seal V1 reading),pub_e4dd361427
B1,confirmation,,,56,0.457244,0.357629,0.598021,0.249725,0.875,2.1316,1,4.05811,1,6.34433,exploratory: publication group (the as-run pre-seal V1 reading),pub_e9799b75f3
B2,selection,,REMAINDER,232,0.951307,1.55087,1.24534,-0.294107,0.62931,2.09824,0.840517,3.69013,0.961207,5.41323,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B2,selection,,pub_0884e38fbe,155,0.831074,0.911281,0.95461,-0.135583,0.780645,2.1868,0.974194,3.84807,1,5.39085,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B2,selection,,pub_0a8da089ad,132,0.915851,1.13699,1.0663,-0.436441,0.666667,2.04945,0.924242,3.74904,1,5.56444,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B2,selection,,pub_0af6736cb1,258,1.15732,1.89714,1.37737,-0.660208,0.488372,2.10411,0.872093,3.76505,0.949612,5.59618,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B2,selection,,pub_0d412f4721,20,1.66416,3.37358,1.83673,-1.60656,0.2,2.00963,0.6,3.75114,1,5.61617,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B2,selection,,pub_0ddbd861aa,91,0.766123,0.75396,0.868309,-0.708401,0.758242,2.08909,1,3.79386,1,5.66505,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B2,selection,,pub_19783c039b,204,1.10229,1.70902,1.30729,-0.427375,0.45098,2.00845,0.882353,3.73681,0.995098,5.5948,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B2,selection,,pub_1bd76c48d9,54,0.67166,0.521109,0.721879,-0.645824,0.981481,2.10453,1,3.7597,1,5.60475,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B2,selection,,pub_22a136e9b9,24,1.23921,2.30228,1.51733,0.438115,0.458333,2.00122,0.833333,3.7531,0.916667,5.66767,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B2,selection,,pub_2319535dff,141,1.17411,1.64164,1.28126,-0.837135,0.304965,2.01115,0.957447,3.76716,0.985816,5.63431,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B2,selection,,pub_2c76a46f18,71,1.17511,2.01117,1.41816,0.53453,0.492958,2.08907,0.802817,3.71853,0.971831,5.37781,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B2,selection,,pub_2e9f2dbea9,76,1.28728,2.44877,1.56486,-0.218196,0.407895,2.10041,0.907895,3.73175,0.934211,5.37718,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B2,selection,,pub_37086f6378,532,1.37146,2.57311,1.60409,-0.446209,0.379699,2.07582,0.68985,3.72755,0.962406,5.65975,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B2,selection,,pub_3f3b6220e0,56,0.839858,0.790718,0.889223,-0.839858,0.75,2.11632,1,3.88861,1,5.60929,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B2,selection,,pub_44555064e1,55,0.844437,1.01104,1.0055,-0.300482,0.690909,2.14096,0.963636,3.81314,1,5.6327,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B2,selection,,pub_45b8fb22e7,152,0.84802,1.20777,1.09898,0.189541,0.743421,2.16105,0.907895,3.8241,0.986842,5.59671,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B2,selection,,pub_4a1871d85d,114,0.585783,0.548726,0.74076,-0.577428,0.850877,2.10447,1,3.84063,1,5.63632,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B2,selection,,pub_4cba27f5f3,206,1.19786,1.61373,1.27033,-0.285002,0.330097,2.11147,1,3.86965,1,5.59441,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B2,selection,,pub_5472c4b438,192,1.6837,3.46624,1.86178,-1.3433,0.234375,2.04107,0.505208,3.72376,1,5.55828,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B2,selection,,pub_6b0ea2ccc9,87,1.2568,2.32125,1.52357,0.0661385,0.494253,2.08847,0.735632,3.87243,0.954023,5.64898,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B2,selection,,pub_74428aeab2,26,2.50949,6.97768,2.64153,-0.370139,0,2.04567,0.269231,3.74835,0.730769,5.57205,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B2,selection,,pub_8415538291,120,1.41667,2.46585,1.5703,-0.344431,0.291667,2.11718,0.8,3.87064,0.966667,5.75756,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B2,selection,,pub_8a081dc888,47,1.1023,1.64186,1.28135,0.182537,0.553191,2.14848,0.893617,3.7254,0.978723,5.59479,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B2,selection,,pub_8dafaf94bc,63,0.693725,0.56459,0.751392,-0.194733,0.936508,2.11008,1,3.81697,1,5.67238,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B2,selection,,pub_917a4583d4,27,0.775855,0.735003,0.857323,-0.346008,0.814815,2.11526,1,3.81364,1,5.67238,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B2,selection,,pub_92fd5bea1e,108,1.02538,1.55639,1.24755,-0.0666562,0.62963,2.11691,0.888889,3.77908,0.981481,5.63447,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B2,selection,,pub_97510df3a0,21,0.738231,0.812281,0.901266,0.599059,0.714286,2.13237,1,3.72562,1,5.52041,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B2,selection,,pub_a470dfb784,40,0.982059,1.09867,1.04817,-0.950902,0.65,2.1309,1,3.74803,1,5.61145,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B2,selection,,pub_a9266a9412,50,1.08306,1.71233,1.30856,0.270196,0.6,2.11678,0.84,3.73971,0.98,5.59085,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B2,selection,,pub_ad5a7268e5,133,1.14014,1.7991,1.3413,-0.0578833,0.511278,2.16422,0.804511,3.76198,0.977444,5.45592,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B2,selection,,pub_b0b3296ec5,228,0.91644,1.27379,1.12862,0.429154,0.666667,2.15445,0.877193,3.73942,0.995614,5.49323,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B2,selection,,pub_b155314682,35,1.05409,1.72277,1.31254,0.97507,0.542857,2.07525,0.8,3.68198,1,5.57002,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
