arm,half,seed,g19_metal_state,n_rows,mae,mse,rmse,mean_error,unit_reading
B1,selection,,Lu(III),247,1.48873,3.13117,1.76951,-0.56591,registered: metal state
B1,selection,,Nd(III),189,0.880326,1.31485,1.14667,-0.343565,registered: metal state
B1,selection,,Np(IV),216,0.822087,1.30884,1.14405,0.380998,registered: metal state
B1,selection,,Pr(III),166,1.16795,4.18764,2.04637,0.73122,registered: metal state
B1,selection,,Pu(IV),580,1.06252,1.72382,1.31294,-0.0115321,registered: metal state
B1,selection,,Tb(III),269,1.35216,2.6935,1.64119,-0.395228,registered: metal state
B1,selection,,Th(IV),773,0.946722,1.49527,1.22281,0.247425,registered: metal state
B1,selection,,U(VI),1036,0.681749,0.8157,0.903161,0.114873,registered: metal state
B1,confirmation,,Am(III),1728,1.50522,3.27878,1.81074,0.197892,registered: metal state
B1,confirmation,,Dy(III),377,1.35446,2.61656,1.61758,-0.720169,registered: metal state
B1,confirmation,,Er(III),300,1.44052,2.92353,1.70983,-0.67365,registered: metal state
B1,confirmation,,Eu(III),1687,1.66602,3.86915,1.96702,0.162811,registered: metal state
B1,confirmation,,La(III),344,1.08557,2.20864,1.48615,0.549133,registered: metal state
B1,confirmation,,Np(V),187,1.64665,3.37423,1.83691,1.64665,registered: metal state
B1,confirmation,,Pu(III),118,1.76867,3.8197,1.95441,1.49443,registered: metal state
B1,confirmation,,Pu(VI),107,0.820312,0.943063,0.971114,0.354022,registered: metal state
B1,confirmation,,Sm(III),323,1.21046,2.35383,1.53422,-0.336355,registered: metal state
B1,confirmation,,Tm(III),201,1.4236,2.8981,1.70238,-0.71386,registered: metal state
B1,confirmation,,Yb(III),231,1.5284,3.24698,1.80194,-0.559367,registered: metal state
B2,selection,,Ce(III),293,1.01726,1.52376,1.23441,0.519705,registered: metal state
B2,selection,,Cm(III),135,1.1051,1.85862,1.36331,0.139141,registered: metal state
B2,selection,,Gd(III),375,0.821139,1.11075,1.05392,-0.0808929,registered: metal state
B2,selection,,Ho(III),264,0.980057,1.41404,1.18913,-0.408898,registered: metal state
B2,selection,,Lu(III),247,1.10739,1.70956,1.3075,-0.511155,registered: metal state
B2,selection,,Nd(III),189,0.781003,0.950642,0.975009,-0.107401,registered: metal state
B2,selection,,Np(IV),216,0.716646,0.956694,0.978107,0.156989,registered: metal state
B2,selection,,Pr(III),166,1.18555,4.59187,2.14287,0.950081,registered: metal state
B2,selection,,Pu(IV),580,1.00697,1.51258,1.22987,-0.260182,registered: metal state
B2,selection,,Tb(III),269,0.892107,1.28426,1.13325,-0.274967,registered: metal state
B2,selection,,Th(IV),773,1.05245,1.6317,1.27738,-0.00339685,registered: metal state
B2,selection,,U(VI),1036,1.04376,1.52485,1.23485,-0.444685,registered: metal state
B2,confirmation,,Am(III),1728,1.13013,2.05987,1.43522,0.0445104,registered: metal state
B2,confirmation,,Dy(III),377,0.837737,1.09091,1.04446,-0.280003,registered: metal state
B2,confirmation,,Er(III),300,0.957502,1.3489,1.16142,-0.41199,registered: metal state
B2,confirmation,,Eu(III),1687,1.08413,1.79398,1.3394,-0.280648,registered: metal state
B2,confirmation,,La(III),344,1.12437,1.91373,1.38338,0.724764,registered: metal state
B2,confirmation,,Np(V),187,1.59955,3.24607,1.80169,1.58976,registered: metal state
B2,confirmation,,Pu(III),118,1.67216,3.58501,1.89341,1.02339,registered: metal state
B2,confirmation,,Pu(VI),107,0.732934,0.757876,0.87056,-0.0378903,registered: metal state
B2,confirmation,,Sm(III),323,0.74203,0.947624,0.97346,0.0288577,registered: metal state
B2,confirmation,,Tm(III),201,1.1011,1.70945,1.30746,-0.48514,registered: metal state
B2,confirmation,,Yb(III),231,1.06854,1.61685,1.27155,-0.488201,registered: metal state
B3,selection,,Ce(III),293,0.570986,0.794779,0.891504,-0.135081,registered: metal state
B3,selection,,Cm(III),135,0.503415,0.669782,0.818402,0.0788902,registered: metal state
B3,selection,,Gd(III),375,0.517084,0.735991,0.857899,0.332337,registered: metal state
B3,selection,,Ho(III),264,0.499647,0.923314,0.960892,0.0130748,registered: metal state
B3,selection,,Lu(III),247,0.477953,0.928808,0.963747,0.143129,registered: metal state
B3,selection,,Nd(III),189,0.629114,0.862603,0.928764,-0.275104,registered: metal state
B3,selection,,Np(IV),216,0.704733,0.820312,0.905711,0.51737,registered: metal state
B3,selection,,Pr(III),166,1.00114,4.28036,2.0689,0.865839,registered: metal state
B3,selection,,Pu(IV),580,1.00992,1.69211,1.30081,-0.599688,registered: metal state
B3,selection,,Tb(III),269,0.525534,0.751375,0.866819,-0.0582919,registered: metal state
B3,selection,,Th(IV),773,1.10137,2.02918,1.42449,-0.0449684,registered: metal state
B3,selection,,U(VI),1036,0.868598,1.48711,1.21947,0.396821,registered: metal state
B3,confirmation,,Am(III),1728,1.09453,2.12083,1.45631,0.144767,registered: metal state
B3,confirmation,,Dy(III),377,0.493657,0.807352,0.898528,0.118606,registered: metal state
B3,confirmation,,Er(III),300,0.435913,0.740365,0.860445,0.103964,registered: metal state
B3,confirmation,,Eu(III),1687,1.08745,2.34727,1.53208,-0.319464,registered: metal state
B3,confirmation,,La(III),344,0.793435,1.56603,1.25141,0.620938,registered: metal state
B3,confirmation,,Np(V),187,1.17083,2.0701,1.43879,0.985024,registered: metal state
B3,confirmation,,Pu(III),118,1.45227,3.17579,1.78208,0.0468341,registered: metal state
B3,confirmation,,Pu(VI),107,0.724094,0.862477,0.928697,0.268211,registered: metal state
B3,confirmation,,Sm(III),323,0.775357,1.37573,1.17292,-0.0794145,registered: metal state
B3,confirmation,,Tm(III),201,0.437012,0.846857,0.920248,0.0939045,registered: metal state
B3,confirmation,,Yb(III),231,0.437664,0.796849,0.892664,0.0619875,registered: metal state
B3x,selection,,Ce(III),293,0.570986,0.794779,0.891504,-0.135081,registered: metal state
B3x,selection,,Cm(III),135,0.503415,0.669782,0.818402,0.0788902,registered: metal state
B3x,selection,,Gd(III),375,0.517084,0.735991,0.857899,0.332337,registered: metal state
B3x,selection,,Ho(III),264,0.499647,0.923314,0.960892,0.0130748,registered: metal state
B3x,selection,,Lu(III),247,0.477953,0.928808,0.963747,0.143129,registered: metal state
B3x,selection,,Nd(III),189,0.629114,0.862603,0.928764,-0.275104,registered: metal state
B3x,selection,,Np(IV),216,0.704733,0.820312,0.905711,0.51737,registered: metal state
B3x,selection,,Pr(III),166,1.00114,4.28036,2.0689,0.865839,registered: metal state
B3x,selection,,Pu(IV),580,1.00992,1.69211,1.30081,-0.599688,registered: metal state
B3x,selection,,Tb(III),269,0.525534,0.751375,0.866819,-0.0582919,registered: metal state
B3x,selection,,Th(IV),773,1.10137,2.02918,1.42449,-0.0449684,registered: metal state
B3x,selection,,U(VI),1036,0.868598,1.48711,1.21947,0.396821,registered: metal state
B3x,confirmation,,Am(III),1728,1.09453,2.12083,1.45631,0.144767,registered: metal state
B3x,confirmation,,Dy(III),377,0.493657,0.807352,0.898528,0.118606,registered: metal state
B3x,confirmation,,Er(III),300,0.435913,0.740365,0.860445,0.103964,registered: metal state
B3x,confirmation,,Eu(III),1687,1.08745,2.34727,1.53208,-0.319464,registered: metal state
B3x,confirmation,,La(III),344,0.793435,1.56603,1.25141,0.620938,registered: metal state
B3x,confirmation,,Np(V),187,1.17083,2.0701,1.43879,0.985024,registered: metal state
B3x,confirmation,,Pu(III),118,1.45227,3.17579,1.78208,0.0468341,registered: metal state
B3x,confirmation,,Pu(VI),107,0.724094,0.862477,0.928697,0.268211,registered: metal state
B3x,confirmation,,Sm(III),323,0.775357,1.37573,1.17292,-0.0794145,registered: metal state
B3x,confirmation,,Tm(III),201,0.437012,0.846857,0.920248,0.0939045,registered: metal state
B3x,confirmation,,Yb(III),231,0.437664,0.796849,0.892664,0.0619875,registered: metal state
B3i,selection,,Ce(III),293,0.44299,0.682949,0.826407,0.078574,registered: metal state
B3i,selection,,Cm(III),135,0.496707,0.583705,0.764006,0.0965199,registered: metal state
B3i,selection,,Gd(III),375,0.402412,0.602639,0.776298,0.219744,registered: metal state
B3i,selection,,Ho(III),264,0.435524,0.777897,0.881985,0.00372787,registered: metal state
B3i,selection,,Lu(III),247,0.491235,0.920725,0.959544,0.111756,registered: metal state
B3i,selection,,Nd(III),189,0.591488,0.795895,0.89213,-0.279312,registered: metal state
B3i,selection,,Np(IV),216,0.523336,0.532836,0.729956,0.259079,registered: metal state
B3i,selection,,Pr(III),166,0.977916,4.27282,2.06708,0.836675,registered: metal state
B3i,selection,,Pu(IV),580,0.9901,1.63033,1.27684,-0.57668,registered: metal state
B3i,selection,,Tb(III),269,0.399599,0.714772,0.845442,0.0782169,registered: metal state
B3i,selection,,Th(IV),773,1.10137,2.02918,1.42449,-0.0449684,registered: metal state
B3i,selection,,U(VI),1036,0.868598,1.48711,1.21947,0.396821,registered: metal state
B3i,confirmation,,Am(III),1728,1.03393,1.89962,1.37827,0.0582633,registered: metal state
B3i,confirmation,,Dy(III),377,0.428692,0.699463,0.836339,0.073452,registered: metal state
B3i,confirmation,,Er(III),300,0.403541,0.695627,0.834042,0.0778023,registered: metal state
B3i,confirmation,,Eu(III),1687,1.07052,2.34275,1.5306,-0.269603,registered: metal state
B3i,confirmation,,La(III),344,0.709916,1.19587,1.09356,0.532637,registered: metal state
B3i,confirmation,,Np(V),187,1.17083,2.0701,1.43879,0.985024,registered: metal state
B3i,confirmation,,Pu(III),118,1.43575,3.04106,1.74386,0.0633555,registered: metal state
B3i,confirmation,,Pu(VI),107,0.724094,0.862477,0.928697,0.268211,registered: metal state
B3i,confirmation,,Sm(III),323,0.527905,0.757163,0.870151,9.83516e-05,registered: metal state
B3i,confirmation,,Tm(III),201,0.424187,0.835752,0.914195,0.105354,registered: metal state
B3i,confirmation,,Yb(III),231,0.415485,0.785726,0.886412,0.0627724,registered: metal state
B3l,selection,,Ce(III),293,1.01726,1.52376,1.23441,0.519705,registered: metal state
B3l,selection,,Cm(III),135,1.1051,1.85862,1.36331,0.139141,registered: metal state
B3l,selection,,Gd(III),375,0.821139,1.11075,1.05392,-0.0808929,registered: metal state
B3l,selection,,Ho(III),264,0.980057,1.41404,1.18913,-0.408898,registered: metal state
B3l,selection,,Lu(III),247,1.10739,1.70956,1.3075,-0.511155,registered: metal state
B3l,selection,,Nd(III),189,0.781003,0.950642,0.975009,-0.107401,registered: metal state
B3l,selection,,Np(IV),216,0.716646,0.956694,0.978107,0.156989,registered: metal state
B3l,selection,,Pr(III),166,1.18555,4.59187,2.14287,0.950081,registered: metal state
B3l,selection,,Pu(IV),580,1.00697,1.51258,1.22987,-0.260182,registered: metal state
B3l,selection,,Tb(III),269,0.892107,1.28426,1.13325,-0.274967,registered: metal state
B3l,selection,,Th(IV),773,1.05245,1.6317,1.27738,-0.00339685,registered: metal state
B3l,selection,,U(VI),1036,1.04376,1.52485,1.23485,-0.444685,registered: metal state
B3l,confirmation,,Am(III),1728,1.13013,2.05987,1.43522,0.0445104,registered: metal state
B3l,confirmation,,Dy(III),377,0.837737,1.09091,1.04446,-0.280003,registered: metal state
B3l,confirmation,,Er(III),300,0.957502,1.3489,1.16142,-0.41199,registered: metal state
B3l,confirmation,,Eu(III),1687,1.08413,1.79398,1.3394,-0.280648,registered: metal state
B3l,confirmation,,La(III),344,1.12437,1.91373,1.38338,0.724764,registered: metal state
B3l,confirmation,,Np(V),187,1.59955,3.24607,1.80169,1.58976,registered: metal state
B3l,confirmation,,Pu(III),118,1.67216,3.58501,1.89341,1.02339,registered: metal state
B3l,confirmation,,Pu(VI),107,0.732934,0.757876,0.87056,-0.0378903,registered: metal state
B3l,confirmation,,Sm(III),323,0.74203,0.947624,0.97346,0.0288577,registered: metal state
B3l,confirmation,,Tm(III),201,1.1011,1.70945,1.30746,-0.48514,registered: metal state
B3l,confirmation,,Yb(III),231,1.06854,1.61685,1.27155,-0.488201,registered: metal state
B4,selection,,Ce(III),293,1.13543,2.08866,1.44522,0.0609106,registered: metal state
B4,selection,,Cm(III),135,1.55957,3.99854,1.99964,-0.0874577,registered: metal state
B4,selection,,Gd(III),375,1.28337,2.67449,1.63539,0.306769,registered: metal state
B4,selection,,Ho(III),264,1.43547,2.97119,1.72371,-0.0866558,registered: metal state
B4,selection,,Lu(III),247,1.42813,3.12154,1.76679,0.166499,registered: metal state
B4,selection,,Nd(III),189,0.91581,1.23199,1.10995,-0.325792,registered: metal state
B4,selection,,Np(IV),216,1.01516,1.62934,1.27646,0.729531,registered: metal state
B4,selection,,Pr(III),166,1.34198,4.9213,2.2184,0.810227,registered: metal state
B4,selection,,Pu(IV),580,0.941735,1.54982,1.24492,-0.26502,registered: metal state
B4,selection,,Tb(III),269,1.21333,2.26696,1.50564,-0.1314,registered: metal state
B4,selection,,Th(IV),773,1.08995,1.94692,1.39532,0.22424,registered: metal state
B4,selection,,U(VI),1036,0.985302,1.73562,1.31743,0.266677,registered: metal state
B4,confirmation,,Am(III),1728,1.55002,3.50025,1.8709,0.312752,registered: metal state
B4,confirmation,,Dy(III),377,1.3039,2.60331,1.61348,-0.10893,registered: metal state
B4,confirmation,,Er(III),300,1.35533,2.75237,1.65903,-0.170158,registered: metal state
B4,confirmation,,Eu(III),1687,1.48464,3.39084,1.84142,-0.304922,registered: metal state
B4,confirmation,,La(III),344,1.26468,2.63387,1.62292,0.741492,registered: metal state
B4,confirmation,,Np(V),187,1.58405,3.37496,1.83711,1.50765,registered: metal state
B4,confirmation,,Pu(III),118,1.49487,3.07605,1.75387,0.662658,registered: metal state
B4,confirmation,,Pu(VI),107,0.881179,1.42152,1.19227,0.435405,registered: metal state
B4,confirmation,,Sm(III),323,1.2713,2.50003,1.58115,-0.0679929,registered: metal state
B4,confirmation,,Tm(III),201,1.37354,2.97724,1.72547,-0.0119742,registered: metal state
B4,confirmation,,Yb(III),231,1.38183,2.80136,1.67373,-0.0341212,registered: metal state
B4x,selection,,Ce(III),293,1.13543,2.08866,1.44522,0.0609106,registered: metal state
B4x,selection,,Cm(III),135,1.55957,3.99854,1.99964,-0.0874577,registered: metal state
B4x,selection,,Gd(III),375,1.28337,2.67449,1.63539,0.306769,registered: metal state
B4x,selection,,Ho(III),264,1.43547,2.97119,1.72371,-0.0866558,registered: metal state
B4x,selection,,Lu(III),247,1.42813,3.12154,1.76679,0.166499,registered: metal state
B4x,selection,,Nd(III),189,0.91581,1.23199,1.10995,-0.325792,registered: metal state
B4x,selection,,Np(IV),216,1.01516,1.62934,1.27646,0.729531,registered: metal state
B4x,selection,,Pr(III),166,1.34198,4.9213,2.2184,0.810227,registered: metal state
B4x,selection,,Pu(IV),580,0.941735,1.54982,1.24492,-0.26502,registered: metal state
B4x,selection,,Tb(III),269,1.21333,2.26696,1.50564,-0.1314,registered: metal state
B4x,selection,,Th(IV),773,1.08995,1.94692,1.39532,0.22424,registered: metal state
B4x,selection,,U(VI),1036,0.985302,1.73562,1.31743,0.266677,registered: metal state
B4x,confirmation,,Am(III),1728,1.55002,3.50025,1.8709,0.312752,registered: metal state
B4x,confirmation,,Dy(III),377,1.3039,2.60331,1.61348,-0.10893,registered: metal state
B4x,confirmation,,Er(III),300,1.35533,2.75237,1.65903,-0.170158,registered: metal state
B4x,confirmation,,Eu(III),1687,1.48464,3.39084,1.84142,-0.304922,registered: metal state
B4x,confirmation,,La(III),344,1.26468,2.63387,1.62292,0.741492,registered: metal state
B4x,confirmation,,Np(V),187,1.58405,3.37496,1.83711,1.50765,registered: metal state
B4x,confirmation,,Pu(III),118,1.49487,3.07605,1.75387,0.662658,registered: metal state
B4x,confirmation,,Pu(VI),107,0.881179,1.42152,1.19227,0.435405,registered: metal state
B4x,confirmation,,Sm(III),323,1.2713,2.50003,1.58115,-0.0679929,registered: metal state
B4x,confirmation,,Tm(III),201,1.37354,2.97724,1.72547,-0.0119742,registered: metal state
B4x,confirmation,,Yb(III),231,1.38183,2.80136,1.67373,-0.0341212,registered: metal state
B4l,selection,,Ce(III),293,1.11152,1.82796,1.35202,0.426709,registered: metal state
B4l,selection,,Cm(III),135,1.34589,2.64819,1.62733,0.153249,registered: metal state
B4l,selection,,Gd(III),375,1.08211,1.73354,1.31664,-0.299708,registered: metal state
B4l,selection,,Ho(III),264,1.25406,2.18808,1.47922,-0.609212,registered: metal state
B4l,selection,,Lu(III),247,1.24833,2.20132,1.48369,-0.525395,registered: metal state
B4l,selection,,Nd(III),189,0.927409,1.26094,1.12292,-0.438636,registered: metal state
B4l,selection,,Np(IV),216,0.78233,1.16784,1.08067,0.40503,registered: metal state
B4l,selection,,Pr(III),166,1.36582,4.94917,2.22467,0.794808,registered: metal state
B4l,selection,,Pu(IV),580,1.0011,1.56757,1.25203,-0.154785,registered: metal state
B4l,selection,,Tb(III),269,1.13602,1.88785,1.37399,-0.325727,registered: metal state
B4l,selection,,Th(IV),773,0.944348,1.37643,1.17322,0.217261,registered: metal state
B4l,selection,,U(VI),1036,1.09625,1.66926,1.292,-0.410627,registered: metal state
B4l,confirmation,,Am(III),1728,1.44238,3.06418,1.75048,0.175405,registered: metal state
B4l,confirmation,,Dy(III),377,1.1296,1.82585,1.35124,-0.564284,registered: metal state
B4l,confirmation,,Er(III),300,1.22822,2.11757,1.45519,-0.656493,registered: metal state
B4l,confirmation,,Eu(III),1687,1.32022,2.52812,1.59001,-0.270871,registered: metal state
B4l,confirmation,,La(III),344,1.19386,2.10981,1.45252,0.615723,registered: metal state
B4l,confirmation,,Np(V),187,1.85645,4.24529,2.06041,1.84725,registered: metal state
B4l,confirmation,,Pu(III),118,1.52599,2.9089,1.70555,1.27838,registered: metal state
B4l,confirmation,,Pu(VI),107,0.741768,0.804627,0.89701,0.103784,registered: metal state
B4l,confirmation,,Sm(III),323,1.01196,1.60681,1.2676,-0.210144,registered: metal state
B4l,confirmation,,Tm(III),201,1.29397,2.31794,1.52248,-0.531279,registered: metal state
B4l,confirmation,,Yb(III),231,1.27089,2.25453,1.50151,-0.539755,registered: metal state
B7,selection,,Ce(III),293,0.558123,0.55995,0.748298,-0.235249,registered: metal state
B7,selection,,Cm(III),135,0.911479,1.47696,1.2153,0.21035,registered: metal state
B7,selection,,Gd(III),375,0.555629,0.629784,0.793589,0.218794,registered: metal state
B7,selection,,Ho(III),264,0.506885,0.565436,0.751955,-0.0504663,registered: metal state
B7,selection,,Lu(III),247,0.551598,0.6486,0.805357,-0.000453624,registered: metal state
B7,selection,,Nd(III),189,0.600419,0.802304,0.895714,-0.281218,registered: metal state
B7,selection,,Np(IV),216,0.67425,0.682114,0.825902,0.516151,registered: metal state
B7,selection,,Pr(III),166,1.00242,4.27728,2.06816,0.870379,registered: metal state
B7,selection,,Pu(IV),580,1.08341,1.84866,1.35965,-0.653996,registered: metal state
B7,selection,,Tb(III),269,0.605737,0.68559,0.828004,-0.206992,registered: metal state
B7,selection,,Th(IV),773,1.28186,2.2621,1.50403,-0.592242,registered: metal state
B7,selection,,U(VI),1036,0.839312,1.39057,1.17923,0.207748,registered: metal state
B7,confirmation,,Am(III),1728,1.16208,3.28521,1.81251,0.186137,registered: metal state
B7,confirmation,,Dy(III),377,0.489415,0.502601,0.708944,0.0607173,registered: metal state
B7,confirmation,,Er(III),300,0.508529,0.548497,0.740606,0.0482596,registered: metal state
B7,confirmation,,Eu(III),1687,1.18723,2.66617,1.63284,-0.507779,registered: metal state
B7,confirmation,,La(III),344,0.595522,0.73749,0.858772,0.244988,registered: metal state
B7,confirmation,,Np(V),187,0.937708,1.42182,1.1924,0.839174,registered: metal state
B7,confirmation,,Pu(III),118,1.21429,2.08478,1.44388,0.0802722,registered: metal state
B7,confirmation,,Pu(VI),107,0.676693,0.640595,0.800372,0.328862,registered: metal state
B7,confirmation,,Sm(III),323,0.732066,1.35448,1.16382,0.114213,registered: metal state
B7,confirmation,,Tm(III),201,0.571319,0.694422,0.83332,-0.0130519,registered: metal state
B7,confirmation,,Yb(III),231,0.528176,0.607323,0.779309,-0.0227377,registered: metal state
