arm,half,seed,g19_metal_state,extractant_system_key,n_rows,mae,mse,rmse,mean_error,coverage_50,width_50,coverage_80,width_80,coverage_95,width_95,unit_reading
B0,selection,,Am(III),CN(C(=O)COCC(=O)N(C)c1ccccc1)c1ccccc1,14,1.12511,2.03181,1.42542,1.03983,0.571429,2.35991,0.785714,4.38836,1,6.30721,registered: hidden cell
B0,selection,,Ba(II),CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,22,1.89708,4.41054,2.10013,1.89708,0.227273,2.27733,0.772727,4.45218,0.863636,6.14158,registered: hidden cell
B0,selection,,Ce(III),CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,21,0.450777,0.400266,0.632666,-0.160142,0.857143,2.20695,1,4.2348,1,6.10778,registered: hidden cell
B0,selection,,Ce(III),CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,99,0.976317,1.36981,1.17039,0.253442,0.606061,2.31518,0.959596,4.31622,1,6.03177,registered: hidden cell
B0,selection,,Ce(III),CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,15,3.9155,15.6324,3.95378,3.9155,0,2.01689,0,3.97064,0.0666667,5.65782,registered: hidden cell
B0,selection,,Ce(III),CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,10,1.1,2.57856,1.60579,0.76337,0.7,1.93495,0.8,4.018,0.9,5.71117,registered: hidden cell
B0,selection,,Cm(III),CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,10,0.760138,0.816469,0.903587,-0.149124,0.7,2.31733,1,4.48465,1,6.15176,registered: hidden cell
B0,selection,,Cm(III),CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,77,1.22562,2.04446,1.42985,-0.14776,0.415584,2.27429,0.883117,4.23209,1,6.1337,registered: hidden cell
B0,selection,,Dy(III),CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,60,1.17068,1.93358,1.39053,-1.13836,0.45,2.31116,0.933333,4.49204,1,6.16125,registered: hidden cell
B0,selection,,Dy(III),CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,22,2.22269,5.65754,2.37856,-2.22269,0.0909091,2.18075,0.363636,4.18948,0.909091,6.08962,registered: hidden cell
B0,selection,,Dy(III),CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,85,1.29248,2.23164,1.49387,-0.842292,0.423529,2.19821,0.870588,4.39321,1,6.29575,registered: hidden cell
B0,selection,,Dy(III),CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,16,2.57359,7.52816,2.74375,2.57359,0.0625,2.00811,0.25,3.92263,0.5625,5.63002,registered: hidden cell
B0,selection,,Dy(III),CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,10,1.15255,2.71701,1.64833,0.592968,0.7,1.94757,0.8,4.05432,0.9,5.76064,registered: hidden cell
B0,selection,,Er(III),CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,15,1.40734,2.4831,1.57579,-1.40734,0.4,2.35304,0.866667,4.50033,1,6.15311,registered: hidden cell
B0,selection,,Er(III),CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,20,2.51333,7.14384,2.6728,-2.51333,0.1,2.18011,0.25,4.19012,0.6,5.92401,registered: hidden cell
B0,selection,,Er(III),CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,77,1.34445,2.42071,1.55586,-0.982869,0.428571,2.38441,0.883117,4.44626,1,6.37978,registered: hidden cell
B0,selection,,Er(III),CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,16,2.20686,5.73931,2.39569,2.20686,0.125,1.99661,0.4375,3.89605,0.6875,5.66321,registered: hidden cell
B0,selection,,Er(III),CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,10,1.24319,2.66322,1.63194,0.321952,0.5,1.95256,0.8,4.07392,0.9,5.77563,registered: hidden cell
B0,selection,,Eu(III),CCCCCCCC(=O)N(CCCCCC)CCCCCC|CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,14,1.87498,3.59169,1.89518,-1.43624,0,1.90053,0.5,3.90461,1,5.50895,registered: hidden cell
B0,selection,,Eu(III),CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,22,1.65115,3.39988,1.84388,-1.65115,0.227273,2.19843,0.681818,4.21168,0.954545,6.01696,registered: hidden cell
B0,selection,,Eu(III),CCCCCCCCN(CCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCC)CCCCCCCC,20,1.6688,4.13575,2.03365,1.05582,0.4,2.36095,0.7,4.4937,0.8,6.14629,registered: hidden cell
B0,selection,,Eu(III),CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,13,1.18453,1.89978,1.37832,0.96385,0.384615,2.53677,1,4.47035,1,6.19859,registered: hidden cell
B0,selection,,Eu(III),CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,408,1.52046,3.07901,1.75471,-1.01964,0.29902,1.90053,0.625,3.90461,0.928922,5.50895,registered: hidden cell
B0,selection,,Eu(III),CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCOc1cc(OCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)cc(OCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1,16,1.52235,2.73289,1.65315,-1.07356,0.125,1.94724,0.75,4.06831,1,5.77736,registered: hidden cell
B0,selection,,Eu(III),CCCCCCCCN(CCCCCCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCCCCCC)CCCCCCCC)nc3c2n1,13,3.31323,11.8102,3.4366,3.31323,0,2.30916,0.153846,4.28323,0.384615,6.12058,registered: hidden cell
B0,selection,,Eu(III),CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,157,2.33854,6.42491,2.53474,2.32864,0.0318471,2.2394,0.605096,4.33795,0.834395,5.8342,registered: hidden cell
B0,selection,,Eu(III),CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,10,1.01951,2.39911,1.54891,0.715257,0.7,1.94939,0.8,4.06516,0.9,5.77626,registered: hidden cell
B0,selection,,Gd(III),CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,15,1.06695,1.66229,1.2893,-0.951689,0.533333,2.35266,0.933333,4.50427,1,6.152,registered: hidden cell
B0,selection,,Gd(III),CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,22,1.73847,3.65599,1.91206,-1.73847,0.227273,2.19606,0.681818,4.18549,0.909091,5.92251,registered: hidden cell
B0,selection,,Gd(III),CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,120,1.18405,1.99173,1.41129,-0.492757,0.491667,2.19264,0.9,4.35646,0.966667,6.23183,registered: hidden cell
B0,selection,,Gd(III),CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,16,3.24099,11.4178,3.37902,3.24099,0,2.00036,0.125,3.93192,0.25,5.7301,registered: hidden cell
B0,selection,,Gd(III),CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,10,1.04082,2.92993,1.7117,0.913008,0.7,1.94907,0.8,4.06484,0.9,5.77658,registered: hidden cell
B0,selection,,Ho(III),CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,21,2.58293,7.17119,2.67791,-2.58293,0.0952381,2.19147,0.190476,4.17552,0.761905,5.89487,registered: hidden cell
B0,selection,,Ho(III),CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,82,1.33886,2.38496,1.54433,-0.949631,0.426829,2.36203,0.878049,4.40591,1,6.3551,registered: hidden cell
B0,selection,,Ho(III),CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,16,2.3541,6.4268,2.53511,2.3541,0.125,2.00649,0.25,3.93422,0.6875,5.77052,registered: hidden cell
B0,selection,,Ho(III),CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,10,1.20152,2.66697,1.63309,0.455851,0.5,1.94981,0.8,4.06558,0.9,5.77588,registered: hidden cell
B0,selection,,La(III),CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,22,0.465179,0.376332,0.613459,0.103645,0.909091,2.20809,1,4.17885,1,5.88566,registered: hidden cell
B0,selection,,La(III),CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,88,1.13948,1.76316,1.32784,0.766606,0.522727,2.15383,0.920455,4.28287,1,6.23685,registered: hidden cell
B0,selection,,La(III),CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,16,4.2755,18.3865,4.28795,4.2755,0,2.01497,0,3.94764,0,5.70132,registered: hidden cell
B0,selection,,La(III),CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,10,1.12133,2.50565,1.58292,0.828507,0.6,1.93534,0.8,4.01594,0.9,5.68415,registered: hidden cell
B0,selection,,Lu(III),CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,22,2.67621,7.94894,2.81939,-2.67621,0.0909091,2.16954,0.227273,4.14271,0.409091,5.75155,registered: hidden cell
B0,selection,,Lu(III),CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,90,1.40358,2.66504,1.63249,-1.06655,0.455556,2.32652,0.811111,4.3811,1,6.35133,registered: hidden cell
B0,selection,,Lu(III),CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,16,2.15858,5.48544,2.3421,2.15858,0.125,2.04036,0.4375,3.99862,0.8125,5.79786,registered: hidden cell
B0,selection,,Lu(III),CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,10,1.329,2.83184,1.68281,0.217112,0.4,1.93056,0.8,3.9999,0.9,5.66696,registered: hidden cell
B0,selection,,Nd(III),CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,12,1.28179,2.45324,1.56628,-0.0693922,0.416667,2.53195,0.916667,4.44553,1,6.15514,registered: hidden cell
B0,selection,,Nd(III),CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,14,0.589261,0.466035,0.682668,-0.406157,0.928571,2.37383,1,4.5071,1,6.1511,registered: hidden cell
B0,selection,,Np(IV),CC(C)CN(CC(C)C)C(=O)COCC(=O)N(CC(C)C)CC(C)C,22,0.4841,0.582623,0.763297,0.190524,0.818182,1.98888,0.954545,4.10638,1,5.89051,registered: hidden cell
B0,selection,,Np(IV),CCCCCCCC(=O)N(CCCCCC)CCCCCC,38,0.858896,1.17469,1.08383,0.148137,0.710526,2.43045,0.973684,4.34334,1,6.14111,registered: hidden cell
B0,selection,,Np(IV),CCCCN(CCCC)C(=O)CCC,11,1.0585,1.84619,1.35874,-0.191299,0.545455,2.36003,0.909091,4.5063,1,6.15052,registered: hidden cell
B0,selection,,Np(V),CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,21,1.33779,2.07325,1.43988,1.33779,0.428571,2.31543,0.904762,4.37077,1,6.37194,registered: hidden cell
B0,selection,,Np(V),CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,19,1.68595,3.36752,1.83508,1.68595,0.315789,2.3204,0.631579,4.3575,1,6.37257,registered: hidden cell
B0,selection,,Np(V),CN(C(=O)COCC(=O)N(C)c1ccccc1)c1ccccc1,10,1.5938,2.83274,1.68308,1.5938,0.3,2.3174,0.8,4.34773,1,6.3282,registered: hidden cell
B0,selection,,Np(VI),CCCCCCCC(=O)N(CCCCCC)CCCCCC,15,1.02486,1.24869,1.11745,-0.135343,0.6,2.20742,1,4.24217,1,5.97887,registered: hidden cell
B0,selection,,Pu(III),CCCCC(CC)CN(CC(CC)CCCC)C(=O)C(C)(C)C,20,1.87104,3.64706,1.90973,1.87104,0,2.38141,0.8,4.32258,1,6.136,registered: hidden cell
B0,selection,,Pu(III),CCCCCCCC(=O)N(CCCCCC)CCCCCC,27,1.74731,3.66201,1.91364,1.70792,0.222222,2.38966,0.518519,4.29495,0.962963,6.1346,registered: hidden cell
B0,selection,,Pu(IV),CC(C)CN(CC(C)C)C(=O)COCC(=O)N(CC(C)C)CC(C)C,10,0.433863,0.245338,0.495316,-0.344505,1,1.98851,1,4.0993,1,5.89169,registered: hidden cell
B0,selection,,Pu(IV),CCCCC(CC)CN(CC(CC)CCCC)C(=O)C(C)(C)C,13,1.24436,2.13512,1.46121,1.24436,0.769231,2.41632,0.846154,4.29979,0.923077,6.13942,registered: hidden cell
B0,selection,,Pu(IV),CCCCCCCC(=O)N(CCCCCC)CCCCCC,90,0.994576,1.28626,1.13414,-0.558943,0.511111,2.18675,0.977778,4.30089,1,5.70799,registered: hidden cell
B0,selection,,Pu(IV),CCCCCCCC(=O)N(CCCCCC)CCCCCC|CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,14,1.61048,2.86272,1.69196,-1.48053,0.142857,2.38145,1,4.40076,1,6.1246,registered: hidden cell
B0,selection,,Pu(IV),CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,14,2.40331,7.14701,2.67339,-2.40331,0.142857,2.3463,0.5,4.50309,0.642857,6.15932,registered: hidden cell
B0,selection,,Pu(IV),CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,22,0.992745,1.41923,1.19131,-0.530152,0.590909,2.17374,1,4.28886,1,5.86966,registered: hidden cell
B0,selection,,Pu(VI),CCCCCCCC(=O)N(CCCCCC)CCCCCC,16,0.78542,0.768879,0.876857,-0.0729515,0.75,2.20731,1,4.24575,1,5.97177,registered: hidden cell
B0,selection,,Pu(VI),CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,11,1.17844,1.65394,1.28606,-0.67353,0.636364,2.17268,1,4.13547,1,5.8466,registered: hidden cell
B0,selection,,Sm(III),CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,15,0.973924,1.47261,1.21351,-0.868647,0.666667,2.37265,0.933333,4.50452,1,6.18753,registered: hidden cell
B0,selection,,Sm(III),CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,22,1.53743,3.22322,1.79533,-1.52034,0.181818,2.15128,0.818182,4.1539,0.909091,5.97272,registered: hidden cell
B0,selection,,Sm(III),CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,70,1.0322,1.56088,1.24935,-0.132394,0.671429,2.3825,0.957143,4.37952,1,6.14983,registered: hidden cell
B0,selection,,Sm(III),CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,16,3.31675,12.0199,3.46697,3.31675,0,2.03232,0.125,4.02578,0.3125,5.7887,registered: hidden cell
B0,selection,,Sm(III),CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,10,1.01391,2.325,1.5248,0.671788,0.7,1.9311,0.8,3.95765,0.9,5.61554,registered: hidden cell
B0,selection,,Sr(II),CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,17,1.19269,2.07388,1.4401,0.840317,0.529412,2.34227,0.823529,4.4917,1,6.19692,registered: hidden cell
B0,selection,,Sr(II),CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,60,1.19916,1.95646,1.39874,0.769972,0.483333,2.34662,0.916667,4.48146,1,6.18416,registered: hidden cell
B0,selection,,Tb(III),CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,21,2.07077,4.75681,2.18101,-2.07077,0.0952381,2.15181,0.571429,4.15442,0.904762,5.97219,registered: hidden cell
B0,selection,,Tb(III),CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,87,1.30681,2.39052,1.54613,-0.7495,0.413793,2.04083,0.850575,4.16233,0.965517,6.20266,registered: hidden cell
B0,selection,,Tb(III),CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,16,2.76301,8.47183,2.91064,2.76301,0.0625,2.02501,0.1875,4.02722,0.5625,5.79629,registered: hidden cell
B0,selection,,Tb(III),CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,10,1.09233,2.67967,1.63697,0.718495,0.7,1.93102,0.8,3.95757,0.8,5.61561,registered: hidden cell
B0,selection,,Th(IV),CC(C)CN(CC(C)C)C(=O)COCC(=O)N(CC(C)C)CC(C)C,20,0.572945,0.542841,0.736777,0.505413,0.8,1.98791,1,4.05365,1,5.88949,registered: hidden cell
B0,selection,,Th(IV),CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,32,0.920149,1.1902,1.09096,0.111631,0.59375,2.26724,1,4.32906,1,6.24354,registered: hidden cell
B0,selection,,Th(IV),CCCCCCCC(=O)N(CCCCCC)CCCCCC,21,1.48138,2.98388,1.72739,1.46903,0.380952,2.21829,0.666667,4.30281,0.904762,6.11261,registered: hidden cell
B0,selection,,Th(IV),CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,46,0.977849,1.36587,1.16871,-0.0778074,0.630435,2.27286,1,4.34138,1,6.30619,registered: hidden cell
B0,selection,,Th(IV),CCCCN(CCCC)C(=O)CCC,11,1.38088,2.58838,1.60885,1.08881,0.545455,2.3878,0.818182,4.4998,1,6.14474,registered: hidden cell
B0,selection,,Th(IV),CN(C(=O)COCC(=O)N(C)c1ccccc1)c1ccccc1,15,0.951261,1.51417,1.23052,0.848395,0.666667,2.26894,0.866667,4.33608,1,6.30691,registered: hidden cell
B0,selection,,Tm(III),CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,19,2.67931,7.80662,2.79403,-2.67931,0.105263,2.38633,0.210526,4.23043,0.789474,6.12877,registered: hidden cell
B0,selection,,Tm(III),CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,76,1.37588,2.53693,1.59278,-1.01571,0.421053,2.26178,0.881579,4.33264,1,6.29237,registered: hidden cell
B0,selection,,Tm(III),CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,10,1.279,2.83212,1.68289,0.308924,0.4,1.93211,0.8,3.96616,0.9,5.62897,registered: hidden cell
B0,selection,,U(VI),CCCCC(CC)CN(CC(CC)CCCC)C(=O)C(C)(C)C,44,0.690167,0.983891,0.991913,0.344675,0.772727,2.27358,0.931818,4.216,0.977273,6.11509,registered: hidden cell
B0,selection,,U(VI),CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,27,0.758638,1.02857,1.01418,0.723201,0.703704,2.25061,0.925926,4.32166,1,6.30885,registered: hidden cell
B0,selection,,U(VI),CCCCCCCC(=O)N(CCCCCC)CCCCCC,198,0.454671,0.286364,0.53513,-0.378864,1,2.38791,1,4.1417,1,5.62493,registered: hidden cell
B0,selection,,U(VI),CCCCCCCC(=O)N(CCCCCC)CCCCCC|CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,14,0.888458,1.01126,1.00561,-0.329472,0.785714,2.43885,1,4.31392,1,6.09916,registered: hidden cell
B0,selection,,U(VI),CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,48,0.959396,1.61252,1.26985,0.629693,0.625,1.9407,0.833333,3.94619,1,5.77796,registered: hidden cell
B0,selection,,U(VI),CCCCN(CCCC)C(=O)CCC,13,0.783042,0.910701,0.954307,-0.491459,0.692308,2.15017,1,4.38816,1,6.11014,registered: hidden cell
B0,selection,,U(VI),CN(C(=O)COCC(=O)N(C)c1ccccc1)c1ccccc1,10,1.46822,2.70652,1.64515,1.46822,0.4,2.21464,0.8,4.29425,1,6.24509,registered: hidden cell
B0,selection,,Yb(III),CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,15,1.77863,3.67374,1.9167,-1.77863,0.333333,2.63007,0.733333,4.68238,1,6.36297,registered: hidden cell
B0,selection,,Yb(III),CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,21,2.73467,8.04837,2.83696,-2.73467,0.0952381,2.3654,0.190476,4.2576,0.666667,6.13345,registered: hidden cell
B0,selection,,Yb(III),CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,69,1.3661,2.52699,1.58965,-1.00797,0.449275,2.39721,0.797101,4.28299,0.985507,6.13977,registered: hidden cell
B0,selection,,Yb(III),CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,16,2.1378,5.42595,2.32937,2.1378,0.1875,2.14359,0.4375,4.15478,0.8125,5.93337,registered: hidden cell
B0,selection,,Yb(III),CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,10,1.30187,2.88399,1.69823,0.285817,0.4,1.90754,0.8,3.94518,0.9,5.62893,registered: hidden cell
B0,confirmation,,Am(III),CCCCC(CC)CN(CC(CC)CCCC)C(=O)CCC,15,2.61004,6.87023,2.62111,2.61004,0,2.2666,0,4.19457,0.866667,5.73774,registered: hidden cell
B0,confirmation,,Am(III),CCCCCCCCCCCCN(C)C(=O)C1CC(OC)CC(C(=O)N(C)CCCCCCCCCCCC)O1,33,1.2383,2.11293,1.45359,-1.07819,0.393939,2.27277,0.878788,4.18246,1,5.74545,registered: hidden cell
B0,confirmation,,Am(III),CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,30,1.00567,1.56397,1.25059,0.193718,0.633333,2.35849,0.9,4.40582,1,6.30932,registered: hidden cell
B0,confirmation,,Am(III),CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCC)CCCCCCCCCC,34,1.08574,1.65864,1.28788,0.347006,0.647059,2.35988,0.941176,4.40721,1,6.3107,registered: hidden cell
B0,confirmation,,Am(III),CCCCCCCCN(C)C(=O)C(CCCCCC)(OCC)C(=O)N(C)CCCCCCCC|CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,17,1.33659,2.03618,1.42695,-0.097971,0.176471,2.02766,0.941176,3.93571,1,5.47152,registered: hidden cell
B0,confirmation,,Am(III),CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC|CCCCOP(=O)(OCCCC)OCCCC,33,1.89939,4.75406,2.18038,-1.2897,0.30303,2.0266,0.363636,3.93579,0.666667,5.47258,registered: hidden cell
B0,confirmation,,Am(III),CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCNC(=O)c1cc(C(=O)NCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)cc(C(=O)NCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1,50,0.753274,0.856844,0.925659,-0.219007,0.66,1.94484,0.96,4.00605,1,5.70746,registered: hidden cell
