quantity,source_file,experiment,cohort,seeds,aggregation,n_units,recomputed,reported,reported_from,abs_delta,verdict,note
GEN9_SHAPE_RECOMPOSED + SLOPE_L_s1_K3 at k=5,runs/gen10_final/final_locked/kshot_detail.parquet,gen10 rerun vs gen9's own frontier table,99-extractant common cohort,5 split seeds x 12 repeats,mean over extractants,99,0.4714168201788862,0.4714168201788862,runs/gen9_shape/frontier/table_b_common_cohort.csv,0.0,PASS,
"extractant slope_pred (median), baseline",runs/gen9_shape/shape/curve_shape.parquet,gen9 shape analysis,775 curve x seed evaluations of 155 curves / 25 extractants,5 split seeds,median over curve x seed,775,0.11642844967037402,0.116428449670374,runs/gen9_shape/shape/shape_by_axis.csv,2.7755575615628914e-17,PASS,
"extractant span_recovery (median), baseline",runs/gen9_shape/shape/curve_shape.parquet,gen9 shape analysis,775 curve x seed evaluations of 155 curves / 25 extractants,5 split seeds,median over curve x seed,775,0.05071765852937553,0.0507176585293755,runs/gen9_shape/shape/shape_by_axis.csv,2.7755575615628914e-17,PASS,
"extractant shape_mae (mean), baseline",runs/gen9_shape/shape/curve_shape.parquet,gen9 shape analysis,775 curve x seed evaluations of 155 curves / 25 extractants,5 split seeds,mean over curve x seed,775,0.6648148953790014,0.6648148953790014,runs/gen9_shape/shape/shape_by_axis.csv,0.0,PASS,
"extractant spearman (mean), baseline",runs/gen9_shape/shape/curve_shape.parquet,gen9 shape analysis,775 curve x seed evaluations of 155 curves / 25 extractants,5 split seeds,mean over curve x seed,775,0.5823711919570708,0.5823711919570708,runs/gen9_shape/shape/shape_by_axis.csv,0.0,PASS,
"extractant slope_pred (median), + relative position",runs/gen9_shape/shape/curve_shape.parquet,gen9 shape analysis,775 curve x seed evaluations of 155 curves / 25 extractants,5 split seeds,median over curve x seed,775,0.5210451780818858,0.5210451780818858,runs/gen9_shape/shape/shape_by_axis.csv,0.0,PASS,
"extractant span_recovery (median), + relative position",runs/gen9_shape/shape/curve_shape.parquet,gen9 shape analysis,775 curve x seed evaluations of 155 curves / 25 extractants,5 split seeds,median over curve x seed,775,0.20953012760778428,0.2095301276077842,runs/gen9_shape/shape/shape_by_axis.csv,8.326672684688674e-17,PASS,
"extractant shape_mae (mean), + relative position",runs/gen9_shape/shape/curve_shape.parquet,gen9 shape analysis,775 curve x seed evaluations of 155 curves / 25 extractants,5 split seeds,mean over curve x seed,775,0.5671798109102415,0.5671798109102415,runs/gen9_shape/shape/shape_by_axis.csv,0.0,PASS,
"extractant spearman (mean), + relative position",runs/gen9_shape/shape/curve_shape.parquet,gen9 shape analysis,775 curve x seed evaluations of 155 curves / 25 extractants,5 split seeds,mean over curve x seed,775,0.8402100686058442,0.8402100686058442,runs/gen9_shape/shape/shape_by_axis.csv,0.0,PASS,
"extractant slope_pred (median), + recomposition",runs/gen9_shape/shape/curve_shape.parquet,gen9 shape analysis,775 curve x seed evaluations of 155 curves / 25 extractants,5 split seeds,median over curve x seed,775,1.0240136832686502,1.0240136832686502,runs/gen9_shape/shape/shape_by_axis.csv,0.0,PASS,
"extractant span_recovery (median), + recomposition",runs/gen9_shape/shape/curve_shape.parquet,gen9 shape analysis,775 curve x seed evaluations of 155 curves / 25 extractants,5 split seeds,median over curve x seed,775,0.4232912084165291,0.4232912084165291,runs/gen9_shape/shape/shape_by_axis.csv,0.0,PASS,
"extractant shape_mae (mean), + recomposition",runs/gen9_shape/shape/curve_shape.parquet,gen9 shape analysis,775 curve x seed evaluations of 155 curves / 25 extractants,5 split seeds,mean over curve x seed,775,0.469194113387331,0.469194113387331,runs/gen9_shape/shape/shape_by_axis.csv,0.0,PASS,
"extractant spearman (mean), + recomposition",runs/gen9_shape/shape/curve_shape.parquet,gen9 shape analysis,775 curve x seed evaluations of 155 curves / 25 extractants,5 split seeds,mean over curve x seed,775,0.8856282679685347,0.8856282679685347,runs/gen9_shape/shape/shape_by_axis.csv,0.0,PASS,
extractant measured slope (median),runs/gen9_shape/shape/curve_shape.parquet,gen9 shape analysis,775 curve x seed evaluations,5 split seeds,median,775,2.573675226299942,2.573675226299942,runs/gen9_shape/shape/shape_by_axis.csv,0.0,PASS,
"oracle cascade, current",runs/gen9_shape/recomposed/oof_all.parquet,gen10 Phase 10,152 extractants,5 split seeds,one vote per ECFP cluster (131),131,0.9694845437352134,0.9694845437352134,runs/gen10_final/error_decomposition/summary.json,0.0,PASS,
"oracle cascade, after_ligand_level_oracle",runs/gen9_shape/recomposed/oof_all.parquet,gen10 Phase 10,152 extractants,5 split seeds,one vote per ECFP cluster (131),131,0.44947602078357235,0.44947602078357235,runs/gen10_final/error_decomposition/summary.json,0.0,PASS,
"oracle cascade, after_series_level_oracle",runs/gen9_shape/recomposed/oof_all.parquet,gen10 Phase 10,152 extractants,5 split seeds,one vote per ECFP cluster (131),131,0.3928120575777729,0.3928120575777729,runs/gen10_final/error_decomposition/summary.json,0.0,PASS,
"oracle cascade, after_curve_level_oracle",runs/gen9_shape/recomposed/oof_all.parquet,gen10 Phase 10,152 extractants,5 split seeds,one vote per ECFP cluster (131),131,0.3860053586260319,0.3860053586260319,runs/gen10_final/error_decomposition/summary.json,0.0,PASS,
"oracle cascade, after_curve_level_and_slope_oracle",runs/gen9_shape/recomposed/oof_all.parquet,gen10 Phase 10,152 extractants,5 split seeds,one vote per ECFP cluster (131),131,0.19405899438380983,0.19405899438380983,runs/gen10_final/error_decomposition/summary.json,0.0,PASS,
first_point (near tercile),runs/gen10_final/final_locked/kshot_detail.parquet,gen10 Phase 9 budget simulation,99-extractant common cohort,5 split seeds x 12 repeats,mean over extractants within the tercile,99,0.23484960491891446,0.2348496049189145,runs/gen10_final/budget_simulation/marginal_gains.csv,2.7755575615628914e-17,PASS,
second_point (near tercile),runs/gen10_final/final_locked/kshot_detail.parquet,gen10 Phase 9 budget simulation,99-extractant common cohort,5 split seeds x 12 repeats,mean over extractants within the tercile,99,0.08283506868367572,0.0828350686836757,runs/gen10_final/budget_simulation/marginal_gains.csv,2.7755575615628914e-17,PASS,
third_point (near tercile),runs/gen10_final/final_locked/kshot_detail.parquet,gen10 Phase 9 budget simulation,99-extractant common cohort,5 split seeds x 12 repeats,mean over extractants within the tercile,99,0.05495345991256544,0.0549534599125654,runs/gen10_final/budget_simulation/marginal_gains.csv,4.163336342344337e-17,PASS,
fourth_and_fifth_each (near tercile),runs/gen10_final/final_locked/kshot_detail.parquet,gen10 Phase 9 budget simulation,99-extractant common cohort,5 split seeds x 12 repeats,mean over extractants within the tercile,99,0.019537814433088125,0.0195378144330881,runs/gen10_final/budget_simulation/marginal_gains.csv,2.42861286636753e-17,PASS,
m0 (near tercile),runs/gen10_final/final_locked/kshot_detail.parquet,gen10 Phase 9 budget simulation,99-extractant common cohort,5 split seeds x 12 repeats,mean over extractants within the tercile,99,0.8999307916130156,0.8999307916130156,runs/gen10_final/budget_simulation/marginal_gains.csv,0.0,PASS,
first_point (mid tercile),runs/gen10_final/final_locked/kshot_detail.parquet,gen10 Phase 9 budget simulation,99-extractant common cohort,5 split seeds x 12 repeats,mean over extractants within the tercile,99,0.4484915347838809,0.4484915347838809,runs/gen10_final/budget_simulation/marginal_gains.csv,0.0,PASS,
second_point (mid tercile),runs/gen10_final/final_locked/kshot_detail.parquet,gen10 Phase 9 budget simulation,99-extractant common cohort,5 split seeds x 12 repeats,mean over extractants within the tercile,99,0.0878471079747102,0.0878471079747102,runs/gen10_final/budget_simulation/marginal_gains.csv,0.0,PASS,
third_point (mid tercile),runs/gen10_final/final_locked/kshot_detail.parquet,gen10 Phase 9 budget simulation,99-extractant common cohort,5 split seeds x 12 repeats,mean over extractants within the tercile,99,0.050827437152390485,0.0508274371523904,runs/gen10_final/budget_simulation/marginal_gains.csv,8.326672684688674e-17,PASS,
fourth_and_fifth_each (mid tercile),runs/gen10_final/final_locked/kshot_detail.parquet,gen10 Phase 9 budget simulation,99-extractant common cohort,5 split seeds x 12 repeats,mean over extractants within the tercile,99,0.012686867189595124,0.0126868671895951,runs/gen10_final/budget_simulation/marginal_gains.csv,2.42861286636753e-17,PASS,
m0 (mid tercile),runs/gen10_final/final_locked/kshot_detail.parquet,gen10 Phase 9 budget simulation,99-extractant common cohort,5 split seeds x 12 repeats,mean over extractants within the tercile,99,0.9622084527997865,0.9622084527997864,runs/gen10_final/budget_simulation/marginal_gains.csv,1.1102230246251565e-16,PASS,
first_point (far tercile),runs/gen10_final/final_locked/kshot_detail.parquet,gen10 Phase 9 budget simulation,99-extractant common cohort,5 split seeds x 12 repeats,mean over extractants within the tercile,99,0.49480866123557044,0.4948086612355704,runs/gen10_final/budget_simulation/marginal_gains.csv,5.551115123125783e-17,PASS,
second_point (far tercile),runs/gen10_final/final_locked/kshot_detail.parquet,gen10 Phase 9 budget simulation,99-extractant common cohort,5 split seeds x 12 repeats,mean over extractants within the tercile,99,0.06344671973693014,0.0634467197369301,runs/gen10_final/budget_simulation/marginal_gains.csv,4.163336342344337e-17,PASS,
third_point (far tercile),runs/gen10_final/final_locked/kshot_detail.parquet,gen10 Phase 9 budget simulation,99-extractant common cohort,5 split seeds x 12 repeats,mean over extractants within the tercile,99,0.08366807309616982,0.0836680730961698,runs/gen10_final/budget_simulation/marginal_gains.csv,1.3877787807814457e-17,PASS,
fourth_and_fifth_each (far tercile),runs/gen10_final/final_locked/kshot_detail.parquet,gen10 Phase 9 budget simulation,99-extractant common cohort,5 split seeds x 12 repeats,mean over extractants within the tercile,99,0.028699511644763726,0.0286995116447637,runs/gen10_final/budget_simulation/marginal_gains.csv,2.42861286636753e-17,PASS,
m0 (far tercile),runs/gen10_final/final_locked/kshot_detail.parquet,gen10 Phase 9 budget simulation,99-extractant common cohort,5 split seeds x 12 repeats,mean over extractants within the tercile,99,1.254695089741123,1.254695089741123,runs/gen10_final/budget_simulation/marginal_gains.csv,0.0,PASS,
gen6 BASE macro MAE (all),runs/gen6_expA_5seed/hard_chemistry_metrics.csv,gen6 Experiment A,"5,248 rows / 152 extractants / 131 ECFP clusters",5 split seeds,"one vote per ECFP cluster, mean over seeds",131,1.2100453970090608,1.21,docs/gen6_phase0_and_phase1_results_20260819.md §5.1,4.5397009060810234e-05,PASS,
gen6 EXPANDED macro MAE (all),runs/gen6_expA_5seed/hard_chemistry_metrics.csv,gen6 Experiment A,"5,248 rows / 152 extractants / 131 ECFP clusters",5 split seeds,"one vote per ECFP cluster, mean over seeds",131,1.0467618606788842,1.0468,docs/gen6_phase0_and_phase1_results_20260819.md §5.1,3.81393211157377e-05,PASS,
gen6 EXPANDED_ROWMATCHED macro MAE (all),runs/gen6_expA_5seed/hard_chemistry_metrics.csv,gen6 Experiment A,"5,248 rows / 152 extractants / 131 ECFP clusters",5 split seeds,"one vote per ECFP cluster, mean over seeds",131,1.0486290198965837,1.0486,docs/gen6_phase0_and_phase1_results_20260819.md §5.1,2.9019896583770688e-05,PASS,
gen6 EXPANDED_SHUFFLED macro MAE (all),runs/gen6_expA_5seed/hard_chemistry_metrics.csv,gen6 Experiment A,"5,248 rows / 152 extractants / 131 ECFP clusters",5 split seeds,"one vote per ECFP cluster, mean over seeds",131,1.2193384470564355,1.2193,docs/gen6_phase0_and_phase1_results_20260819.md §5.1,3.844705643540891e-05,PASS,
"gen6 coverage effect (EXPANDED - BASE), all",runs/gen6_expA_5seed/contrast_summary.csv,gen6 Experiment A,identical held-out rows,5 split seeds,"paired, one vote per ECFP cluster",131,0.1632835363301766,0.1633,docs/gen6_phase0_and_phase1_results_20260819.md §5.2 (H A1),1.6463669823413296e-05,PASS,
"acquisition macro MAE, ORACLE",runs/gen10_final/acquisition/realised_detail.parquet,gen10 Phase 6 realised acquisition,143 extractants,5 split seeds x 8 repeats,mean over extractants,143,0.4627743512719403,0.4627743512719403,runs/gen10_final/acquisition/realised_summary.csv,0.0,PASS,
"acquisition macro MAE, SURROGATE_ORACLE",runs/gen10_final/acquisition/realised_detail.parquet,gen10 Phase 6 realised acquisition,143 extractants,5 split seeds x 8 repeats,mean over extractants,143,0.48035943643119833,0.4803594364311983,runs/gen10_final/acquisition/realised_summary.csv,5.551115123125783e-17,PASS,
"acquisition macro MAE, MEDOID",runs/gen10_final/acquisition/realised_detail.parquet,gen10 Phase 6 realised acquisition,143 extractants,5 split seeds x 8 repeats,mean over extractants,143,0.6285530451945075,0.6285530451945075,runs/gen10_final/acquisition/realised_summary.csv,0.0,PASS,
"acquisition macro MAE, CENTRAL",runs/gen10_final/acquisition/realised_detail.parquet,gen10 Phase 6 realised acquisition,143 extractants,5 split seeds x 8 repeats,mean over extractants,143,0.6316888751283979,0.6316888751283979,runs/gen10_final/acquisition/realised_summary.csv,0.0,PASS,
"acquisition macro MAE, LEARNED_BLEND[geometry]",runs/gen10_final/acquisition/realised_detail.parquet,gen10 Phase 6 realised acquisition,143 extractants,5 split seeds x 8 repeats,mean over extractants,143,0.6342363005608818,0.6342363005608818,runs/gen10_final/acquisition/realised_summary.csv,0.0,PASS,
"acquisition macro MAE, LEARNED_SCALAR[geometry]",runs/gen10_final/acquisition/realised_detail.parquet,gen10 Phase 6 realised acquisition,143 extractants,5 split seeds x 8 repeats,mean over extractants,143,0.6404111968719249,0.6404111968719249,runs/gen10_final/acquisition/realised_summary.csv,0.0,PASS,
"acquisition macro MAE, MEDIAN_PREDICTION",runs/gen10_final/acquisition/realised_detail.parquet,gen10 Phase 6 realised acquisition,143 extractants,5 split seeds x 8 repeats,mean over extractants,143,0.6446736803996217,0.6446736803996217,runs/gen10_final/acquisition/realised_summary.csv,0.0,PASS,
"acquisition macro MAE, LEARNED_RANK[geometry]",runs/gen10_final/acquisition/realised_detail.parquet,gen10 Phase 6 realised acquisition,143 extractants,5 split seeds x 8 repeats,mean over extractants,143,0.6478343255021222,0.6478343255021222,runs/gen10_final/acquisition/realised_summary.csv,0.0,PASS,
"acquisition macro MAE, MAX_CONDITION_COVERAGE",runs/gen10_final/acquisition/realised_detail.parquet,gen10 Phase 6 realised acquisition,143 extractants,5 split seeds x 8 repeats,mean over extractants,143,0.6526723949884959,0.6526723949884959,runs/gen10_final/acquisition/realised_summary.csv,0.0,PASS,
"acquisition macro MAE, MIN_GP_DESIGN_VAR",runs/gen10_final/acquisition/realised_detail.parquet,gen10 Phase 6 realised acquisition,143 extractants,5 split seeds x 8 repeats,mean over extractants,143,0.6556166444770248,0.6556166444770248,runs/gen10_final/acquisition/realised_summary.csv,0.0,PASS,
"acquisition macro MAE, MID_ACID",runs/gen10_final/acquisition/realised_detail.parquet,gen10 Phase 6 realised acquisition,143 extractants,5 split seeds x 8 repeats,mean over extractants,143,0.6722563340080147,0.6722563340080147,runs/gen10_final/acquisition/realised_summary.csv,0.0,PASS,
"acquisition macro MAE, MAX_PREDICTION",runs/gen10_final/acquisition/realised_detail.parquet,gen10 Phase 6 realised acquisition,143 extractants,5 split seeds x 8 repeats,mean over extractants,143,0.6789145447164916,0.6789145447164916,runs/gen10_final/acquisition/realised_summary.csv,0.0,PASS,
"acquisition macro MAE, MAX_ENSEMBLE_SD",runs/gen10_final/acquisition/realised_detail.parquet,gen10 Phase 6 realised acquisition,143 extractants,5 split seeds x 8 repeats,mean over extractants,143,0.687511078419324,0.687511078419324,runs/gen10_final/acquisition/realised_summary.csv,0.0,PASS,
"acquisition macro MAE, RANDOM",runs/gen10_final/acquisition/realised_detail.parquet,gen10 Phase 6 realised acquisition,143 extractants,5 split seeds x 8 repeats,mean over extractants,143,0.6916592833782195,0.6916592833782195,runs/gen10_final/acquisition/realised_summary.csv,0.0,PASS,
"acquisition macro MAE, MIN_ENSEMBLE_SD",runs/gen10_final/acquisition/realised_detail.parquet,gen10 Phase 6 realised acquisition,143 extractants,5 split seeds x 8 repeats,mean over extractants,143,0.6950010982088084,0.6950010982088084,runs/gen10_final/acquisition/realised_summary.csv,0.0,PASS,
"acquisition macro MAE, FARTHEST_FROM_EXISTING",runs/gen10_final/acquisition/realised_detail.parquet,gen10 Phase 6 realised acquisition,143 extractants,5 split seeds x 8 repeats,mean over extractants,143,0.7540045111864573,0.7540045111864573,runs/gen10_final/acquisition/realised_summary.csv,0.0,PASS,
"acquisition macro MAE, MIN_PREDICTION",runs/gen10_final/acquisition/realised_detail.parquet,gen10 Phase 6 realised acquisition,143 extractants,5 split seeds x 8 repeats,mean over extractants,143,0.781435847326756,0.781435847326756,runs/gen10_final/acquisition/realised_summary.csv,0.0,PASS,
recomposition leaves the level unchanged (offset MAE),runs/gen10_final/headline_tables/t2_leaderboards.csv,gen10 leaderboards,152 extractants,5 split seeds,one vote per ECFP cluster,131,0.82117153046591,0.82117153046591,identity claimed by gen9/train.py::ShapeRecomposed (mean-preserving),0.0,PASS,"recomputed independently from OOF on the 99-extractant cohort: 0.84676720 for both arms, every seed"
