ablation,outer_fold,candidate_index,inner_fold_count,inner_split_seed,max_features,min_samples_leaf,inner_macro_group_mae,inner_n_rows,inner_mae,inner_rmse,inner_r2,inner_pearson,inner_spearman,selected
A2+D4,0,2,3,104729,1.0,4,0.3683619607424966,5743,0.4163029552262964,0.6040700758110172,0.3567972460329085,0.6195541306337633,0.6873722659574931,False
A2+D5,0,0,3,104729,0.35,2,0.34531499379279595,5743,0.3714998294954317,0.5419275987650871,0.4823266733400664,0.699644146162511,0.7223168961566275,True
A2+D5,0,1,3,104729,0.7,2,0.350349196033212,5743,0.39450211024791504,0.5752369901694264,0.41673373147205284,0.6562268166311723,0.7043560332326417,False
A2+D5,0,2,3,104729,1.0,4,0.36821898651440116,5743,0.41443634331113793,0.6037748059974408,0.35742588813506093,0.6200929023257877,0.6863482454089499,False
A5_SHUFFLED_s1009,0,0,3,104729,0.35,2,0.3471732608712665,5743,0.36704779500610346,0.5337842476504687,0.49776756452661697,0.7079543858228428,0.7224383500404862,True
A5_SHUFFLED_s1009,0,1,3,104729,0.7,2,0.35360148806130454,5743,0.3846126447659506,0.5578819775850586,0.4513973337374795,0.6774915234715896,0.7083349894481558,False
A5_SHUFFLED_s1009,0,2,3,104729,1.0,4,0.36767639737369057,5743,0.40563169226159035,0.5880623789809574,0.3904349707874054,0.6402456534390227,0.6908075883457477,False
A5_SHUFFLED_s2017,0,0,3,104729,0.35,2,0.34946816400899783,5743,0.36600930195244896,0.5334836502653516,0.49833306359720153,0.7082461245488243,0.7192877944747156,True
A5_SHUFFLED_s2017,0,1,3,104729,0.7,2,0.3536427156137279,5743,0.3800459019577546,0.5542200836817427,0.45857566760184043,0.6822485041617924,0.7101940483354139,False
A5_SHUFFLED_s2017,0,2,3,104729,1.0,4,0.3714378333559277,5743,0.4015687680850417,0.5825614702446834,0.40178573384627514,0.6482442971171859,0.6924223580354011,False
A5_SHUFFLED_s3019,0,0,3,104729,0.35,2,0.35039621887507444,5743,0.36418399344819413,0.530827439535164,0.5033162182378058,0.712087307134944,0.7254130116311966,True
A5_SHUFFLED_s3019,0,1,3,104729,0.7,2,0.35545453150282447,5743,0.38332624096768847,0.5583336443197839,0.4505086659198725,0.6770749963117427,0.7143119570837273,False
A5_SHUFFLED_s3019,0,2,3,104729,1.0,4,0.3685033255146564,5743,0.4029860362567573,0.587127192623413,0.3923721925633664,0.6414295783926789,0.6992222874149212,False
A0,1,0,3,114736,0.35,2,0.6513743071193793,5783,0.681088853682641,0.9909925540347919,-0.6888422928770943,0.07297175768523925,0.055983891826772596,True
A0,1,1,3,114736,0.7,2,0.6513743071193793,5783,0.681088853682641,0.9909925540347919,-0.6888422928770943,-0.019271868566529914,0.07150871283780189,False
A0,1,2,3,114736,1.0,4,0.6513743071193793,5783,0.681088853682641,0.9909925540347919,-0.6888422928770943,0.026758819820729925,0.07182549953719046,False
A1,1,0,3,114736,0.35,2,0.39092674543013173,5783,0.5490361116756652,0.7987185492450944,-0.09707382791736574,0.39300095413780317,0.24811689491283465,True
A1,1,1,3,114736,0.7,2,0.39247701597220236,5783,0.5660783941021096,0.8286733036381582,-0.18090513044738832,0.36548260530397847,0.21517261777781266,False
A1,1,2,3,114736,1.0,4,0.39155359204277856,5783,0.5651266153409141,0.8225683028892223,-0.16356929970363465,0.37939646303938895,0.22574781603207036,False
A2,1,0,3,114736,0.35,2,0.34045658971061804,5783,0.45942860404546654,0.6776260796474144,0.2103610942276326,0.536042496693576,0.5166876653718299,True
A2,1,1,3,114736,0.7,2,0.34876714816383575,5783,0.4605279514255695,0.6871466790666745,0.18801647535820842,0.5241921613882999,0.5128224167754455,False
A2,1,2,3,114736,1.0,4,0.35669921601967447,5783,0.4557050970302651,0.6787224664279851,0.2078037840313275,0.5313833430454623,0.5218356234719511,False
A3,1,0,3,114736,0.35,2,0.4261613966159173,5783,0.5885956269426059,0.8761399336556025,-0.32006484257299506,0.2695926648283547,0.15369337953320367,False
A3,1,1,3,114736,0.7,2,0.41933772227572375,5783,0.5771800415793045,0.8644305288552346,-0.2850159142819828,0.290908697699634,0.1845404014908443,False
A3,1,2,3,114736,1.0,4,0.4123614098402759,5783,0.5938303928329519,0.9024766676804821,-0.40061985574415404,0.2588808344287368,0.1787733577682616,True
A4,1,0,3,114736,0.35,2,0.35459422177232386,5783,0.45195481388442516,0.6599092822118147,0.25111214447746644,0.5556747839657887,0.5356532541685629,True
A4,1,1,3,114736,0.7,2,0.3569335965331384,5783,0.45865615687056105,0.6810306729198642,0.2024064034543558,0.5266875266192101,0.5131202487912546,False
A4,1,2,3,114736,1.0,4,0.3656518203480723,5783,0.45588821553255704,0.6771907339352538,0.21137538660708177,0.5314201034085574,0.5255536932718148,False
A5,1,0,3,114736,0.35,2,0.3600692390695803,5783,0.4605243479129446,0.6769080158256569,0.212033729693058,0.5308242817636029,0.5041070252358368,True
A5,1,1,3,114736,0.7,2,0.3641367161795703,5783,0.46369862256155564,0.6890143359491001,0.18359655283403153,0.5144830407522883,0.4896378655923364,False
A5,1,2,3,114736,1.0,4,0.36862413277135814,5783,0.46322255161553594,0.6842178709883165,0.1949235181400657,0.5205228521215267,0.4896261386963579,False
A6,1,0,3,114736,0.35,2,0.3629234908843901,5783,0.45695623279552555,0.668228673767194,0.2321108553268656,0.5423296190795457,0.5135118789454111,True
A6,1,1,3,114736,0.7,2,0.36489044874587434,5783,0.4583039800908535,0.6765239567839852,0.21292761693577444,0.5299168418904072,0.5059770132722422,False
A6,1,2,3,114736,1.0,4,0.3735621018758513,5783,0.45832243073531675,0.6757762823163407,0.21466635430651226,0.5300544209279919,0.5103933204343746,False
A2+D1,1,0,3,114736,0.35,2,0.3517137039644264,5783,0.46107685798998954,0.678574457181591,0.20814925537223217,0.5296031252767931,0.5145633647205909,True
