label,draw,z_Nd,u_Nd,z_Pr,u_Pr,member,mean_offset_Nd,mean_offset_Pr
transfer-unsupported,31,-0.5421945982,0.2938422281,-1.177389064,0.1195201264,1,-0.5584282462,-1.212640835
transfer-unsupported,32,-0.5979807974,0.274926373,-0.3822592542,0.3511345372,1,-0.6158847194,-0.3937043371
transfer-unsupported,33,-1.285831601,0.09925091951,0.2676262558,0.6055064906,0,-1.324330209,0.2756391546
transfer-unsupported,34,-1.275477103,0.1010702118,-1.223458899,0.1105782094,4,-1.313665691,-1.26009003
transfer-unsupported,35,-0.02562080411,0.4897798961,0.4447392951,0.6717459158,4,-0.02638790713,0.4580550699
transfer-unsupported,36,0.2105688749,0.583388149,0.1641135146,0.5651791085,3,0.2168734397,0.1690271767
transfer-unsupported,37,0.4854745257,0.6863301107,0.5935174351,0.7235825409,2,0.5000099389,0.6112877211
transfer-unsupported,38,-0.9805786242,0.1634002899,-0.2342077453,0.4074118512,4,-1.009937766,-0.2412200728
transfer-unsupported,39,-0.6659511251,0.2527211704,-1.313921225,0.09443635758,2,-0.6858901215,-1.353260855
transfer-unsupported,40,-0.1161999973,0.4537470194,-0.4701397764,0.3191275788,4,-0.1196790985,-0.4842160576
transfer-unsupported,41,0.2154855289,0.5853056033,0.3404734857,0.6332500067,3,0.2219373014,0.3506674765
transfer-unsupported,42,-0.6345945528,0.2628464409,-0.2140295405,0.4152620105,3,-0.6535947136,-0.2204377198
transfer-unsupported,43,-0.09478610504,0.4622423619,-1.299469824,0.09689137147,4,-0.09762406076,-1.338376769
transfer-unsupported,44,1.509137076,0.9343681218,0.9772776049,0.8357841315,1,1.554321591,1.006537912
transfer-unsupported,45,-0.1919975489,0.4238720627,0.4758503519,0.6829095025,1,-0.1977460765,0.4900976113
transfer-unsupported,46,-1.443789989,0.07439902949,-1.508908546,0.06566107783,0,-1.487017971,-1.554086219
transfer-unsupported,47,0.8894061963,0.813107592,-0.8619933137,0.1943455986,1,0.9160355784,-0.8878019367
transfer-unsupported,48,-0.9028946741,0.1832908988,0.590934308,0.7227177813,2,-0.9299279097,0.6086272536
transfer-unsupported,49,0.5499243896,0.7088143825,-0.3979259207,0.3453423963,4,0.5663894724,-0.4098400735
transfer-unsupported,50,0.004910043356,0.501958816,0.5203056162,0.6985747089,3,0.005057053149,0.5358838943
transfer-unsupported,51,-0.8377708956,0.2010796938,-0.5801086891,0.2809206623,2,-0.8628542842,-0.5974775089
transfer-unsupported,52,0.3046159862,0.6196706784,0.2028345105,0.5803678084,2,0.3137363808,0.2089075035
transfer-unsupported,53,1.487319494,0.9315347759,1.049399842,0.8530029345,1,1.531850777,1.080819534
transfer-unsupported,54,-0.1933009137,0.4233616554,0.009759024413,0.5038932257,0,-0.1990884649,0.01005121575
transfer-unsupported,55,-0.4171161481,0.338296727,-0.9071959899,0.182151582,1,-0.4296048685,-0.9343580096
transfer-unsupported,56,-0.2704161113,0.3934200733,-0.6848796449,0.2467099358,2,-0.2785125401,-0.7053853732
transfer-unsupported,57,1.814661446,0.9652120233,2.787083835,0.9973407641,0,1.868993554,2.870530882
transfer-unsupported,58,-0.4034036142,0.3433256642,-2.364316673,0.009031682466,2,-0.4154817726,-2.435105805
transfer-unsupported,59,-0.3863037573,0.3496358591,0.223450234,0.5884074443,1,-0.3978699353,0.2301404749
transfer-unsupported,60,-0.6464698102,0.2589875713,0.06360981554,0.5253595421,2,-0.6658255237,0.06551433351
transfer-unsupported,61,0.6191705106,0.7320979817,-0.05801616582,0.4768678759,1,0.6377088659,-0.05975320639
transfer-unsupported,62,-0.2566040818,0.3987422118,-0.9114314886,0.1810340343,2,-0.2642869697,-0.9387203218
transfer-unsupported,63,-0.4357721271,0.3315010343,-1.122273074,0.1308731754,0,-0.4488194192,-1.155874638
