label,draw,candidate,status,regime_status,in_domain,on_spec,purity_mol,recovery_from_feed,recovery_total,net_product_mol_h,n_stages_total,n_ext,n_scr,n_str,oa_ext,s_over_a,w_over_a,consumption_index,consumption_index_incomplete,acid_mol_per_kg_oxide,throughput_kg_oxide_per_h,throughput_mol_T_per_h_per_L_org,max_loading,flags,n_flags,ood_distance_max,balance_rel_max,iterations,front,feed_stage_offset,scrub_return_offset,scrub_acid_M,scrub_target_mM,strip_acid_M,ligand_total_M,saponification_degree,scrub_complexant_M,strip_anion_M,feed_dilution,f_bleed
transfer-unsupported,10,0,converged_newton,INADMISSIBLE,False,False,0.999999963,1.066093997e-05,0.3787078066,-0.07223209315,39,26,6,7,1.182977172,2.733690865,2.158770057,3766.091477,False,3766.091477,0.00477859191,0.02400983398,0.738533202,COST_INCOMPLETE|HIGH_LOADING|LIGAND_LOSS_NOT_MEASURED|OA_ASSUMED|THIRD_PHASE_RISK,5,0,1.217653217e-15,16,2,8,0,4.609474266,36.812933,2.499449423,0.1823545503,0,0,0,0,0
transfer-unsupported,11,0,converged_newton,INADMISSIBLE,False,False,0.9999616399,1.657271455e-07,0.4250436848,-0.06875690228,39,26,6,7,1.182977172,2.733690865,2.158770057,3355.53331,False,3355.53331,0.005363264972,0.02694749917,0.5721825775,COST_INCOMPLETE|HIGH_LOADING|LIGAND_LOSS_NOT_MEASURED|OA_ASSUMED|THIRD_PHASE_RISK,5,0,1.217653217e-13,12,2,8,0,4.609474266,36.812933,2.499449423,0.1823545503,0,0,0,0,0
transfer-unsupported,12,0,converged_newton,INADMISSIBLE,False,False,0.9999999985,1.805698812e-05,0.3601420184,-0.07362452727,39,26,6,7,1.182977172,2.733690865,2.158770057,3960.238378,False,3960.238378,0.004544326009,0.02283277481,0.7664755308,COST_INCOMPLETE|HIGH_LOADING|LIGAND_LOSS_NOT_MEASURED|OA_ASSUMED|THIRD_PHASE_RISK,5,0,2.130893131e-15,20,2,8,0,4.609474266,36.812933,2.499449423,0.1823545503,0,0,0,0,0
transfer-unsupported,13,0,converged_newton,INADMISSIBLE,False,False,0.9830303501,1.661748998e-06,0.37454206,-0.07254452414,39,26,6,7,1.182977172,2.733690865,2.158770057,3807.978849,False,3807.978849,0.004726027895,0.02374572829,0.7544602854,COST_INCOMPLETE|HIGH_LOADING|LIGAND_LOSS_NOT_MEASURED|OA_ASSUMED|THIRD_PHASE_RISK,5,0,1.217653217e-15,15,2,8,0,4.609474266,36.812933,2.499449423,0.1823545503,0,0,0,0,0
transfer-unsupported,14,0,converged_newton,INADMISSIBLE,False,False,0.9661455795,1.369636968e-08,0.4045853143,-0.07029128007,39,26,6,7,1.182977172,2.733690865,2.158770057,3525.210116,False,3525.210116,0.005105118184,0.0256504515,0.642194982,COST_INCOMPLETE|HIGH_LOADING|LIGAND_LOSS_NOT_MEASURED|OA_ASSUMED|THIRD_PHASE_RISK,5,0,9.132399131e-16,13,2,8,0,4.609474266,36.812933,2.499449423,0.1823545503,0,0,0,0,0
transfer-unsupported,15,0,converged_newton,INADMISSIBLE,False,False,0.9999996765,5.579691144e-06,0.3961082715,-0.07092705828,39,26,6,7,1.182977172,2.733690865,2.158770057,3600.652512,False,3600.652512,0.004998153586,0.02511301238,0.7068341512,COST_INCOMPLETE|HIGH_LOADING|LIGAND_LOSS_NOT_MEASURED|OA_ASSUMED|THIRD_PHASE_RISK,5,0,1.474694229e-12,19,2,8,0,4.609474266,36.812933,2.499449423,0.1823545503,0,0,0,0,0
transfer-unsupported,16,0,converged_newton,INADMISSIBLE,False,False,0.9532577556,6.927663148e-08,0.3720926767,-0.07272822789,39,26,6,7,1.182977172,2.733690865,2.158770057,3833.045722,False,3833.045722,0.004695121209,0.02359043895,0.740968233,COST_INCOMPLETE|HIGH_LOADING|LIGAND_LOSS_NOT_MEASURED|OA_ASSUMED|THIRD_PHASE_RISK,5,0,1.826479826e-15,19,2,8,0,4.609474266,36.812933,2.499449423,0.1823545503,0,0,0,0,0
transfer-unsupported,17,0,converged_newton,INADMISSIBLE,False,False,0.9999999999,5.8731009e-05,0.2928148051,-0.07867406826,39,26,6,7,1.182977172,2.733690865,2.158770057,4870.820115,False,4870.820115,0.003694781133,0.01856427233,0.8455530727,COST_INCOMPLETE|HIGH_LOADING|LIGAND_LOSS_NOT_MEASURED|OA_ASSUMED|THIRD_PHASE_RISK,5,0,5.138395381e-14,36,2,8,0,4.609474266,36.812933,2.499449423,0.1823545503,0,0,0,0,0
transfer-unsupported,18,0,converged_newton,INADMISSIBLE,False,False,0.8976798538,2.478841377e-14,0.2633444016,-0.08088434853,39,26,6,7,1.182977172,2.733690865,2.158770057,5415.904929,False,5415.904929,0.003322919161,0.0166958675,0.7927800349,COST_INCOMPLETE|HIGH_LOADING|LIGAND_LOSS_NOT_MEASURED|OA_ASSUMED|THIRD_PHASE_RISK,5,0,9.752757531e-14,26,2,8,0,4.609474266,36.812933,2.499449423,0.1823545503,0,0,0,0,0
transfer-unsupported,19,0,converged_newton,INADMISSIBLE,False,False,1,4.189465117e-05,0.3189442673,-0.0767143586,39,26,6,7,1.182977172,2.733690865,2.158770057,4471.778894,False,4471.778894,0.004024486606,0.02022086361,0.8161786487,COST_INCOMPLETE|HIGH_LOADING|LIGAND_LOSS_NOT_MEASURED|OA_ASSUMED|THIRD_PHASE_RISK,5,0,1.217653217e-15,26,6,8,0,4.609474266,36.812933,2.499449423,0.1823545503,0,0,0,0,0
transfer-unsupported,20,0,converged_newton,INADMISSIBLE,False,False,0.9999999982,1.007546366e-05,0.3812430055,-0.07204195323,39,26,6,7,1.182977172,2.733690865,2.158770057,3741.047631,False,3741.047631,0.00481058143,0.02417056397,0.7327163519,COST_INCOMPLETE|HIGH_LOADING|LIGAND_LOSS_NOT_MEASURED|OA_ASSUMED|THIRD_PHASE_RISK,5,0,1.674273174e-15,14,2,8,0,4.609474266,36.812933,2.499449423,0.1823545503,0,0,0,0,0
transfer-unsupported,21,0,converged_newton,INADMISSIBLE,False,False,1,5.611552041e-05,0.2973405336,-0.07833463862,39,26,6,7,1.182977172,2.733690865,2.158770057,4796.682865,False,4796.682865,0.003751887454,0.01885120064,0.8403979454,COST_INCOMPLETE|HIGH_LOADING|LIGAND_LOSS_NOT_MEASURED|OA_ASSUMED|THIRD_PHASE_RISK,5,0,1.36985987e-15,37,2,8,0,4.609474266,36.812933,2.499449423,0.1823545503,0,0,0,0,0
transfer-unsupported,22,0,converged_newton,INADMISSIBLE,False,False,0.9057960551,2.068423524e-12,0.318018473,-0.07678379317,39,26,6,7,1.182977172,2.733690865,2.158770057,4484.79684,False,4484.79684,0.004012804795,0.02016216884,0.6991094316,COST_INCOMPLETE|HIGH_LOADING|LIGAND_LOSS_NOT_MEASURED|OA_ASSUMED|THIRD_PHASE_RISK,5,0,1.065446565e-15,29,2,8,0,4.609474266,36.812933,2.499449423,0.1823545503,0,0,0,0,0
transfer-unsupported,23,0,converged_newton,INADMISSIBLE,False,False,1,1.174818814e-14,0.1644695663,-0.08829996117,39,26,6,7,1.182977172,2.733690865,2.158770057,8671.80643,False,8671.80643,0.002075301658,0.01042726586,0.182677415,COST_INCOMPLETE|LIGAND_LOSS_NOT_MEASURED|OA_ASSUMED|OOD_LOADING|OOD_METAL|THIRD_PHASE_RISK,6,0.108079915,1.095887896e-13,4,4,8,0,4.609474266,36.812933,2.499449423,0.1823545503,0,0,0,0,0
transfer-unsupported,24,0,converged_newton,INADMISSIBLE,False,False,1,1.058466473e-06,0.4222577523,-0.06896584723,39,26,6,7,1.182977172,2.733690865,2.158770057,3377.672133,False,3377.672133,0.005328111657,0.02677087282,0.617708548,COST_INCOMPLETE|HIGH_LOADING|LIGAND_LOSS_NOT_MEASURED|OA_ASSUMED|THIRD_PHASE_RISK,5,0,1.217653217e-15,17,2,8,0,4.609474266,36.812933,2.499449423,0.1823545503,0,0,0,0,0
transfer-unsupported,25,0,converged_newton,INADMISSIBLE,False,False,0.9999999481,6.319291643e-06,0.3936241943,-0.07111336407,39,26,6,7,1.182977172,2.733690865,2.158770057,3623.375451,False,3623.375451,0.004966809127,0.02495552346,0.710776828,COST_INCOMPLETE|HIGH_LOADING|LIGAND_LOSS_NOT_MEASURED|OA_ASSUMED|THIRD_PHASE_RISK,5,0,2.160643651e-12,21,2,8,0,4.609474266,36.812933,2.499449423,0.1823545503,0,0,0,0,0
transfer-unsupported,26,0,failed,INADMISSIBLE,False,,,,,,39,26,6,7,1.182977172,2.733690865,2.158770057,,True,,,,,HIGH_LOADING|NOT_CONVERGED|OA_ASSUMED|THIRD_PHASE_RISK,4,0,0.8044333097,20,16,8,0,4.609474266,36.812933,2.499449423,0.1823545503,0,0,0,0,0
transfer-unsupported,27,0,converged_newton,INADMISSIBLE,False,False,1,0.000132071641,0.1021420642,-0.09297452383,39,26,6,7,1.182977172,2.733690865,2.158770057,13963.37791,False,13963.37791,0.001288843887,0.006475741879,0.971883382,COST_INCOMPLETE|HIGH_LOADING|LIGAND_LOSS_NOT_MEASURED|OA_ASSUMED|THIRD_PHASE_RISK,5,0,4.877306437e-15,112,2,8,0,4.609474266,36.812933,2.499449423,0.1823545503,0,0,0,0,0
transfer-unsupported,28,0,converged_newton,INADMISSIBLE,False,False,1,2.113881445e-07,0.424949416,-0.06876397244,39,26,6,7,1.182977172,2.733690865,2.158770057,3356.277686,False,3356.277686,0.005362075474,0.02694152259,0.5521790027,COST_INCOMPLETE|HIGH_LOADING|LIGAND_LOSS_NOT_MEASURED|OA_ASSUMED|THIRD_PHASE_RISK,5,0,1.595125715e-13,10,2,8,0,4.609474266,36.812933,2.499449423,0.1823545503,0,0,0,0,0
transfer-unsupported,29,0,converged_newton,INADMISSIBLE,False,False,1,1.368687643e-06,0.4204643903,-0.06910034938,39,26,6,7,1.182977172,2.733690865,2.158770057,3392.078558,False,3392.078558,0.005305482746,0.02665717481,0.6229346097,COST_INCOMPLETE|HIGH_LOADING|LIGAND_LOSS_NOT_MEASURED|OA_ASSUMED|THIRD_PHASE_RISK,5,0,9.459643433e-13,12,6,8,0,4.609474266,36.812933,2.499449423,0.1823545503,0,0,0,0,0
transfer-unsupported,30,0,converged_newton,INADMISSIBLE,False,False,1,3.172937609e-05,0.3353311467,-0.07548534264,39,26,6,7,1.182977172,2.733690865,2.158770057,4253.25311,False,4253.25311,0.004231258709,0.02125978134,0.796683036,COST_INCOMPLETE|HIGH_LOADING|LIGAND_LOSS_NOT_MEASURED|OA_ASSUMED|THIRD_PHASE_RISK,5,0,2.130893131e-15,24,5,8,0,4.609474266,36.812933,2.499449423,0.1823545503,0,0,0,0,0
transfer-unsupported,31,0,converged_newton,INADMISSIBLE,False,False,1,9.730635004e-07,0.4230147259,-0.0689090742,39,26,6,7,1.182977172,2.733690865,2.158770057,3371.627878,False,3371.627878,0.005337663264,0.02681886446,0.6095509125,COST_INCOMPLETE|HIGH_LOADING|LIGAND_LOSS_NOT_MEASURED|OA_ASSUMED|THIRD_PHASE_RISK,5,0,9.132399131e-16,11,3,8,0,4.609474266,36.812933,2.499449423,0.1823545503,0,0,0,0,0
transfer-unsupported,32,0,converged_newton,INADMISSIBLE,False,False,0.9999981786,5.917904364e-07,0.4247313996,-0.06878032368,39,26,6,7,1.182977172,2.733690865,2.158770057,3358.000478,False,3358.000478,0.00535932451,0.02692770049,0.6094707488,COST_INCOMPLETE|HIGH_LOADING|LIGAND_LOSS_NOT_MEASURED|OA_ASSUMED|THIRD_PHASE_RISK,5,0,9.132399131e-16,15,2,8,0,4.609474266,36.812933,2.499449423,0.1823545503,0,0,0,0,0
transfer-unsupported,33,0,converged_newton,INADMISSIBLE,False,False,0.8388663621,2.723062975e-16,0.2037687242,-0.08535252433,39,26,6,7,1.182977172,2.733690865,2.158770057,6999.34815,False,6999.34815,0.002571184327,0.01291880746,0.632724222,COST_INCOMPLETE|HIGH_LOADING|LIGAND_LOSS_NOT_MEASURED|OA_ASSUMED|THIRD_PHASE_RISK,5,0,2.430746304e-14,19,2,8,0,4.609474266,36.812933,2.499449423,0.1823545503,0,0,0,0,0
transfer-unsupported,34,0,converged_newton,INADMISSIBLE,False,False,1,1.766999859e-09,0.3612280232,-0.07354307691,39,26,6,7,1.182977172,2.733690865,2.158770057,3948.33222,False,3948.33222,0.004558029381,0.02290162683,0.4070635815,COST_INCOMPLETE|LIGAND_LOSS_NOT_MEASURED|OA_ASSUMED|THIRD_PHASE_RISK,4,0,4.566199565e-16,5,2,8,0,4.609474266,36.812933,2.499449423,0.1823545503,0,0,0,0,0
transfer-unsupported,35,0,converged_newton,INADMISSIBLE,False,False,0.9904762277,2.722655134e-06,0.3792674733,-0.07219011815,39,26,6,7,1.182977172,2.733690865,2.158770057,3760.534038,False,3760.534038,0.004785653868,0.02404531648,0.7487486627,COST_INCOMPLETE|HIGH_LOADING|LIGAND_LOSS_NOT_MEASURED|OA_ASSUMED|THIRD_PHASE_RISK,5,0,6.742754692e-14,20,2,8,0,4.609474266,36.812933,2.499449423,0.1823545503,0,0,0,0,0
transfer-unsupported,36,0,converged_newton,INADMISSIBLE,False,False,0.9999999874,1.895749855e-05,0.3575238955,-0.07382088648,39,26,6,7,1.182977172,2.733690865,2.158770057,3989.238931,False,3989.238931,0.004511290142,0.02266678749,0.7710164188,COST_INCOMPLETE|HIGH_LOADING|LIGAND_LOSS_NOT_MEASURED|OA_ASSUMED|THIRD_PHASE_RISK,5,0,1.978686478e-15,24,2,8,0,4.609474266,36.812933,2.499449423,0.1823545503,0,0,0,0,0
transfer-unsupported,37,0,converged_newton,INADMISSIBLE,False,False,0.9999958191,3.351874023e-05,0.3252966689,-0.07623792848,39,26,6,7,1.182977172,2.733690865,2.158770057,4384.453882,False,4384.453882,0.004104642162,0.02062360183,0.814622244,COST_INCOMPLETE|HIGH_LOADING|LIGAND_LOSS_NOT_MEASURED|OA_ASSUMED|THIRD_PHASE_RISK,5,0,1.904241932e-13,25,3,8,0,4.609474266,36.812933,2.499449423,0.1823545503,0,0,0,0,0
transfer-unsupported,38,0,converged_newton,INADMISSIBLE,False,False,0.9765403956,2.336831818e-09,0.3980093776,-0.07078447532,39,26,6,7,1.182977172,2.733690865,2.158770057,3583.453865,False,3583.453865,0.005022142028,0.0252335413,0.5594258752,COST_INCOMPLETE|HIGH_LOADING|LIGAND_LOSS_NOT_MEASURED|OA_ASSUMED|THIRD_PHASE_RISK,5,0,1.36985987e-15,13,2,8,0,4.609474266,36.812933,2.499449423,0.1823545503,0,0,0,0,0
transfer-unsupported,39,0,converged_newton,INADMISSIBLE,False,False,1,4.560809175e-07,0.4258199213,-0.06869868455,39,26,6,7,1.182977172,2.733690865,2.158770057,3349.416435,False,3349.416435,0.00537305964,0.02699671207,0.5771777648,COST_INCOMPLETE|HIGH_LOADING|LIGAND_LOSS_NOT_MEASURED|OA_ASSUMED|THIRD_PHASE_RISK,5,0,7.275477974e-14,10,3,8,0,4.609474266,36.812933,2.499449423,0.1823545503,0,0,0,0,0
transfer-unsupported,40,0,converged_newton,INADMISSIBLE,False,False,1,7.021911943e-06,0.3925543369,-0.07119360338,39,26,6,7,1.182977172,2.733690865,2.158770057,3633.250505,False,3633.250505,0.004953309506,0.02488769518,0.7082583883,COST_INCOMPLETE|HIGH_LOADING|LIGAND_LOSS_NOT_MEASURED|OA_ASSUMED|THIRD_PHASE_RISK,5,0,1.217653217e-15,20,2,8,0,4.609474266,36.812933,2.499449423,0.1823545503,0,0,0,0,0
transfer-unsupported,41,0,converged_newton,INADMISSIBLE,False,False,0.9999965511,1.789926501e-05,0.3569590668,-0.07386324864,39,26,6,7,1.182977172,2.733690865,2.158770057,3995.551242,False,3995.551242,0.004504163049,0.02263097771,0.7748128035,COST_INCOMPLETE|HIGH_LOADING|LIGAND_LOSS_NOT_MEASURED|OA_ASSUMED|THIRD_PHASE_RISK,5,0,1.36985987e-15,24,3,8,0,4.609474266,36.812933,2.499449423,0.1823545503,0,0,0,0,0
transfer-unsupported,42,0,converged_newton,INADMISSIBLE,False,False,0.9993968914,3.232854148e-07,0.4251902222,-0.06874591198,39,26,6,7,1.182977172,2.733690865,2.158770057,3354.376861,False,3354.376861,0.005365114002,0.02695678955,0.612940266,COST_INCOMPLETE|HIGH_LOADING|LIGAND_LOSS_NOT_MEASURED|OA_ASSUMED|THIRD_PHASE_RISK,5,0,3.500753e-15,11,2,8,0,4.609474266,36.812933,2.499449423,0.1823545503,0,0,0,0,0
transfer-unsupported,43,0,converged_newton,INADMISSIBLE,False,False,1,7.760173814e-06,0.3904600066,-0.07135067815,39,26,6,7,1.182977172,2.733690865,2.158770057,3652.738357,False,3652.738357,0.004926882932,0.02475491597,0.7102762393,COST_INCOMPLETE|HIGH_LOADING|LIGAND_LOSS_NOT_MEASURED|OA_ASSUMED|THIRD_PHASE_RISK,5,0,1.826479826e-15,26,6,8,0,4.609474266,36.812933,2.499449423,0.1823545503,0,0,0,0,0
transfer-unsupported,44,0,converged_newton,INADMISSIBLE,False,False,1,0.0001195142264,0.2118381315,-0.08474731878,39,26,6,7,1.182977172,2.733690865,2.158770057,6732.726693,False,6732.726693,0.002673005319,0.01343040275,0.9117415503,COST_INCOMPLETE|HIGH_LOADING|LIGAND_LOSS_NOT_MEASURED|OA_ASSUMED|THIRD_PHASE_RISK,5,0,1.826479826e-15,112,2,8,0,4.609474266,36.812933,2.499449423,0.1823545503,0,0,0,0,0
transfer-unsupported,45,0,converged_newton,INADMISSIBLE,False,False,0.9633750862,1.724471693e-07,0.3795335623,-0.07217016147,39,26,6,7,1.182977172,2.733690865,2.158770057,3757.897547,False,3757.897547,0.004789011419,0.02406218636,0.7345203908,COST_INCOMPLETE|HIGH_LOADING|LIGAND_LOSS_NOT_MEASURED|OA_ASSUMED|THIRD_PHASE_RISK,5,0,1.065446565e-15,21,2,8,0,4.609474266,36.812933,2.499449423,0.1823545503,0,0,0,0,0
transfer-unsupported,46,0,converged_newton,INADMISSIBLE,False,False,1,2.020683555e-10,0.3163125919,-0.07691173425,39,26,6,7,1.182977172,2.733690865,2.158770057,4508.983453,False,4508.983453,0.003991279731,0.02005401706,0.3504691668,COST_INCOMPLETE|LIGAND_LOSS_NOT_MEASURED|OA_ASSUMED|THIRD_PHASE_RISK,4,0,6.088266087e-16,4,2,8,0,4.609474266,36.812933,2.499449423,0.1823545503,0,0,0,0,0
transfer-unsupported,47,0,converged_newton,INADMISSIBLE,False,False,1,7.175499995e-05,0.2779102011,-0.07979191356,39,26,6,7,1.182977172,2.733690865,2.158770057,5132.047104,False,5132.047104,0.003506712604,0.01761932992,0.8580775195,COST_INCOMPLETE|HIGH_LOADING|LIGAND_LOSS_NOT_MEASURED|OA_ASSUMED|THIRD_PHASE_RISK,5,0,1.217653217e-15,72,6,8,0,4.609474266,36.812933,2.499449423,0.1823545503,0,0,0,0,0
transfer-unsupported,48,0,converged_newton,INADMISSIBLE,False,False,0.8784424594,7.536536289e-15,0.2516102004,-0.08176441361,39,26,6,7,1.182977172,2.733690865,2.158770057,5668.483393,False,5668.483393,0.003174855251,0.01595192661,0.7068646419,COST_INCOMPLETE|HIGH_LOADING|LIGAND_LOSS_NOT_MEASURED|OA_ASSUMED|THIRD_PHASE_RISK,5,0,9.132399131e-16,23,2,8,0,4.609474266,36.812933,2.499449423,0.1823545503,0,0,0,0,0
transfer-unsupported,49,0,converged_newton,INADMISSIBLE,False,False,1,4.271207544e-05,0.3176503299,-0.0768114039,39,26,6,7,1.182977172,2.733690865,2.158770057,4489.994527,False,4489.994527,0.00400815951,0.0201388288,0.817714637,COST_INCOMPLETE|HIGH_LOADING|LIGAND_LOSS_NOT_MEASURED|OA_ASSUMED|THIRD_PHASE_RISK,5,0,6.616294707e-13,39,5,8,0,4.609474266,36.812933,2.499449423,0.1823545503,0,0,0,0,0
transfer-unsupported,50,0,converged_newton,INADMISSIBLE,False,False,0.9837471393,1.884921011e-06,0.3728904696,-0.07266839343,39,26,6,7,1.182977172,2.733690865,2.158770057,3824.844986,False,3824.844986,0.004705187879,0.02364101851,0.7573671803,COST_INCOMPLETE|HIGH_LOADING|LIGAND_LOSS_NOT_MEASURED|OA_ASSUMED|THIRD_PHASE_RISK,5,0,1.808215028e-13,16,2,8,0,4.609474266,36.812933,2.499449423,0.1823545503,0,0,0,0,0
transfer-unsupported,51,0,converged_newton,INADMISSIBLE,False,False,0.9999985847,1.115865092e-07,0.4226610777,-0.06893559782,39,26,6,7,1.182977172,2.733690865,2.158770057,3374.44898,False,3374.44898,0.005333200878,0.02679644339,0.5474035348,COST_INCOMPLETE|HIGH_LOADING|LIGAND_LOSS_NOT_MEASURED|OA_ASSUMED|THIRD_PHASE_RISK,5,0,7.610332609e-16,10,1,8,0,4.609474266,36.812933,2.499449423,0.1823545503,0,0,0,0,0
transfer-unsupported,52,0,converged_newton,INADMISSIBLE,False,False,0.9999999973,2.432845543e-05,0.3466353639,-0.07463752635,39,26,6,7,1.182977172,2.733690865,2.158770057,4114.549152,False,4114.549152,0.004373897018,0.02197646152,0.7853871721,COST_INCOMPLETE|HIGH_LOADING|LIGAND_LOSS_NOT_MEASURED|OA_ASSUMED|THIRD_PHASE_RISK,5,0,1.674273174e-15,34,2,8,0,4.609474266,36.812933,2.499449423,0.1823545503,0,0,0,0,0
transfer-unsupported,53,0,converged_newton,INADMISSIBLE,False,False,1,0.0001177469076,0.2139734912,-0.08458716681,39,26,6,7,1.182977172,2.733690865,2.158770057,6665.537094,False,6665.537094,0.002699949608,0.01356578319,0.9103926763,COST_INCOMPLETE|HIGH_LOADING|LIGAND_LOSS_NOT_MEASURED|OA_ASSUMED|THIRD_PHASE_RISK,5,0,1.401486549e-14,104,2,8,0,4.609474266,36.812933,2.499449423,0.1823545503,0,0,0,0,0
transfer-unsupported,54,0,converged_newton,INADMISSIBLE,False,False,0.9999906521,4.416906407e-06,0.3997597063,-0.07065320068,39,26,6,7,1.182977172,2.733690865,2.158770057,3567.763885,False,3567.763885,0.005044227937,0.02534451102,0.7020492801,COST_INCOMPLETE|HIGH_LOADING|LIGAND_LOSS_NOT_MEASURED|OA_ASSUMED|THIRD_PHASE_RISK,5,0,1.217653217e-15,12,2,8,0,4.609474266,36.812933,2.499449423,0.1823545503,0,0,0,0,0
