cell,rank,label,candidate,n_draws,n_converged,n_failed,purity_p5,purity_p50,purity_p95,recovery_p5,recovery_p50,recovery_p95,p_converged,p_constraints,p_feasible,p_phase_unknown,p_third_phase_risk,p_purity_ge_0.95,p_purity_ge_0.97,p_purity_ge_0.99,p_recovery_ge_0.80,p_recovery_ge_0.85,p_recovery_ge_0.90,p_both_0.95_0.80,p_both_feasible_0.95_0.80,p_both_0.95_0.85,p_both_feasible_0.95_0.85,p_both_0.95_0.90,p_both_feasible_0.95_0.90,p_both_0.97_0.80,p_both_feasible_0.97_0.80,p_both_0.97_0.85,p_both_feasible_0.97_0.85,p_both_0.97_0.90,p_both_feasible_0.97_0.90,p_both_0.99_0.80,p_both_feasible_0.99_0.80,p_both_0.99_0.85,p_both_feasible_0.99_0.85,p_both_0.99_0.90,p_both_feasible_0.99_0.90,consumption_index_median,throughput_median,n_stages_total,n_ext,n_scr,n_str,oa_ext,s_over_a,w_over_a,feed_stage_offset,scrub_return_offset,scrub_acid_M,scrub_target_mM,strip_acid_M,ligand_total_M,statuses_used,support_rank,obj_p_both_feasible,obj_p_both
0.95_0.80,21,transfer-unsupported,147,64,64,0,0.937083,1,1,5.06859e-20,9.17241e-11,4.54113e-07,1,0.015625,0.015625,0,0.984375,0.921875,0.90625,0.890625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1364.13,0.00672728,31,13,10,8,1.88014,4.20511,4.96776,8,0,0.892139,42.3554,1.09211,0.172316,INTERPOLATION,2,0,0
0.95_0.80,22,transfer-unsupported,18,64,64,0,0.59434,0.951626,1,8.24534e-29,0.0392618,0.079657,1,0.015625,0.015625,0,0.984375,0.5,0.453125,0.421875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1919.67,0.00160742,65,19,19,27,3.78296,1.78973,2.23039,17,0,0.223093,20.5345,1.20446,0.286065,INTERPOLATION,2,0,0
0.95_0.80,23,transfer-unsupported,210,64,64,0,0.431379,0.971622,1,3.13314e-12,0.0521236,0.100828,1,0.015625,0.015625,0,0.984375,0.578125,0.515625,0.4375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1922.21,0.00138363,36,7,14,15,4.13027,1.11701,2.40331,1,0,0.588321,9.20245,0.833205,0.0893183,INTERPOLATION,2,0,0
0.95_0.80,24,transfer-unsupported,212,64,63,1,0.0458768,0.951192,1,7.21125e-18,0.102734,0.271153,0.984375,0.015625,0.015625,0,0.984375,0.5,0.453125,0.421875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1956.96,0.00154346,56,22,7,27,2.14928,1.17819,3.94128,16,0,0.360788,2.53819,0.658522,0.262055,INTERPOLATION,2,0,0
0.95_0.80,25,transfer-unsupported,114,64,64,0,0.905048,1,1,6.99541e-20,8.81644e-14,1.01153e-11,1,0.015625,0.015625,0,0.984375,0.9375,0.921875,0.890625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2045,0.00176709,36,14,4,18,0.701992,1.20938,2.50069,13,0,1.92823,43.7003,0.512402,0.0660485,INTERPOLATION,2,0,0
0.95_0.80,26,transfer-unsupported,250,64,41,23,0.81887,1,1,6.67464e-12,0.237135,0.280314,0.640625,0.015625,0.015625,0,0.984375,0.40625,0.375,0.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2107.87,0.0108451,38,11,23,4,3.87799,4.73135,1.57046,10,0,4.53288,19.3133,0.900015,0.215943,INTERPOLATION,2,0,0
0.95_0.80,27,transfer-unsupported,144,64,64,0,0.799588,0.916214,1,0.00453689,0.300908,0.42231,1,0.015625,0.015625,0,0.984375,0.453125,0.4375,0.34375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2268.23,0.0090457,19,1,7,11,4.08946,2.19362,4.90348,0,0,4.7008,22.3596,2.08122,0.139406,INTERPOLATION,2,0,0
0.95_0.80,28,transfer-unsupported,99,64,64,0,0.767967,0.951059,1,0.00187875,0.142569,0.182074,1,0.015625,0.015625,0,0.984375,0.5,0.46875,0.421875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2323.66,0.00454189,29,3,4,22,4.0764,1.05718,2.35236,0,2,2.62159,37.0027,3.30802,0.0755155,INTERPOLATION,2,0,0
0.95_0.80,29,transfer-unsupported,111,64,64,0,0.709282,0.996429,1,2.83332e-09,0.0977515,0.188956,1,0.015625,0.015625,0,0.984375,0.609375,0.59375,0.515625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2654.77,0.00542587,28,6,14,8,4.13625,4.612,2.84927,0,5,2.39714,9.88441,1.17521,0.0881134,INTERPOLATION,2,0,0
0.95_0.80,30,transfer-unsupported,199,64,64,0,0.883826,0.992411,1,0.000209674,0.01629,0.0223256,1,0.015625,0.015625,0,0.984375,0.734375,0.6875,0.515625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3040.08,0.0019077,35,4,3,28,1.75535,1.8127,0.677115,0,3,2.29876,29.1598,2.41106,0.0888582,INTERPOLATION,2,0,0
