label,candidate,n_draws,n_converged,n_failed,purity_p5,purity_p50,purity_p95,recovery_p5,recovery_p50,recovery_p95,p_converged,p_constraints,p_feasible,p_phase_unknown,p_third_phase_risk,p_purity_ge_0.95,p_purity_ge_0.97,p_purity_ge_0.99,p_recovery_ge_0.80,p_recovery_ge_0.85,p_recovery_ge_0.90,p_both_0.95_0.80,p_both_feasible_0.95_0.80,p_both_0.95_0.85,p_both_feasible_0.95_0.85,p_both_0.95_0.90,p_both_feasible_0.95_0.90,p_both_0.97_0.80,p_both_feasible_0.97_0.80,p_both_0.97_0.85,p_both_feasible_0.97_0.85,p_both_0.97_0.90,p_both_feasible_0.97_0.90,p_both_0.99_0.80,p_both_feasible_0.99_0.80,p_both_0.99_0.85,p_both_feasible_0.99_0.85,p_both_0.99_0.90,p_both_feasible_0.99_0.90,consumption_index_median,throughput_median,n_stages_total,n_ext,n_scr,n_str,oa_ext,s_over_a,w_over_a,feed_stage_offset,scrub_return_offset,scrub_acid_M,scrub_target_mM,strip_acid_M,ligand_total_M,statuses_used
transfer-unsupported,20,64,64,0,0.870971,1,1,2.37643e-10,5.14924e-07,8.14365e-06,1,0,0,0,1,0.921875,0.890625,0.890625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4817.65,0.00391845,45,20,5,20,0.476081,4.33716,3.39157,2,0,3.9153,30.7216,0.558321,0.251612,INTERPOLATION
transfer-unsupported,21,64,64,0,0.630392,0.837612,1,0.00163955,0.0578702,0.0793397,1,0,0,0,1,0.34375,0.3125,0.265625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17255.3,0.000904053,39,18,9,12,3.3278,2.38609,1.15458,0,14,4.25946,5.29584,4.70751,0.195578,INTERPOLATION
transfer-unsupported,22,64,61,3,0.926753,1,1,1.74015e-36,3.38445e-12,0.0157265,0.953125,0.03125,0.03125,0,0.96875,0.84375,0.796875,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18833.5,0.0011771,61,29,8,24,4.54167,4.54944,4.34413,23,0,0.305141,40.8103,4.78363,0.213698,INTERPOLATION|OUTSIDE_TABLE
transfer-unsupported,23,64,64,0,0.493273,0.854534,1,2.71045e-05,0.201374,0.256884,1,0.015625,0.015625,0,0.984375,0.375,0.375,0.34375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5380.36,0.00334277,40,9,18,13,1.48401,2.11695,3.99614,8,0,4.18889,4.24085,2.28152,0.259917,INTERPOLATION
transfer-unsupported,24,64,62,2,0.572178,0.996653,1,3.15246e-15,0.0709277,0.109896,0.96875,0.015625,0.015625,0,0.984375,0.578125,0.546875,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2141.2,0.00296823,32,13,18,1,1.95055,1.83771,1.19961,12,0,3.29125,11.7754,0.256081,0.0930848,INTERPOLATION|OUTSIDE_TABLE
transfer-unsupported,25,64,59,5,0.673742,0.974929,1,1.79166e-09,0.091456,0.116453,0.921875,0,0,0,1,0.484375,0.46875,0.421875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1603.14,0.00262864,52,27,16,9,1.2796,0.434106,1.42691,0,15,4.31004,42.241,1.64205,0.108098,INTERPOLATION|OUTSIDE_TABLE
transfer-unsupported,26,64,64,0,0.999887,1,1,6.6266e-33,1.84865e-25,2.20113e-21,1,0.046875,0.046875,0,0.8125,1,1,0.984375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8368.11,0.000216047,62,28,20,14,0.419839,0.815185,0.22004,0,1,1.17881,45.0855,3.84911,0.0364727,CONDITION_EXTRAPOLATION|INTERPOLATION
transfer-unsupported,27,64,63,1,0.966244,1,1,8.07708e-27,1.86355e-13,9.48134e-08,0.984375,0.015625,0.015625,0,0.984375,0.9375,0.921875,0.890625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14806.2,0.000772861,45,21,22,2,4.56017,4.15817,2.24283,0,1,0.541619,47.9579,4.09793,0.104441,INTERPOLATION|OUTSIDE_TABLE
transfer-unsupported,28,64,64,0,1,1,1,1.61404e-40,4.97448e-34,4.67345e-30,1,0.109375,0.109375,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13131.3,0.000932736,31,7,21,3,3.09852,2.31008,1.85311,5,0,3.34928,41.254,2.43354,0.00887936,CONDITION_EXTRAPOLATION|INTERPOLATION
transfer-unsupported,29,64,64,0,0.952284,0.999725,1,1.43291e-05,0.000886478,0.00133977,1,0,0,0,1,0.953125,0.890625,0.765625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6310.63,0.00175619,36,22,3,11,0.849978,2.40726,1.31539,0,15,2.40664,39.9108,4.02103,0.102814,INTERPOLATION
