comparison,reference,candidate,statistic,point_delta,ci95_low,ci95_high,p_worse_one_sided,units_improved,units_total,bootstrap_blocks,bootstrap_replicates,block_macro_delta,n_blocks_positive,largest_block_unit_share,cluster_robust_se,cluster_robust_low,cluster_robust_high,cluster_robust_p_two_sided,bca_low,bca_high,bca_z0,bca_acceleration,split_seed
GEN7_everything_vs_gen6_reference,IND_all,LP_everything,offset_mae,0.07362114883329855,-0.014828254860453397,0.14395171785962,0.0609878024395121,76,131,79,5000,0.03713487071221827,43,0.21374045801526717,0.04299582066164756,-0.01197695470209563,0.15921925236869272,0.0908171109627587,0.000756144082557748,0.16422978144740696,0.06823319845380023,0.0969402006413491,130363
GEN7_everything_vs_gen6_reference,IND_all,LP_everything,shape_mae,0.010537103984615128,-0.0074147023296795055,0.023981316971965577,0.1259748050389922,79,131,79,5000,0.0032157370324697727,45,0.21374045801526717,0.007943188885827242,-0.005276570325751635,0.02635077829498189,0.18852568866620312,-0.005195022204404836,0.0255648676450445,0.017045897714989287,0.05670999337128804,130363
metalphys_vs_gen6_reference,IND_all,MET_physical,mae,0.038544471256660565,-0.021798620466020574,0.11289515649400211,0.10937812437512498,63,131,79,5000,0.06509082943920166,38,0.21374045801526717,0.03202163642134491,-0.025205709751327632,0.10229465226464876,0.23234561055268474,-0.019465720900836165,0.11632893198087116,0.018048703440788155,0.007484393451568643,130363
metalphys_vs_gen6_reference,IND_all,MET_physical,offset_mae,0.028894633614974723,-0.044323951450572836,0.11370117697481434,0.22155568886222757,65,131,79,5000,0.054881950767452954,42,0.21374045801526717,0.037345440275958944,-0.045454426691900196,0.10324369392184965,0.4414395308423041,-0.04191909909956646,0.11725443754577222,0.020054370352950636,0.0026963426422487633,130363
metalphys_vs_gen6_reference,IND_all,MET_physical,shape_mae,0.003369811668193315,-0.019517224915252387,0.022713461655155396,0.3743251349730054,70,131,79,5000,-0.007307183112316084,39,0.21374045801526717,0.010315003339539166,-0.017165782495111036,0.023905405831497663,0.7447771501167775,-0.018550739141644058,0.02384252063164367,-0.0025066308995717666,0.024963927055813726,130363
recovered_vs_its_base,REC_base,REC_plus_recovered,mae,0.07196355048023526,-0.010395984618923859,0.1306606730853461,0.04099180163967207,72,131,79,5000,0.04742842395516823,47,0.21374045801526717,0.037010023979771114,-0.0017177472765424612,0.14564484823701296,0.05544834812773355,-0.0008816223514127108,0.13739356183160528,-0.008021296494625931,0.061911519942414325,130363
recovered_vs_its_base,REC_base,REC_plus_recovered,offset_mae,0.10739964875531723,0.006155234819042348,0.18254458626199094,0.01839632073585283,80,131,79,5000,0.08103823307465298,51,0.21374045801526717,0.047663721462501314,0.012508468593039612,0.20229082891759484,0.027050391945184677,0.021970003672486214,0.19631013959748908,0.028077925538198285,0.08643536631692655,130363
recovered_vs_its_base,REC_base,REC_plus_recovered,shape_mae,-0.010761788142852885,-0.022517760985876264,0.0032958996126611394,0.9402119576084783,65,131,79,5000,-0.01143746103848065,36,0.21374045801526717,0.00615826776999055,-0.02302195748169608,0.001498381195990309,0.0844801094548265,-0.023254451957463323,0.0024921627807314335,-0.02256156839022472,-0.011836104298113072,130363
indicators_on_vs_off,IND_none,IND_all,mae,0.054435046821413716,0.023176596801432484,0.0813497983890494,0.0005998800239952009,82,131,79,5000,0.0573097224830495,54,0.21374045801526717,0.014139893773692402,0.02628468074874952,0.08258541289407792,0.00024068352143995767,0.02234544688046919,0.08068045590757074,-0.01704589771498915,-0.005359203002574905,130363
indicators_on_vs_off,IND_none,IND_all,offset_mae,0.06736470323088276,0.0323423104999158,0.09698240382725185,0.0003999200159968006,82,131,79,5000,0.06875410599824261,53,0.21374045801526717,0.015944717581992743,0.035621208969742274,0.09910819749202324,6.426158986239537e-05,0.03166716400461432,0.09642196605892919,-0.010528033237178323,-0.005502331113091798,130363
indicators_on_vs_off,IND_none,IND_all,shape_mae,0.003992086563642933,-0.0024946694144121046,0.012038762758506075,0.10857828434313137,79,131,79,5000,0.006792691684222716,47,0.21374045801526717,0.003445925222126704,-0.00286822356417229,0.010852396691458157,0.2501968753397697,-0.0027247172083118927,0.011931607722704364,0.007519955698540524,-0.013027931211999598,130363
all_chemistry_vs_no_ligand,NULL_metal_cond,LP_everything,mae,0.11013243471832959,0.005931176873811055,0.2032305761864188,0.020195960807838434,77,131,79,5000,0.07333728280477891,49,0.21374045801526717,0.0465333321225482,0.01749168686011361,0.20277318257654559,0.02042598712290866,-0.0023836789740370825,0.1970829556466207,-0.04061854447905143,-0.016869975812050117,130363
all_chemistry_vs_no_ligand,NULL_metal_cond,LP_everything,offset_mae,0.08908251020792779,-0.038722490353129684,0.20083905208291744,0.07658468306338732,62,131,79,5000,0.031649558298675766,41,0.21374045801526717,0.05744535088305823,-0.02528239821446776,0.20344741863032334,0.12501344149212323,-0.043445073213963785,0.19758183050408548,-0.02757640573939172,-0.0009103698381122866,130363
all_chemistry_vs_no_ligand,NULL_metal_cond,LP_everything,shape_mae,0.061537534623514134,0.015120397829511259,0.12255512216029764,0.004599080183963208,78,131,79,5000,0.07640976293173538,51,0.21374045801526717,0.02734056736433874,0.007106646226571776,0.11596842302045648,0.02721560616361152,0.013492325985178421,0.12061499738201899,-0.0010026514778483275,-0.014952184244460409,130363
GEN7_everything_vs_gen6_reference,IND_all,LP_everything,mae,0.06148994203788716,-0.0389502613491805,0.15357535987744922,0.20975804839032194,81,131,79,5000,-0.001603349178468751,41,0.21374045801526717,0.05568660319146999,-0.04937356869793061,0.17235345277370492,0.2728949876162593,-0.0199363726282715,0.19327275510797726,0.10950746646938431,0.14652882694437327,155921
GEN7_everything_vs_gen6_reference,IND_all,LP_everything,offset_mae,0.05117689504618751,-0.05360173154722638,0.13906574958912868,0.22995400919816036,71,131,79,5000,-0.00861885236528769,39,0.21374045801526717,0.053824259024997066,-0.05597897326468909,0.15833276335706412,0.34463542943721187,-0.03173951624991329,0.1752277978625601,0.10043372051146988,0.1341667898690635,155921
GEN7_everything_vs_gen6_reference,IND_all,LP_everything,shape_mae,0.019826546455018728,6.372540532883064e-05,0.034223237173596856,0.024795040991801638,88,131,79,5000,0.006108713341200894,48,0.21374045801526717,0.008951696311309975,0.0020050880927548406,0.037648004817282615,0.02968952354444523,0.004382968684776074,0.0382390107524238,0.06923822116766834,0.10905547907565132,155921
metalphys_vs_gen6_reference,IND_all,MET_physical,mae,0.06438061544341499,-0.055685923146186415,0.16559127742016752,0.19456108778244352,66,131,79,5000,0.030412189946830145,37,0.21374045801526717,0.062352308997927264,-0.05975329615874932,0.1885145270455793,0.30501490674824494,-0.0347770088475688,0.20131993131069972,0.07627539594416351,0.11653328879283548,155921
metalphys_vs_gen6_reference,IND_all,MET_physical,offset_mae,0.05288290298143729,-0.08085350625817816,0.163381728656264,0.2571485702859428,63,131,79,5000,0.020717072755674595,39,0.21374045801526717,0.06751847787087302,-0.08153606077841728,0.18730186674129184,0.4358602688116831,-0.056166779860883365,0.19870142331817522,0.08381942934025638,0.11565093481671401,155921
metalphys_vs_gen6_reference,IND_all,MET_physical,shape_mae,0.012176719949912125,-0.01641540379194431,0.033466543857633195,0.20775844831033793,73,131,79,5000,-0.0045445500303593804,39,0.21374045801526717,0.012904692709621943,-0.013514549704954316,0.037867989604778565,0.34829357253694593,-0.012092026797162583,0.037239376966971716,0.03961508598957968,0.07946614681387791,155921
recovered_vs_its_base,REC_base,REC_plus_recovered,mae,0.010776109511423514,-0.08914822408008302,0.08246195269207446,0.41991601679664065,64,131,79,5000,-0.019027685878656685,37,0.21374045801526717,0.0442763699653888,-0.07737137185179277,0.09892359087463978,0.8083477708855759,-0.0717856076005417,0.09406247187097551,0.03961508598957968,0.06854417052576534,155921
recovered_vs_its_base,REC_base,REC_plus_recovered,offset_mae,0.025274678708108348,-0.0793251370903152,0.1012798274000352,0.3075384923015397,58,131,79,5000,-0.0037790302753681823,37,0.21374045801526717,0.047040503598292704,-0.06837576999597848,0.11892512741219517,0.5925926331464326,-0.06150253640877027,0.11366120822495328,0.03861166738810863,0.07217098713423277,155921
recovered_vs_its_base,REC_base,REC_plus_recovered,shape_mae,-0.00963758398085621,-0.02435446421181309,0.0050552301636617135,0.9138172365526894,63,131,79,5000,-0.013962893772134636,32,0.21374045801526717,0.006981754102677864,-0.02353718867133643,0.004262020709624012,0.17140808323225107,-0.024540988104528847,0.004925743645276305,-0.005013277548926657,-0.0017943960029334037,155921
indicators_on_vs_off,IND_none,IND_all,mae,0.0574825831278044,0.031102398674450783,0.08656045304620516,0.0001999600079984003,83,131,79,5000,0.06229103581678772,53,0.21374045801526717,0.01341015001369294,0.030785025280718758,0.08418014097489004,5.140309040738576e-05,0.031694592663589864,0.0874207591230859,0.007519955698540524,0.004236075259455573,155921
indicators_on_vs_off,IND_none,IND_all,offset_mae,0.05965955252999703,0.02483437663682928,0.09098553581764629,0.0005998800239952009,81,131,79,5000,0.05928176279804202,52,0.21374045801526717,0.015850182381757016,0.028104263395145372,0.0912148416648487,0.0003223171931165509,0.023890093070499305,0.08994966888538206,-0.01403757935031084,-0.0065643789192625646,155921
indicators_on_vs_off,IND_none,IND_all,shape_mae,0.0014577634613256285,-0.004668353118612225,0.006962147465114144,0.3207358528294341,56,131,79,5000,0.0006487121354784375,34,0.21374045801526717,0.0028043780827541687,-0.004125324424565258,0.007040851347216515,0.6046632547211471,-0.004301011179848346,0.00721645827744809,0.013536206042278273,0.021775803005377244,155921
all_chemistry_vs_no_ligand,NULL_metal_cond,LP_everything,mae,0.13696268047127735,0.013025309123456228,0.24789733027231803,0.01779644071185763,79,131,79,5000,0.06421111893189058,46,0.21374045801526717,0.05674720334988179,0.023987677018904224,0.24993768392365048,0.018142705606464072,0.009896605386045358,0.2457392910055139,-0.016544501343174617,-0.00032192724522417854,155921
all_chemistry_vs_no_ligand,NULL_metal_cond,LP_everything,offset_mae,0.13286942037096255,-0.006939613352032589,0.2528608521116639,0.03159368126374725,73,131,79,5000,0.039895948382975895,43,0.21374045801526717,0.06341782568870355,0.006614227988196358,0.2591246127537288,0.039403379492010025,-0.007228734693617917,0.2521189881329972,-0.009525331483604746,0.0014584966959721084,155921
all_chemistry_vs_no_ligand,NULL_metal_cond,LP_everything,shape_mae,0.06832237206820957,0.010810441789562539,0.14588920848302128,0.008798240351929614,77,131,79,5000,0.08512269245981521,48,0.21374045801526717,0.03465315502842164,-0.0006667600452007483,0.1373115041816199,0.052200525299540196,0.006340654208830318,0.13863670906571632,-0.008021296494625931,-0.037979976902659286,155921
